timestamp,author_name,membership,text
-1:24,ベータ,メンバー（1 年）,:_KanaeKanae::_KanaeTaikia:
-1:22,ぷらすちゃん,非メンバー,新曲聴いて、まだパニック状態です（？）
-1:17,なりこう,メンバー（2 か月）,新曲最高だった！ありがとう！！
-1:16,幻視幻聴,非メンバー,セカンドインパクトの走りには感動しました
-1:14,おとーふ,メンバー（6 か月）,:_KanaeKanae::_KanaeTaikia:
-1:14,まるまり,メンバー（1 か月）,:_KanaeKanae::_KanaeTaikia::virtualhug:うたー😢🎉泣いた:_KanaeLOVE::_KanaeChu:
-1:13,白鳥,非メンバー,新曲よかった。めちゃくちゃ泣けた。
-1:10,林檎姫,非メンバー,新曲助かる(死亡)
-1:10,七,メンバー（2 か月）,新曲ありがとうございました！！
-1:05,yukine owo,非メンバー,UWU
-1:05,まりまる,非メンバー,新曲最高でした！！
-1:05,louルー,新規メンバー,:_KanaeKanae::_KanaeTaikia:
-1:05,ムウバクーヘン,メンバー（6 か月）,:_KanaeKanae::_KanaeTaikia:
-1:04,ごきぶり,メンバー（1 か月）,:_KanaeTaikia:
-1:04,七,メンバー（2 か月）,:_KanaeKanae::_KanaeTaikia:
-1:02,yukine owo,非メンバー,❤️
-0:58,わかめ,メンバー（6 か月）,新曲ほんとに好きですありがとう:_KanaeLOVE::_KanaeChu:
-0:58,ももすん,メンバー（2 か月）,感情がおっつかない
-0:52,ひのつかさ,メンバー（6 か月）,:_KanaeKanae::_KanaeTaikia:
-0:52,ムウバクーヘン,メンバー（6 か月）,新曲ありがとう…！！
-0:52,ただの,新規メンバー,:_KanaeKanae::_KanaeTaikia:
-0:50,りと,非メンバー,新曲良すぎた、、いつかなっちろともゲームコラボしてほしい！
-0:50,ぷらすちゃん,非メンバー,新曲よすぎた！ありがとう…！
-0:47,凜,メンバー（2 か月）,:_KanaeKanae::_KanaeTaikia:
-0:46,やまだ。,非メンバー,ありがとうありがとうありがとう;;
-0:46,らてぃふら,メンバー（6 か月）,:_KanaeKanae::_KanaeTaikia:
-0:43,ももすん,メンバー（2 か月）,:_KanaeKanae::_KanaeTaikia:
-0:43,n a n a,新規メンバー,:_KanaeTaikia:
-0:41,ななみかん,メンバー（2 か月）,:_KanaeKanae::_KanaeTaikia:
