timestamp,author_name,membership,text
-0:08,AIKE,非メンバー,ＣＲカップがんばああああえええええええ
-0:08,らいち,非メンバー,遅延草
-0:08,shichi,メンバー（6 か月）,いや草
-0:08,りーこりーこ,非メンバー,遅延草
-0:07,ヵメ,非メンバー,crカップ始まってて草
-0:07,pipi,メンバー（6 か月）,一人だけ始まってないねw
-0:06,ほい,非メンバー,葛葉間違えてるよw
-0:06,鈴木太郎,非メンバー,DIDWIN!!!!
-0:06,桃太郎,メンバー（2 か月）,:_KuzuhaOioi::_KuzuhaOioi::_KuzuhaOioi:
-0:06,gdgd,メンバー（2 か月）,また大会みれるのか～!!
-0:06,りこりす,非メンバー,あれw
-0:06,なたろう,新規メンバー,CR始めてて草
-0:06,キルミルク,非メンバー,ゴースティング対策は草
-0:05,らくじつ,メンバー（1 か月）,:_KuzuhaTai::_KuzuhaRyo::_KuzuhaRusu:
-0:05,圧倒的凡人の極み?,メンバー（2 か月）,CR.KUZ.LOG
-0:05,あまの,非メンバー,レイスで虚空入ってんな
-0:05,炙りかぶりカルビ,非メンバー,遅延w
-0:04,とっとこ冬花,メンバー（6 か月）,草
-0:04,もりもりお,メンバー（2 年）,一番歴長いだろ草
-0:04,トカゲ星人,メンバー（6 か月）,遅延マ？
-0:04,みんみんぜみ,非メンバー,DIDWIN
-0:04,らむ,非メンバー,草
-0:04,たろけん,非メンバー,なにやってんだぁぁぁ笑
-0:04,小番茄プチトマト,メンバー（2 か月）,草
-0:04,遠山の金さん,非メンバー,くるか？
-0:03,空耳,非メンバー,DIDWINコメガチ草
-0:03,知能の低いカラス,非メンバー,CR本番は草
-0:03,Dirty Lilly,メンバー（6 か月）,DIDWIN
-0:03,マイケル山本,メンバー（1 か月）,:_KuzuhaDOMA::_KuzuhaGAMING::_KuzuhaSYOZOKU::_KuzuhaAri::_KuzuhaKunexe:
-0:02,Lennon !!,非メンバー,CRカップめっちゃ草
-0:02,正三角形,非メンバー,草
-0:02,ユメユメ,非メンバー,遅延草
-0:02,japan net,メンバー（2 か月）,草
-0:02,セノ・w・,非メンバー,DIDWIN
-0:02,レバニラ,メンバー（2 か月）,大会だったのか
-0:02,、だ,非メンバー,本番きたあああああああ
-0:02,【】ゆう【】,メンバー（6 か月）,:_KuzuhaTai::_KuzuhaRyo::_KuzuhaRusu:
-0:01,ゆきひ,メンバー（1 か月）,遅延了解
-0:01,こまろま,メンバー（6 か月）,CRカップ草
-0:01,mika,メンバー（2 か月）,ゆっくりでも
-0:00,松π,新規メンバー,:_KuzuhaTai::_KuzuhaRyo::_KuzuhaRusu:
0:00,夜知-やち-,メンバー（2 か月）,草
0:00,イーヌ,メンバー（6 か月）,ストリームキー間違えた言ってるが
0:01,ぴちょん。,メンバー（2 か月）,もっかい大会するか
0:01,六藤.,メンバー（6 か月）,草
0:01,へちま,非メンバー,?
0:01,れをゆ,メンバー（6 か月）,草
