timestamp,author_name,membership,text
-39:34,しんわく#凛fam,メンバー（2 年、4 か月）,ｼｭｯ
-39:03,ソーヤ,メンバー（1 年 11 か月）,ｼｭｼｭｯ
-38:57,いせのん,メンバー（2 年、4 か月）,ﾆｭ
-38:55,MSA0011EXT Ex-Sイクスェス,メンバー（1 年 10 か月）,シュ
-38:53,Ren ca,メンバー（1 年 6 か月）,待機～
-38:48,キロ#凛fam,メンバー（2 年、4 か月）,しゃっ
-38:44,ペロ犬愛ちゃん#凛fam,メンバー（1 年 8 か月）,ｼｭｼｭｼｭｯ
-38:44,老山龍#旧大陸凛Fam,メンバー（1 年 9 か月）,ﾄﾞｼﾝ
-38:36,wakiyaku,メンバー（2 年）,ｽﾙﾝ
-38:28,Re:SENA,メンバー（2 年、2 か月）,ﾆｭﾝ
-38:18,エックスxxx,メンバー（11 か月）,ｼｭｯ
-38:07,シェヴァ,メンバー（2 年、4 か月）,ｽﾄﾝ
-37:59,ノヴァゴン,メンバー（1 年 6 か月）,ｼｭｼｭｼｭ
-37:00,十六夜声望#凛fam,新規メンバー,待機
-36:31,有鮪,メンバー（2 年）,ｽﾁｬ
-30:47,ちゃっかー#凛fam,メンバー（2 年、1 か月）,ｽﾔｧ
-27:54,新都市#凛fam,メンバー（2 年、4 か月）,ｼｬｶｼｬｶ
-27:32,ぜろぱか,メンバー（2 年）,ｽﾝ
-26:37,りょう口先#凛fam,メンバー（2 年、4 か月）,ｼｬｯ
-26:05,ちゃうねん#凛fam,メンバー（2 年、4 か月）,ｼﾞｭｯ
-24:10,フルーツポンチ侍G#凛fam,メンバー（10 か月）,ｼｭｯ
-23:07,Kiri #凛fam,メンバー（2 年、4 か月）,ｶﾞﾝﾊﾞｴｰ
-17:27,朔,メンバー（2 年、1 か月）,スタッ
-15:03,kero 1986,メンバー（10 か月）,ｽﾁｬ！・・( ˘ω˘)ｽﾔｧ
-3:08,りょう口先#凛fam,メンバー（2 年、4 か月）,30分から了解！
-2:53,MSA0011EXT Ex-Sイクスェス,メンバー（1 年 10 か月）,もうすぐ。
-2:45,老山龍#旧大陸凛Fam,メンバー（1 年 9 か月）,承知
-2:18,しんわく#凛fam,メンバー（2 年、4 か月）,あとすこし！
-1:24,ノヴァゴン,メンバー（1 年 6 か月）,早まった
-1:23,Sein Frau,メンバー（2 年、4 か月）,聴きながら寝るんだ…( ˘ω˘)ｽﾔｧ
-1:06,老山龍#旧大陸凛Fam,メンバー（1 年 9 か月）,わくわく
-1:01,藤洛陽,非メンバー,エデンは見る
-0:55,にこふ#凛fam,メンバー（2 年、4 か月）,わくわく
-0:48,ノヴァゴン,メンバー（1 年 6 か月）,ﾜｸﾜｸ
-0:48,しょんた,メンバー（10 か月）,わくわく
-0:42,wakiyaku,メンバー（2 年）,わくわく
-0:37,ろー.,非メンバー,わくわくさん
-0:36,りょう口先#凛fam,メンバー（2 年、4 か月）,わくわく
-0:25,エックスxxx,メンバー（11 か月）,わくわく
0:08,ダクス,メンバー（2 年、4 か月）,わくわく
0:14,老山龍#旧大陸凛Fam,メンバー（1 年 9 か月）,こんばんはー
0:16,kero 1986,メンバー（10 か月）,お
0:16,にこふ#凛fam,メンバー（2 年、4 か月）,こんばんはー
0:20,猫舌#凛fam,非メンバー,こんばんはー
0:20,ダクス,メンバー（2 年、4 か月）,再びこんばんわ！
0:22,ちゃうねん#凛fam,メンバー（2 年、4 か月）,こんばんはー
0:22,ノヴァゴン,メンバー（1 年 6 か月）,こんばんわ～
0:23,エックスxxx,メンバー（11 か月）,こんばんは〜
0:23,nagi-和#凛fam,メンバー（2 年、4 か月）,こんばんは二回目
0:24,しょんた,メンバー（10 か月）,こんばんわー
0:24,れくつ,メンバー（8 か月）,こんばんわぁ
0:26,りょう口先#凛fam,メンバー（2 年、4 か月）,こんばんは～！
0:26,Sein Frau,メンバー（2 年、4 か月）,こんばんはー
0:26,ペロ犬愛ちゃん#凛fam,メンバー（1 年 8 か月）,こんばんは
0:26,ろー.,非メンバー,こんばんはー
0:27,きひろ #凛fam,メンバー（2 年、4 か月）,こんばんわですー
0:27,PIA # 凛fam,メンバー（2 年、4 か月）,こんばんは
0:28,MSA0011EXT Ex-Sイクスェス,メンバー（1 年 10 か月）,こんばんは
0:29,Ren ca,メンバー（1 年 6 か月）,こんばんは～
0:30,フルーツポンチ侍G#凛fam,メンバー（10 か月）,こんばんはー
0:31,バラロール,メンバー（2 年、2 か月）,こんばんはー
0:32,wakiyaku,メンバー（2 年）,こんばんはー
0:32,生風#凛fam,メンバー（2 年、4 か月）,こんばんはー
0:33,テスト太郎,メンバー（1 年）,始まっただと！？
0:34,hound,メンバー（10 か月）,こんばんはー
0:34,ぜろぱか,メンバー（2 年）,こんばんは
0:35,まち,非メンバー,こんばんは～
0:35,蒸したパン,メンバー（1 か月）,こんばんはー
0:37,クー 空の騎神,メンバー（10 か月）,こんばんはー
0:39,いせのん,メンバー（2 年、4 か月）,こんばんはー
0:39,kero 1986,メンバー（10 か月）,突然早まるよ
0:40,屍やっちゃん,メンバー（1 年）,こんばんわー
0:40,いちご大福#凛fam,メンバー（2 年、2 か月）,こんばんはー！
0:41,ソーヤ,メンバー（1 年 11 か月）,こんばんはー
0:42,時雨彼方,メンバー（2 年、2 か月）,こんばんはー
0:43,wakiyaku,メンバー（2 年）,定期！
0:44,やおちょういちろう,メンバー（2 年、3 か月）,こんばんは
0:45,Re:SENA,メンバー（2 年、2 か月）,こんばんはー
0:45,エックスxxx,メンバー（11 か月）,ﾊﾟｰﾝｯ
0:46,いなりむしん,非メンバー,こんばんわ～
0:47,いせのん,メンバー（2 年、4 か月）,ﾊﾟｰﾝｯ
0:50,きひろ #凛fam,メンバー（2 年、4 か月）,ﾊﾟｰﾝｯ
0:52,紅のゼロ,非メンバー,こんばんは
0:55,四条あき,非メンバー,こんばんはー
0:56,ぜろぱか,メンバー（2 年）,パーンッ定期
0:57,Ren ca,メンバー（1 年 6 か月）,\ﾊﾟｰﾝｯ/
1:04,なみたん,メンバー（10 か月）,こんばんわ
1:07,ザキタケ#凛fam,メンバー（2 年、4 か月）,こんばんはー
1:13,Sein Frau,メンバー（2 年、4 か月）,こんばんはー
1:16,ろー.,非メンバー,わいわいがやがや
1:16,木野一平,メンバー（2 年、4 か月）,こんばんはー
1:22,El brujo 1987,非メンバー,holaa shizuka como estás
1:23,シェヴァ,メンバー（2 年、4 か月）,こんばんあー
1:24,しんわく#凛fam,メンバー（2 年、4 か月）,こんばーんわー
1:29,紅のゼロ,非メンバー,二回行動
1:32,xxxBOSS,メンバー（2 年、3 か月）,こんばんわ～
1:38,さとみん*里見カナタ,メンバー（2 年、4 か月）,こんばんはー
