timestamp,author_name,membership,text
-28:59,やきそば,メンバー（1 年 6 か月）,りょ
-28:57,ぴょんきちぴょん,メンバー（3 か月）,はいっ
-28:56,にやけん,メンバー（1 年 5 か月）,りょうかい
-28:15,ななめん,非メンバー,はーい
-27:41,d,メンバー（1 年 5 か月）,了解
-25:49,やまざきゆう,メンバー（1 年 6 か月）,りょ
-12:21,くうかい#include,新規メンバー,:_いいよ:
-12:13,こじか社員,メンバー（7 か月）,仕事が辛い…
-11:06,ぴょんきちぴょん,メンバー（3 か月）,ただいま
-10:52,デモゴルゴン,メンバー（1 年）,飯！
-10:46,やきそば,メンバー（1 年 6 か月）,色々な意味で帰宅
-10:40,やまざきゆう,メンバー（1 年 6 か月）,朝食待機
-8:47,_しゅう,メンバー（7 か月）,朝活助かるラスカル
-5:40,Yuhi Riri Official,確認済み,今部屋の湿度38ぱー
-5:27,beta,メンバー（1 年 6 か月）,加湿しよう
-5:20,イナカ ケイコウ,メンバー（1 年 6 か月）,乾燥してんなー
-5:14,ダイハー,メンバー（1 年 2 か月）,加湿しなッッッ！！！！！
-5:08,優斗,メンバー（7 か月）,加湿器ぶん回さなくちゃ
-5:05,イナカ ケイコウ,メンバー（1 年 6 か月）,60ぱーが適正らしい
-5:05,貝野星,メンバー（2 か月）,湿度あげてもろて
-5:04,戦人ぱすとも,メンバー（1 年 6 か月）,もっと潤して
-5:04,ぴょんきちぴょん,メンバー（3 か月）,加湿器の蓋開けてる？
-5:01,やきそば,メンバー（1 年 6 か月）,加湿器フルパワーだ！！！
-4:52,くうかい#include,新規メンバー,今だと外は20%くらい？
-4:23,ダイハー,メンバー（1 年 2 か月）,もし加湿してその数値だったらやばいな…
-4:08,貝野星,メンバー（2 か月）,室内で快適な湿度は40～60％とされています。 40%以下になると目や肌、のどの乾燥を感じるだけでなく、インフルエンザウイルスが活動しやすくなります。 反対に60%以上になるとダニやカビが発生するようになります。
-3:59,ちょば,非メンバー,加湿器ちゃんと働けてる？
-3:38,d,メンバー（1 年 5 か月）,滝置いてみる？
-3:17,にやけん,メンバー（1 年 5 か月）,目指せ湿度100%
-3:14,くうかい#include,新規メンバー,あれ 実験で使ってる湿度計が20%前後なんだけどこれ壊れてるのかな
-2:58,はしいろ[emag 8416],メンバー（1 年 6 か月）,君だけの最強湿度をカスタマイズしよう！
-2:20,貝野星,メンバー（2 か月）,まぁこまめに水飲めばええんちゃう？
-1:57,くうかい#include,新規メンバー,濡れタオル干せ
-1:44,Gene,メンバー（10 か月）,ビニールプールにお湯いれとこ
-1:31,ぴょんきちぴょん,メンバー（3 か月）,お風呂に湯を溜めて扉開放
-1:25,ななめん,非メンバー,湿度100％はもう水なんよ
-1:17,だいす,メンバー（9 か月）,湿度20％ニキははやく加湿して
-1:15,gigant puppy,非メンバー,コースティックのガスタンク型の加湿器欲しいな
-0:36,やまざきゆう,メンバー（1 年 6 か月）,部屋入ったら勝手に電源付きそう
-0:26,モリモリスーラ,非メンバー,どうして冬になると乾燥するのか
-0:20,ぴょんきちぴょん,メンバー（3 か月）,室内のあらゆる換気扇はOFF
-0:20,Yuhi Riri Official,確認済み,バグってはじめられない…
-0:11,やきそば,メンバー（1 年 6 か月）,あらま
-0:10,貝野星,メンバー（2 か月）,コースティックの加湿器置いてたら知らない人に撃たれそう
-0:08,にやけん,メンバー（1 年 5 か月）,実は湿度100%は水中ではない
-0:08,みじゃ,メンバー（1 年 6 か月）,:_泣きリリ:
-0:07,ちょば,非メンバー,プリティじゃん……
-0:05,gigant puppy,非メンバー,じゃあ飯抜きだな
-0:03,ダイハー,メンバー（1 年 2 か月）,oh…
0:03,モリモリスーラ,非メンバー,りょ‥
0:04,タトウ,新規メンバー,:_泣きリリ:
0:09,戦人ぱすとも,メンバー（1 年 6 か月）,世の中バグだらけ
0:14,d,メンバー（1 年 5 か月）,最近YouTube調子悪いな
0:15,やまざきゆう,メンバー（1 年 6 か月）,はじまった？
0:18,ぴろしき_たぶん暇人,新規メンバー,はじまた
0:20,いがぐり,メンバー（1 年 2 か月）,こんリリ〜
0:22,gigant puppy,非メンバー,お
0:27,りんでる,メンバー（1 年 6 か月）,きちゃ
0:30,だいす,メンバー（9 か月）,こんりりー
0:30,鈴木カルパス,メンバー（1 年 6 か月）,北
0:31,優斗,メンバー（7 か月）,はじまっちゃ
0:32,戦人ぱすとも,メンバー（1 年 6 か月）,言った瞬間始まった
