timestamp,author_name,membership,text
-17:28,たいと,メンバー（9 か月）,未来人ボイスの締め切り気にしたことあるの？
-16:44,うりょ,メンバー（1 年 1 か月）,おつみらいじん
-16:34,ラフパスト,メンバー（9 か月）,P4も締切も待ってはくれないぞ
-14:57,水筒,メンバー（2 か月）,プラチナに責任転嫁するなと
-14:25,くまごろう,メンバー（1 年 6 か月）,草
-14:05,くまごろう,メンバー（1 年 6 か月）,配信より自分のことを優先しな！
-13:04,香気・なき・ニワトリ,メンバー（6 か月）,未来人の課題を手伝ってくれる綺麗なお姉さんが待ち望まれる
-11:26,真水純,非メンバー,課題終わらんけど来ちゃった///
-9:48,ななめん,非メンバー,マリカの練習しながらAPEXでプラチナになって課題終わらせて白雪さんの配信見ればいいよ
-9:19,オブザーバー,非メンバー,未来人・・・好きだ・・・
-7:58,ぞでぃお,メンバー（1 年 6 か月）,かわいそかわいそ
-7:43,モリモリスーラ,非メンバー,未来人がんばえ〜！
-7:10,おると,メンバー（9 か月）,やることあるのにしたい事するのって禁断の果実だよね
-6:52,あらびき塩コショウ,非メンバー,マリカ配信するってマ？
-6:14,華弾,非メンバー,カートあるなヨシ！
-5:01,ダイハー,メンバー（1 年 2 か月）,トライデントで爆走したら練習もできるし一石二鳥！
-4:43,香気・なき・ニワトリ,メンバー（6 か月）,感度4800で操作できるならマルチタスクも多分余裕よ
-4:09,もこ、,メンバー（2 か月）,リリちゃん色々がんばえ〜！
-3:42,雀のチュンすけ,メンバー（1 年 6 か月）,トライデントでマリカ練習なるほどな
-3:35,シポルン,非メンバー,なんだマリカかｗ
-3:25,魂暁/こあ,メンバー（1 年 6 か月）,勝てば官軍！がんば！
-2:47,じっぺんしゃっくり,メンバー（1 年 6 か月）,つまり負ければ賊軍だな
-2:41,水筒,メンバー（2 か月）,まあまず課題は後回しでいいな
-2:26,ぴょんきちぴょん,メンバー（3 か月）,:_にこリリ:
-2:12,ダイハー,メンバー（1 年 2 か月）,勝てばよかろうなのだ
-2:12,くまごろう,メンバー（1 年 6 か月）,これで課題間に合いませんでしたってなったら怒られそう
-2:10,魂暁/こあ,メンバー（1 年 6 か月）,そうともいうw
-2:05,なべし,メンバー（1 年 1 か月）,:_てへリリ:
-2:03,崖ノ上のたっちゃん,メンバー（2 か月）,火曜日から夕陽リリはご利益ある
-1:57,のの,新規メンバー,サムネ素敵
-1:37,ウジエル,メンバー（1 年 6 か月）,課題は誤魔化しようがあるけど締め切りは……
-1:29,アハトアハト,メンバー（1 年 6 か月）,待機
-1:22,あらびき塩コショウ,非メンバー,課題が終わらなくて怒られてる夕陽、見てみたい
-1:03,貝野星,メンバー（2 か月）,待機
-0:51,アハトアハト,メンバー（1 年 6 か月）,なんか、タスクが溜まってる感じです？
-0:43,熊猫,非メンバー,待機
-0:40,ぷろどらっぐ,メンバー（5 か月）,待機
-0:39,たくあん,メンバー（2 か月）,待機
-0:39,ゆり華,メンバー（1 年）,待機
-0:36,香気・なき・ニワトリ,メンバー（6 か月）,待機
-0:34,ぴょんきちぴょん,メンバー（3 か月）,できる！未来人ならできる！！大丈夫だ！！！
-0:34,No. 25,メンバー（1 年 4 か月）,待機
-0:30,モリモリスーラ,非メンバー,待機
-0:26,柊.hiiragi,非メンバー,待機
-0:24,ハーフブロック,メンバー（7 か月）,待機
-0:15,rey rey,新規メンバー,待機
-0:06,雀のチュンすけ,メンバー（1 年 6 か月）,待機
-0:00,ラフパスト,メンバー（9 か月）,待機
-0:00,ウジエル,メンバー（1 年 6 か月）,待機
0:12,魂暁/こあ,メンバー（1 年 6 か月）,きちゃ
0:17,ぷろどらっぐ,メンバー（5 か月）,きちゃ
0:18,さぬきち,メンバー（1 年 5 か月）,:_びっくリリ:
0:19,ひいろ,メンバー（2 か月）,こんリリー
0:20,なべし,メンバー（1 年 1 か月）,きちゃ
0:20,くまごろう,メンバー（1 年 6 か月）,こんリリ
0:20,クェーサー,メンバー（1 年 6 か月）,きちゃ！
0:20,らな,非メンバー,きいた
0:21,りんでる,メンバー（1 年 6 か月）,こんリリ～
0:23,孔明,メンバー（4 か月）,きちゃ
0:23,beta,メンバー（1 年 6 か月）,こんリリー
0:25,たゆら,メンバー（5 か月）,きちゃ！
0:26,Nodogeita Kappano,メンバー（2 か月）,こんリリ！
0:26,にやけん,メンバー（1 年 5 か月）,きちゃ
0:26,モリモリスーラ,非メンバー,きちゃ！
0:28,フナジュー,メンバー（1 年 6 か月）,こんリリ
0:29,たくあん,メンバー（2 か月）,きちゃ！
0:29,やまざきゆう,メンバー（1 年 6 か月）,こんリリー！
0:29,ツーマサ,メンバー（1 か月）,こんリリー
0:29,ダイハー,メンバー（1 年 2 か月）,こんリリ！
0:30,魂暁/こあ,メンバー（1 年 6 か月）,えぺの音～
0:32,貝野星,メンバー（2 か月）,きちゃ
0:33,柊.hiiragi,非メンバー,こんりりーー
0:33,崖ノ上のたっちゃん,メンバー（2 か月）,こんリリ
0:36,ロリ巨乳主義ヌーマ,メンバー（1 年 6 か月）,きちゃ
0:36,ダイハー,メンバー（1 年 2 か月）,きちゃ
0:36,モリモリスーラ,非メンバー,こんリリ〜！
0:36,たいと,メンバー（9 か月）,こんリリ！
0:37,魂暁/こあ,メンバー（1 年 6 か月）,ついえら
0:37,やきそば,メンバー（1 年 6 か月）,こんリリ！！
0:37,ウジエル,メンバー（1 年 6 か月）,きちゃ
0:38,ちょば,非メンバー,ついえら
0:39,くまごろう,メンバー（1 年 6 か月）,えらつい
0:39,雀のチュンすけ,メンバー（1 年 6 か月）,こんリリ〜
0:40,ひょたろ,メンバー（2 か月）,きちゃ！！！！！！！！
0:40,灰緑kairyoku,非メンバー,こんリリ！
0:41,West Height,メンバー（1 年 5 か月）,こんリリ〜
0:43,のれのーと,メンバー（1 年 3 か月）,こんリリ〜
0:43,d,メンバー（1 年 6 か月）,こんリリ〜
0:43,なべし,メンバー（1 年 1 か月）,ついえら
0:43,いちまるitimaru,非メンバー,こんリリー
0:44,雨雷〈ユイレイ〉,メンバー（4 か月）,きちゃ
0:44,びんす,メンバー（1 年 6 か月）,ついえら
0:45,ユウスケ,メンバー（3 か月）,こんリリ〜
0:45,チェック#ぱすとも,メンバー（1 年 6 か月）,こんリリー
0:45,すしお,メンバー（1 年 5 か月）,こんリリ〜
0:45,deruta omega,非メンバー,こんリリー！
0:46,はの_,メンバー（1 年 6 か月）,こんリリ
0:48,ひょたろ,メンバー（2 か月）,こんリリ〜〜〜！！！！！！！！！！！
0:48,みたらし三色,非メンバー,こんりりー
0:48,いちまるitimaru,非メンバー,ついえら
0:49,ひるね,メンバー（1 か月）,こんリリ！！
0:49,ぞでぃお,メンバー（1 年 6 か月）,こんりりー
0:50,はびなず,メンバー（2 か月）,こんリリ！
0:50,水筒,メンバー（2 か月）,きちゃ
0:52,アハトアハト,メンバー（1 年 6 か月）,こんリリ
0:52,天城,非メンバー,こんりりー
0:53,dada,メンバー（1 年 6 か月）,ついえら
0:53,たくあん,メンバー（2 か月）,こんリリ～
0:54,香気・なき・ニワトリ,メンバー（6 か月）,きた～！
0:54,ぼん太,メンバー（3 か月）,こんリリ
0:55,ぴょんきちぴょん,メンバー（3 か月）,きちゃ
0:56,他人丼,非メンバー,こんリリー
0:56,タトウ,メンバー（1 か月）,こんりりー
0:57,ひょたろ,メンバー（2 か月）,ついえら
0:58,そばところ,メンバー（1 年 6 か月）,こんリリー
0:58,ボーちゃん四代目,メンバー（1 年 6 か月）,こんリリー
0:59,ちょば,非メンバー,こんリリ！
1:00,くらん,非メンバー,こんりり〜
1:02,ぷろどらっぐ,メンバー（5 か月）,こんリリー
1:05,クェーサー,メンバー（1 年 6 か月）,こんリリ～
1:09,ショボんショボン,メンバー（1 年 6 か月）,こんりりー
1:11,rey rey,新規メンバー,こんリリー！
1:11,雨雷〈ユイレイ〉,メンバー（4 か月）,こんリリ～
1:12,ウジエル,メンバー（1 年 6 か月）,こんリリー
1:12,きゅうりサンプル,メンバー（1 年 6 か月）,こんリリ〜
1:13,47 31,メンバー（4 か月）,こんりり
1:17,こからいあ,メンバー（1 年 6 か月）,こんリリ〜
1:18,ZEN,非メンバー,こんリリーー
1:19,魂暁/こあ,メンバー（1 年 6 か月）,声聞こえた！
1:19,水筒,メンバー（2 か月）,こんリリー
1:19,香気・なき・ニワトリ,メンバー（6 か月）,こんりり～！！
1:20,なべし,メンバー（1 年 1 か月）,こんリリー
1:20,てりさ,メンバー（3 か月）,こんリリ〜
1:21,おると,メンバー（9 か月）,こんリリ！
1:21,さぬきち,メンバー（1 年 5 か月）,こんばんはー
1:22,ひいろ,メンバー（2 か月）,こんリリー！
1:22,ただのゲーム好き,非メンバー,こんりりー
1:22,緑春みどりはる,新規メンバー,こんりりー
1:23,貝野星,メンバー（2 か月）,こんリリー
1:23,かたぴか,メンバー（8 か月）,こんリリ！
1:24,ぴょんきちぴょん,メンバー（3 か月）,こんリリ～
1:24,beta,メンバー（1 年 6 か月）,こんばんは
1:24,ウジエル,メンバー（1 年 6 か月）,こんばんはー
1:24,モリモリスーラ,非メンバー,こんリリ〜！
1:25,ねぎま,非メンバー,こんリリ〜！
1:25,くまごろう,メンバー（1 年 6 か月）,こんリリー
1:26,びんす,メンバー（1 年 6 か月）,こんリリ！
1:29,ライト,非メンバー,こんリリ〜
1:29,さぬきち,メンバー（1 年 5 か月）,なんて？
1:29,Chris,メンバー（2 か月）,こんリリ
1:29,ロリ巨乳主義ヌーマ,メンバー（1 年 6 か月）,こんリリー
1:30,No. 25,メンバー（1 年 4 か月）,こんリリ～
1:30,ぷろどらっぐ,メンバー（5 か月）,こんー
1:30,戦人ぱすとも,メンバー（1 年 6 か月）,こんリリ〜！
1:31,ななめん,非メンバー,こんリリー
1:31,のの,新規メンバー,こんリリ～！
1:31,タトウ,メンバー（1 か月）,なんて？
1:31,ひいろ,メンバー（2 か月）,顔良！
1:31,香気・なき・ニワトリ,メンバー（6 か月）,語尾が独特
1:32,崖ノ上のたっちゃん,メンバー（2 か月）,身を削る戦い
1:32,ちょば,非メンバー,こんリリ！
1:33,熊猫,非メンバー,こんリリ
1:33,灰緑kairyoku,非メンバー,まんめんみ
1:33,ラフパスト,メンバー（9 か月）,こんリリ〜
1:33,6スコガルツォーク,非メンバー,YO
1:34,たいと,メンバー（9 か月）,もんめんみんみ
1:35,魂暁/こあ,メンバー（1 年 6 か月）,ﾓﾝﾒﾝﾐﾝﾐﾝﾐ
1:35,Gene,メンバー（10 か月）,Yo
1:35,のれのーと,メンバー（1 年 3 か月）,こんばんは！
1:37,オブザーバー,非メンバー,未来人・・・好きだ・・・
1:37,ぴょんきちぴょん,メンバー（3 か月）,もんめんみみ～
1:38,Nodogeita Kappano,メンバー（2 か月）,今日もかわいい
1:39,おいしい雑煮,メンバー（8 か月）,こんリリ
1:42,香気・なき・ニワトリ,メンバー（6 か月）,イキリ？
1:42,イナカ ケイコウ,メンバー（1 年 6 か月）,やっぱレイスつえーよなー
1:43,ソイソース,非メンバー,やるやん
1:43,Chris,メンバー（2 か月）,:_てへリリ:
1:43,ななめん,非メンバー,よもやよもやだ！
1:43,beta,メンバー（1 年 6 か月）,もうちょいじゃん
1:43,魂暁/こあ,メンバー（1 年 6 か月）,もうちょっとだ！
1:44,マー,メンバー（6 か月）,こんリリ～
1:45,やまざきゆう,メンバー（1 年 6 か月）,あと68pt！
1:47,ハーフブロック,メンバー（7 か月）,こんリリ！
1:47,ジャック酸,非メンバー,こんリリー
1:48,クェーサー,メンバー（1 年 6 か月）,懸垂頑張ったね…
1:48,りんでる,メンバー（1 年 6 か月）,プラチナ目前だあ
1:48,ショボんショボン,メンバー（1 年 6 か月）,髪型冒険しすぎじゃない？
1:48,taco pin,メンバー（10 か月）,こんリリ…！！
1:52,じっぺんしゃっくり,メンバー（1 年 6 か月）,デーモンになっちゃったよ？
1:53,くまごろう,メンバー（1 年 6 か月）,課題やらずにゲームしてたんですか？
1:55,貝野星,メンバー（2 か月）,タスク優先してえらい
1:55,ぞでぃお,メンバー（1 年 6 か月）,配信したくなっちゃったか
1:56,なべし,メンバー（1 年 1 か月）,ワンチャン一回でいけるね
1:58,Nodogeita Kappano,メンバー（2 か月）,頭丸めたのか...
1:58,ぷろどらっぐ,メンバー（5 か月）,よもやよもやだ
2:03,戦人ぱすとも,メンバー（1 年 6 か月）,ハゲで盛ったの？
2:05,ぞでぃお,メンバー（1 年 6 か月）,ダメじゃん
2:06,ショボんショボン,メンバー（1 年 6 か月）,わかるわかる
2:06,モリモリスーラ,非メンバー,片手間に？
2:06,魂暁/こあ,メンバー（1 年 6 か月）,すごい！
2:07,カレラ,非メンバー,なるほど
2:08,くすみン,メンバー（3 か月）,こんリリ！
2:12,ぴょんきちぴょん,メンバー（3 か月）,ゴールドI☆
2:16,香気・なき・ニワトリ,メンバー（6 か月）,片手間の方が伸びるのあるある
2:16,こからいあ,メンバー（1 年 6 か月）,深夜のラーメンと同じ
2:16,ちょば,非メンバー,片手間のゲームは沼
2:17,ぷろどらっぐ,メンバー（5 か月）,ほんとに片手間？
2:21,ななめん,非メンバー,こっから沼るやつですね。わかります
2:22,イナカ ケイコウ,メンバー（1 年 6 か月）,なんなら2位とか3位でも上がる
2:22,ナマケロ,非メンバー,こんリリ〜
2:28,びんす,メンバー（1 年 6 か月）,トブか……
2:28,水筒,メンバー（2 か月）,パチンコの典型的な嵌り方
2:29,貝野星,メンバー（2 か月）,息抜きは大事だしな
2:36,くまごろう,メンバー（1 年 6 か月）,草
2:37,d,メンバー（1 年 6 か月）,草
2:37,やまざきゆう,メンバー（1 年 6 か月）,オイオイオイ
2:37,魂暁/こあ,メンバー（1 年 6 か月）,天才！
2:37,おると,メンバー（9 か月）,あっ
2:37,beta,メンバー（1 年 6 か月）,草
2:38,のれのーと,メンバー（1 年 3 か月）,あっ…
2:38,クェーサー,メンバー（1 年 6 か月）,築いたか…
2:39,モリモリスーラ,非メンバー,草
2:40,雨雷〈ユイレイ〉,メンバー（4 か月）,草
2:40,いかわ,メンバー（1 年 6 か月）,オクタン…
2:40,そばところ,メンバー（1 年 6 か月）,気づいてしまったか
2:41,ウジエル,メンバー（1 年 6 か月）,やめて差し上げて
2:41,雀のチュンすけ,メンバー（1 年 6 か月）,オクタンの存在意義がぁ！
2:41,ダイハー,メンバー（1 年 2 か月）,草
