timestamp,author_name,membership,text
-1:20:42,もこちん,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:19:05,あかべこ,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:18:33,fuka fuka,メンバー（6 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく::_Aliceびっくりまーく:
-1:18:20,あるは/ Alfa uhi,メンバー（2 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:17:54,青月貴夜_アオツキタカヤ,メンバー（1 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:16:31,せつよく,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:15:37,鴉猫,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:06:53,ふぇーん,メンバー（6 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-1:03:10,ひげみるく,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-52:19,めいみく,メンバー（2 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-50:30,フィンス,メンバー（6 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-42:36,Aria Yuna,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-39:20,ryo竹の子,メンバー（6 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-32:23,shinki 0529,メンバー（6 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-31:01,兎Seven,メンバー（1 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-20:56,わたいるん!,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-20:25,Jack Sin,新規メンバー,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-19:13,Safelt Nemesis,非メンバー,kawaii..
-17:53,くろすず,メンバー（2 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-16:05,どりーま,非メンバー,待機いたしますわ❣️
-15:08,あべべ,メンバー（2 年）,たるたるそーす先輩にレモンぶつけたい
-12:10,ぇぇね,非メンバー,間に合うた
-10:03,ばらむ,メンバー（1 年）,間に合った:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-9:48,fulひゅーる,メンバー（2 か月）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-8:43,ラーク,メンバー（2 か月）,お仕事なのでアーカイブ:_Aliceじゃいぴんく:
-8:01,ぇぇね,非メンバー,見るたけわ
-7:30,ぇぇね,非メンバー,わかるけど。
-5:26,はるこう,メンバー（1 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
-5:13,じゅんいちもんざえもん,メンバー（1 年）,じゃいじゃい！
-4:09,レセキア,メンバー（1 年）,:_Aliceじゃいぴんく::_Aliceじゃいぴんく:
