timestamp,author_name,membership,text
-9:46,コイントス.exe先生追っかけ用,メンバー（1 年 7 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-9:38,【3年0組】郡道美玲の教室,確認済み,ついちょるよ
-9:00,ダークまさろう,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-8:44,フィジカル菩薩,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき:
-7:53,ヒロト,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-7:49,風見烏,メンバー（1 年 7 か月）,懲役かなにかかな・・・？
-7:31,Poko 。,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-6:35,Raspberry,メンバー（10 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-6:15,ルル,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-6:00,sata,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-5:57,「ぽ」と「こ」の間を探しているチンさん,メンバー（3 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-5:49,やまさんや,メンバー（5 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-5:00,bogu,非メンバー,SKB部もっとやってくれー
-4:50,Takeya,メンバー（2 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-4:42,立風tachikaze,メンバー（7 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい::_ぐんぐんいいいいい::_ぐんぐんいいいいい::_ぐんぐんいいいいい:
-2:25,あかへる,メンバー（1 年 7 か月）,みんな走り方覚えてるか
-2:21,black -,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-2:18,幽霊,メンバー（10 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-2:03,#シアン,新規メンバー,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:47,MOTHERSHIP,メンバー（2 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:46,一般スベスベマンジュウガニ,メンバー（10 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:43,モナヲ,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:42,モヤ兄,メンバー（7 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい::_ぐんぐんいいいいい::_ぐんぐんいいいいい:
-1:40,【3年0組】郡道美玲の教室,確認済み,ちょいまちよ！
-1:32,立風tachikaze,メンバー（6 か月）,了解よ
-1:32,Enon,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:29,とうふなべ,メンバー（1 年）,り
-1:27,つるつる頭のもじゃx2あふろ,メンバー（1 年 6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:27,ルル,メンバー（1 年 4 か月）,りょ！
-1:27,あかへる,メンバー（1 年 7 か月）,まちます
-1:26,メビウス,メンバー（11 か月）,りょ
-1:25,なおおじ,メンバー（11 か月）,りょ
-1:24,スターダニエル,メンバー（6 か月）,了解！
-1:24,ダークまさろう,メンバー（1 年 7 か月）,御意
-1:23,ハザン,モデレーター,了解わよ
-1:23,狐狗,新規メンバー,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:22,まねこん,メンバー（1 年）,了解です
-1:21,MOTHERSHIP,メンバー（2 か月）,了解
-1:20,たつかわ,メンバー（1 年 1 か月）,りょ
-1:20,Enon,メンバー（6 か月）,了解です
-1:20,Raspberry,メンバー（10 か月）,了解
-1:19,音割れ眼鏡,メンバー（11 か月）,りょ
-1:14,狐狗,新規メンバー,はーい
-1:11,Takeya,メンバー（2 か月）,了解:_ぐんぐんいいいいい:
-0:58,つるつる頭のもじゃx2あふろ,メンバー（1 年 6 か月）,了解です
-0:33,幽霊,メンバー（10 か月）,了解
-0:22,K !,メンバー（1 年 3 か月）,りょ！
0:08,くっこロビン,メンバー（1 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
0:14,930さん,非メンバー,きちゃあ
0:15,とうふなべ,メンバー（1 年 2 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:16,まやとん,メンバー（1 年 7 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん::_ぐんぐんぐんぐん::_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:18,コイントス.exe先生追っかけ用,メンバー（1 年 7 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:19,ルル,メンバー（1 年 4 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:19,風見烏,メンバー（1 年 7 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:20,きょーごくどう,メンバー（1 年 5 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:21,kanon,メンバー（1 年）,きちゃ
0:24,sata,メンバー（1 年）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:24,メビウス,メンバー（11 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:24,Takeya,メンバー（2 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:24,子豚のアリア,メンバー（9 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:25,ダークまさろう,メンバー（1 年 7 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
