timestamp,author_name,membership,text
-4:37,烏龍ちゅ,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-4:33,Takeya,メンバー（2 か月）,りょ
-4:32,99 Richard,新規メンバー,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-4:23,チワ,メンバー（6 か月）,了解です！
-4:21,塩こぶセロリ,非メンバー,了解ですー！頑張って下さい
-4:16,たんぱっく,メンバー（6 か月）,頑張れ！
-4:06,ダークまさろう,メンバー（1 年）,:_ぐんぐんさむらい::_ぐんぐんききききき::_ぐんぐんいいいいい:
-3:52,bo丸,メンバー（1 年）,頑張って下さい！
-3:33,ゼタすわ。,メンバー（6 か月）,頑張って下さい！
-3:32,MOTHERSHIP,メンバー（2 か月）,了解です
-3:27,k- tote,新規メンバー,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-3:22,幽霊,メンバー（6 か月）,頑張って！
-3:18,たつかわ,メンバー（1 年）,了解
-2:38,情報お届け屋,メンバー（6 か月）,了解です〜
-2:36,*とみや,非メンバー,ふぁいとです\( ´ω` )/
-2:24,zakimoto,メンバー（1 年）,頑張ってください
-2:14,メビウス,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-2:11,ブラックサンダー,非メンバー,勝って欲しい！！
-2:08,山口登,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:57,하류/ハリュ,非メンバー,もう緊張する
-1:56,徒歩5秒,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:52,しらかわゆう,新規メンバー,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:37,コイントス.exe先生追っかけ用,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-1:34,なおおじ,メンバー（6 か月）,りょ
-1:10,バッファローマン,メンバー（1 年）,頑張れ
-1:07,とろサーモン,非メンバー,ぐんぐんしてきた
-0:51,j2 dayo,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-0:49,香椎詩乃,メンバー（6 か月）,自分を信じて突き進んでください！
-0:36,お手て難民,メンバー（1 年）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-0:29,【3年0組】郡道美玲の教室,確認済み,はじめまし
-0:29,あすとろ,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-0:27,烏龍ちゅ,メンバー（6 か月）,楽しんで下さーい！
-0:23,ルル,メンバー（1 年）,ほいほい
-0:16,ハザン,メンバー（1 年）,ウス
-0:15,まねこん,メンバー（1 年）,はーい
-0:15,お手て難民,メンバー（1 年）,先生がんばえー
-0:14,たつかわ,メンバー（1 年）,はーい
-0:14,立風tachikaze,メンバー（6 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
-0:09,近衛ガガ,メンバー（6 か月）,がんばれ:_ぐんぐんあーねねねねねｎ:がんばれ:_ぐんぐんあーねねねねねｎ:
-0:08,メビウス,メンバー（6 か月）,がんばえー
-0:07,塩こぶセロリ,非メンバー,がんがえー！
-0:07,black -,メンバー（6 か月）,がんばえー！
-0:06,MOTHERSHIP,メンバー（2 か月）,はい
-0:04,Takeya,メンバー（2 か月）,ほい
-0:03,バッファローマン,メンバー（1 年）,はい
-0:02,ぜぶる,メンバー（6 か月）,あい
-0:01,胡麻和え,メンバー（2 か月）,ばえー
-0:00,よもぎもち,メンバー（2 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい::_ぐんぐんいいいいい::_ぐんぐんいいいいい:
0:05,Pure/ピュア,メンバー（2 か月）,:_ぐんぐんまてまて::_ぐんぐんききききき::_ぐんぐんいいいいい:
0:13,まねこん,メンバー（1 年）,楽しんで
0:13,ルル,メンバー（1 年）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:14,まやとん,メンバー（1 年）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:15,i- r0k,メンバー（1 か月）,怖い
0:17,ルル,メンバー（1 年）,首がｗ
0:17,ドソキーユング,メンバー（1 年）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:20,カズ,非メンバー,コワイ
0:20,立風tachikaze,メンバー（6 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
0:20,Arkana,非メンバー,lol
0:20,ゼタすわ。,メンバー（6 か月）,こんばん:_ぐんぐんぐんぐん::_ぐんぐんぐんぐん:
