video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
4NL3xHjHX5Q,【雑談】今年最後のうるせぇオンライン忘年会【にじさんじ郡道】,2020-12-30,4374,1h 12m 54s,2118,287,0.4842249657064472,152,8,5,16,31,75,0
-rhdEs3tV18,【Superliminal】新感覚謎解きゲーですがIQ5億なので余裕だと思います。【にじさんじ郡道】,2020-12-27,8266,2h 17m 46s,2981,407,0.36063392209049117,318,7,1,13,24,44,0
BRQfQYztPfs,【#SKB部】クリスマスソロボッチガチ勢が桃鉄全力対戦♡【にじさんじ】,2020-12-25,13151,3h 39m 11s,7112,1168,0.5407953767774314,1073,2,6,14,23,50,0
evT8r6gEAn0,クリスマス特別♡リスナー恋愛失敗談マシュマロ晒し大会,2020-12-25,7619,2h 6m 59s,3301,392,0.43325895786848667,287,5,5,14,28,53,0
Q3yM03l9BNc,【APEX】クリスマスイブなのにソロランクなんですか？【にじさんじ郡道】,2020-12-24,23316,6h 28m 36s,2963,324,0.12708011665808885,222,10,6,15,25,46,0
oauACCNXN5M,【#雀魂】新イベント到来！視聴者参加型でポイント稼ぐわよ～！【にじさんじ郡道美玲】,2020-12-23,8020,2h 13m 40s,2234,326,0.27855361596009975,224,6,4,15,24,53,0
60Ck4e38WrI,【新感覚音ゲー】リズム感皆無でもステージクリア出来ますか！？【MAD RAT DEAD/にじさんじ郡道】,2020-12-22,10432,2h 53m 52s,2640,401,0.25306748466257667,297,5,3,13,28,55,0
iUepBtxKxK4,【伊東ライフ/天開司】最早捨てるものがない女の #雀魂 コラボ【因幡はねる/にじさんじ郡道視点】,2020-12-21,8240,2h 17m 20s,2640,295,0.32038834951456313,180,4,5,16,35,55,0
WnCZemUYLpk,【#IH先鋒リベンジ卓】俺たちがニチアサだ。(寝起きおじさん)【#雀魂/にじさんじ郡道視点】,2020-12-20,5901,1h 38m 21s,1322,196,0.224029825453313,116,4,6,8,23,39,0
ecqxhGIGxws,【#マリカにじさんじ杯】俺のMiiをティエリアと呼ぶな。【にじさんじ郡道美玲視点】,2020-12-19,3675,1h 1m 15s,1822,621,0.49578231292517005,489,7,5,19,40,61,0
Ybw1mA918Hs,【雑談】突発♡深夜のマシュマロ相談室【にじさんじ郡道】,2020-12-19,11592,3h 13m 12s,4577,494,0.3948412698412698,375,13,3,24,32,47,0
H6RUdgg3GJc,【渋谷ハル/獅子神レオナ】APEX #渋谷ハルカスタム の子羊枠ですいじめないでください【にじさんじ郡道】,2020-12-17,7297,2h 1m 37s,1690,180,0.23160202823077977,81,3,2,8,38,48,0
O-S2A4Rqg7s,【Among us】IQ999999999999999999999天才プレイ(予想)【#にじホロ宇宙人狼】,2020-12-16,4894,1h 21m 34s,3567,529,0.7288516550878626,410,8,2,11,43,55,0
6OqZPfC1z8A,【Among us】IQ999999999999999999999天才プレイ(予想)【#にじホロ宇宙人狼】,2020-12-16,405,0h 6m 45s,187,103,0.4617283950617284,34,3,2,5,27,32,0
T29uAJiBODU,【雑談】しれっとにじ3D【にじさんじ郡道】,2020-12-15,5165,1h 26m 5s,3625,442,0.7018393030009681,293,11,8,11,52,67,0
ce3MWRi2KsI,【APEX耐久】あと9ポイントで遂に初プラチナになるRTA配信【にじさんじ郡道】,2020-12-14,4667,1h 17m 47s,3315,406,0.7103064066852368,282,7,5,8,45,59,0
H1DEXnVmdho,【SKB部 コラボ】マリカ大会に向けて猛特訓♡罰ゲームあり！？【にじさんじ郡道美玲視点】,2020-12-13,9408,2h 36m 48s,2897,250,0.30792942176870747,139,6,5,5,36,59,0
glVQXDw3yCI,【APEX耐久】今シーズンで初プラチナ行きたい全力えぺ。【にじさんじ郡道】,2020-12-13,30344,8h 25m 44s,6570,426,0.21651726865278145,296,8,7,6,47,62,0
iMMtNB9eNt0,【APEX】じゃんけん大会の前に殺意を高めておきたい配信。【にじさんじ郡道】,2020-12-12,11779,3h 16m 19s,2171,253,0.1843110620595976,159,2,1,8,40,43,0
uFEmOwG5oLI,【APEX】過去最高ランクを更新したい発狂ガチランクおじさん【にじさんじ郡道】,2020-12-11,13555,3h 45m 55s,2613,318,0.19277019549981556,226,7,3,3,32,47,0
zDGi6ThXQ5I,【検証】7日間断食道場に行くと、引きこもりはどれだけダイエット出来るのか！？【雑談/にじさんじ郡道】,2020-12-11,7548,2h 5m 48s,5432,576,0.7196608373078961,425,10,8,7,58,68,0
ClAahpaixdU,【#雀魂】視聴者参加型のんびり友人戦(&#39;ω&#39;)ノ【にじさんじ郡道】,2020-12-07,6680,1h 51m 20s,3621,414,0.542065868263473,311,16,7,8,38,34,0
