timestamp,author_name,membership,text
-35:06,Seveto,非メンバー,二回行動たすかる
-29:07,きゅー,モデレーター,概要欄物騒で草
-22:25,623 mc,モデレーター,待機:_kanKohaku:
-17:41,もあこ,モデレーター,:_kanMaa::_kanChi::_kanNikuQ:
-17:38,イトこんにゃく,非メンバー,たすかる、待機中～
-15:44,sore03 nani,非メンバー,シナプス焼却...
-15:32,シロ,非メンバー,待機
-12:25,一般通過ジョーズ,非メンバー,結局知技ビルドになったのかしら クイックハックは中盤から無双できるから楽しい
-11:10,Seveto,非メンバー,あっ！5時！？やべ！！！
-10:40,さち,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKodama:
-9:51,すなお。,新規メンバー,19時からってツイートしてたからビビった:_kanMaa::_kanChi::_kanShino:
-2:56,赤ズキン,非メンバー,サムネの開眼の目、何か良いな
-2:42,S. Byrne,メンバー（6 か月）,17時と午後7時が混ざったのか
-2:28,ジョンS,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKohaku:
-1:56,月海,メンバー（6 か月）,:_kanMaa::_kanChi:
-1:40,ゆき,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKohaku:
-1:25,ばのちゃん,新規メンバー,:_kanMaa::_kanChi::_kanChi::_kanChi::_kanChi::_kanKohaku:
-1:19,おいしい刺身,メンバー（6 か月）,:_kanMaa::_kanChi:
-1:13,The Meloan,非メンバー,how's it goin
-0:57,たかみー,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKodama:
-0:50,イトこんにゃく,非メンバー,どきがむねむね
-0:40,みずみなと,メンバー（2 か月）,:_kanMaa::_kanChi:
0:11,赤ズキン,非メンバー,今年はクリスマスコラボなんかやるんやろか
0:14,ジョンS,メンバー（6 か月）,きちゃ
0:24,もあこ,モデレーター,きちゃ
0:28,623 mc,モデレーター,きた
0:31,ぽん丸,非メンバー,きちゃ
0:36,すなお。,新規メンバー,きちゃ
0:37,イトこんにゃく,非メンバー,きちや!
0:51,海のキノコ,メンバー（6 か月）,きちゃ
0:51,みずみなと,メンバー（2 か月）,きちゃ
1:05,623 mc,モデレーター,:_kanKon::_kanKan::_kanDaa:
1:12,もあこ,モデレーター,こんちゃ
1:13,ゆき,メンバー（6 か月）,:_kanKon::_kanKan::_kanDaa:
1:15,月海,メンバー（6 か月）,こんかんだ
1:23,miri tato,非メンバー,Helloooooooooooooooo
1:28,Gaius Cassius,非メンバー,こんかんだー
1:30,ねむりん,メンバー（2 か月）,こんかんだ〜
1:40,さち,メンバー（6 か月）,:_kanKon::_kanKan::_kanDaa:
