timestamp,author_name,membership,text
-24:01,すなお。,新規メンバー,ねむすぎ待機
-15:26,もあこ,モデレーター,:_kanMaa::_kanChi::_kanNikuQ:
-11:40,623 mc,モデレーター,待機:_kanKohaku:
-11:22,月海,メンバー（6 か月）,:_kanMaa::_kanChi:
-6:32,もちもち,メンバー（6 か月）,:_kanMaa::_kanMaa::_kanChi::_kanChi:
-6:00,マスター・キリボシ,非メンバー,待機
-4:55,あさまゆの,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKohaku:
-2:30,のりん,非メンバー,おはかんださま
-2:07,のりん,非メンバー,みなさま、おはようございますー
-1:25,橘さん,非メンバー,おはかんだ…待機
-0:39,おいしい刺身,メンバー（6 か月）,:_kanMaa::_kanChi:
-0:33,工藤綾,非メンバー,待機
-0:23,Saito火雪導,非メンバー,おは
-0:16,Saito火雪導,非メンバー,概要欄草
-0:09,YM3.ワイエムスリー,非メンバー,おはよう！
0:10,イトこんにゃく,非メンバー,おはかんだー！
0:12,623 mc,モデレーター,おはよー
0:16,月海,メンバー（6 か月）,おはおは
0:23,もぶもぶ,非メンバー,おはよう
0:26,froggyappletart,非メンバー,hello
0:31,ほむQB,非メンバー,おはー
0:33,シャオ,メンバー（6 か月）,おはかんだ
0:37,ぽかり,非メンバー,おはかんだー！
0:38,黒羽九郎,非メンバー,おはようございます！
0:38,さち,メンバー（6 か月）,おはようございます〜
0:38,海月ネヲン,メンバー（6 か月）,おはかんだ～
0:39,Guilherme,非メンバー,bom dia
0:42,あさまゆの,メンバー（6 か月）,おはかんだ〜〜
0:45,Yアクオン,メンバー（6 か月）,おはかんだー
0:46,空我-3085-,非メンバー,おはかんだ〜
0:47,ほたる。,非メンバー,おはかんだ！
0:51,hkぼうべぇ,非メンバー,おはかんだー
0:56,神代雪花,非メンバー,おはよー
0:59,Roadagain,非メンバー,おはかんだ〜
0:59,AKS_しゅり,非メンバー,おはかんだ！
1:05,Mi st,新規メンバー,おはかんだー
1:10,しゅいろ,非メンバー,寒いっすね！！！
1:13,いすゞ,メンバー（6 か月）,おは神田
1:16,烏龍茶,非メンバー,おはかんだ
1:26,Saito火雪導,非メンバー,クリスマスにはシャケを食え！
1:33,アルパカ兄さん,非メンバー,おはよーう
1:34,623 mc,モデレーター,寒いよ
1:35,ポン酢ジュレ夫,非メンバー,おはかんだー
1:38,にわかのごうまん,メンバー（6 か月）,年末掃除してもろて
1:40,橘さん,非メンバー,今年ももう終わる…早いなぁ
1:40,マスター・キリボシ,非メンバー,年内最後の放送が新ライダー参戦回に
1:40,あさまゆの,メンバー（6 か月）,めっちゃ雪積もったで
1:43,もぶもぶ,非メンバー,寒いっすねー
1:43,楼蘭.,非メンバー,おはかんだー
1:45,337ミスナ,非メンバー,冷え込むね〜
1:50,S. Byrne,メンバー（6 か月）,プロデューサーさん！冬ですよ！冬！
1:54,眼_,メンバー（6 か月）,おはようございます
1:56,イトこんにゃく,非メンバー,さっむいわぁ
2:09,あさまゆの,メンバー（6 か月）,かなしいなぁ
2:09,しゅいろ,非メンバー,道民だけどクリスマスもあまり雪降らなかったな〜
2:12,マスター・キリボシ,非メンバー,あぁ〜アレっすかσ(^_^;)
2:16,烏龍茶,非メンバー,わかる
2:20,hio Mk1,非メンバー,あー
2:24,もちもち,メンバー（6 か月）,おはかんだ～
2:24,あかたなさ,非メンバー,おはようございます
2:27,すなお。,新規メンバー,キレる流石に
2:29,たかみー,メンバー（6 か月）,おはかんだ～
2:29,もあこ,モデレーター,かなしみ
2:31,あぶりカルビン,非メンバー,youtubeくんの気遣いが仇にｗ
2:35,森さんふーじん,非メンバー,発売日前日にいきなり情報解禁と来た
2:44,Mi st,新規メンバー,公式ネタバレは悲しいんだよ
2:45,イトこんにゃく,非メンバー,テロだwネタバレテロであるw
2:48,橘さん,非メンバー,あるある
2:50,337ミスナ,非メンバー,おのれ財団B
2:52,みだれざき,非メンバー,おはよー
2:52,マスター・キリボシ,非メンバー,そう来たか！ってなりはしましたがσ(^_^;)
2:52,空我-3085-,非メンバー,公式にやられちゃあどうしようもないな
2:57,エン,メンバー（2 か月）,オモチャ関連はネタバレに弱い
2:59,イットリウム,非メンバー,おはかんだー
3:02,イクサ,非メンバー,おはかんだー
3:13,623 mc,モデレーター,仕方ない
3:22,ポン酢ジュレ夫,非メンバー,まぁ…もっと前に株主資料で出しちゃってるからね…w
3:24,Saito火雪導,非メンバー,俺この場合、ブロックだわ
3:30,アルパカ兄さん,非メンバー,それな
3:36,エン,メンバー（2 か月）,致し方無し
3:39,あさまゆの,メンバー（6 か月）,せやな
3:51,ニワシキ,非メンバー,大人の事情やあ、致し方なしではあるが風情は無い
3:56,雑炊,非メンバー,おはかんだ〜
