timestamp,author_name,membership,text
-14:25,もあこ,モデレーター,やっちゃー
-14:06,623 mc,モデレーター,待機:_kanKodama:
-13:47,きらりんf,メンバー（1 年 3 か月）,:_kanMaa::_kanChi:
-13:19,Lierra,メンバー（1 年 3 か月）,:_kanMaa::_kanChi::_kanDaa::_kanAaa::_kanBikkuri:
-13:05,きらりんf,メンバー（1 年 3 か月）,ffうれしみ
-11:01,イギリスザリガニ,メンバー（6 か月）,:_kanMaa::_kanChi:
-6:36,ツヅラ,メンバー（4 か月）,待機
-1:12,月海,メンバー（6 か月）,:_kanMaa::_kanChi:
-1:05,陽*ʜᴀʀᴜ,メンバー（6 か月）,:_kanMaa::_kanChi::_kanKohaku:
-0:31,337ミスナ,非メンバー,待機
-0:31,mitsuki,モデレーター,待機
0:25,もあこ,モデレーター,！！！
0:34,あさまゆの,メンバー（1 年 3 か月）,お？？
0:35,337ミスナ,非メンバー,およ？
0:35,イギリスザリガニ,メンバー（9 か月）,OPが…！
0:37,623 mc,モデレーター,！
0:39,きらりんf,メンバー（1 年 3 か月）,こんかんだー
0:40,流花,メンバー（6 か月）,ん？
0:41,おいしい刺身,メンバー（10 か月）,:_kanMaa::_kanChi:
0:43,うれー,非メンバー,待機
0:47,イギリスザリガニ,メンバー（9 か月）,一人パンイチいない？
0:50,月海,メンバー（10 か月）,こんかんだー
0:51,もあこ,モデレーター,まいでぃーさん？！
1:01,ルルが効く,メンバー（6 か月）,こんかんだー
1:02,しのみね,非メンバー,マイディーさん…
1:09,犬村ネル,非メンバー,マイディさん？
1:12,あのす,メンバー（1 年 3 か月）,こんかんだー
1:19,もあこ,モデレーター,(´；ω；｀)ﾌﾞﾜｯ
1:20,イギリスザリガニ,メンバー（9 か月）,ああ、そうか。じょびか…
1:25,イギリスザリガニ,メンバー（9 か月）,:_kanKon::_kanKan::_kanDaa::_kanAaa:
1:28,卵男,メンバー（6 か月）,:_kanKon:
1:34,流花,メンバー（6 か月）,こんかんだ
1:41,337ミスナ,非メンバー,ああ…
2:01,月海,メンバー（10 か月）,ああ.....
2:23,龍尾【りゅうび】テンテンノ,非メンバー,こんかんだー
2:34,もあこ,モデレーター,こんかんだ
2:34,mitsuki,モデレーター,こんかんだ
2:36,陽*ʜᴀʀᴜ,メンバー（6 か月）,こんかんだ
2:37,623 mc,モデレーター,:_kanKon::_kanKan::_kanDaa:
2:38,三角形八個,非メンバー,こんかんだー
2:39,流花,メンバー（6 か月）,聞こえます
2:40,あさまゆの,メンバー（1 年 3 か月）,こんかんだ
2:41,御未,非メンバー,こんかんだー
2:42,おいしい刺身,メンバー（10 か月）,こんかんだ～
2:44,月海,メンバー（10 か月）,こんかんだー
2:45,まっちゃん,モデレーター,こんかんだ
2:45,佐山,非メンバー,こんかんだー
2:46,イギリスザリガニ,メンバー（9 か月）,FF14のみならず、オンラインゲームというモノに新たなステージを与えてくれた偉大な人だった…
2:46,葵稲妻,非メンバー,こんかんだ
2:51,31 NEØ,非メンバー,こんかんだー
2:52,Lierra,メンバー（1 年 3 か月）,:_kanKon::_kanKan::_kanDaa:
2:54,なぎ・。・,メンバー（1 年 3 か月）,こんかんだー
2:56,しのみね,非メンバー,こんかんだー
3:01,337ミスナ,非メンバー,こんかんだー
3:02,川の二,非メンバー,こんかんだ～
3:30,犬村ネル,非メンバー,これがサスタシャ村かぁ
3:55,ゆき,メンバー（6 か月）,こんかんだー
4:10,623 mc,モデレーター,うん
4:19,きらりんf,メンバー（1 年 3 か月）,うむ
4:22,mitsuki,モデレーター,ほう
4:29,みー。,非メンバー,こんかんだ！
4:44,ハレナツ,非メンバー,泣いてる……？
4:45,アール,メンバー（1 年 2 か月）,こんかんだ
4:47,猫又しるく,メンバー（5 か月）,リアルタイムでblog読んでて笑ったなぁ…
4:47,ニキリ,非メンバー,こんかんだ！
4:48,陽*ʜᴀʀᴜ,メンバー（11 か月）,うんうん
4:57,きらりんf,メンバー（1 年 3 か月）,面白いからな.......
4:57,流花,メンバー（6 か月）,うん
4:57,イギリスザリガニ,メンバー（9 か月）,一撃確サツSS日記…
5:12,御未,非メンバー,ホント面白いブログだったね
5:25,もあこ,モデレーター,あったね
5:36,Debon Nageyari,非メンバー,独身万歳すきだわ
5:40,Mark Io,非メンバー,ナナモ様にチッチキチー言わせたヒカセン
6:24,きらりんf,メンバー（1 年 3 か月）,当時は今よりもっと軽かったなぁw
6:32,御未,非メンバー,始めるきっかけだったのね
6:37,Lierra,メンバー（1 年 3 か月）,FF14は3Dゲーなのに必要スペック異様に低いよね
6:38,selenefan,非メンバー,​こんかんだ
6:43,ukana,メンバー（10 か月）,こんかんだー
6:54,イギリスザリガニ,メンバー（9 か月）,；ω；
7:27,かなはら,新規メンバー,こんかんだー
7:44,みづき,非メンバー,こんかんだ!!!!!!
8:43,あのす,メンバー（6 か月）,あったなあ
9:56,Lierra,メンバー（1 年 3 か月）,MMOやってんねえ！
9:56,。ろまるーん,非メンバー,既存プレイヤーだけど聞いていてワクワクする
9:58,もすぅちゃん,非メンバー,サスタシャ村だ、懐かし
10:18,きらりんf,メンバー（1 年 3 か月）,なかったねぇ
10:30,啓介三原,非メンバー,こんにちわー
10:32,ぺぺ,メンバー（8 か月）,こんかんだ
10:37,葵稲妻,非メンバー,今よりもいろんな物が無かった時代でしたね
10:40,623 mc,モデレーター,ほう
10:40,セトア,非メンバー,こんにちはー
10:42,咲姫,非メンバー,こんかんだ❕
10:54,ユウ,メンバー（3 か月）,当時タンクだったけど、操作とか調べたなあ
10:55,セトア,非メンバー,今ほど初心者に優しくなかったよねぇ
11:07,ikazuchi,非メンバー,大変なやつだ
11:26,ユウクリ,非メンバー,こんにちは～
11:31,。ろまるーん,非メンバー,剣術士選びたくなるんだよね オーソドックスな感じするし
11:43,もあこ,モデレーター,うんうん
11:51,陽*ʜᴀʀᴜ,メンバー（6 か月）,うんうん
12:08,Lierra,メンバー（1 年 3 か月）,あそこでガヤが発生するくらい人がいるのはすごい
12:22,猫又しるく,メンバー（2 か月）,ヘイトを理解出来てなくてイフリートでクルクル回るタンクいたなぁ
12:24,きらりんf,メンバー（1 年 3 か月）,うむうむ
12:39,ukana,メンバー（10 か月）,最初初心者の館なかったのか……
12:57,きらりんf,メンバー（1 年 3 か月）,館最近だからねw
13:11,もあこ,モデレーター,軍票
13:15,タカギこうが,非メンバー,戦果？
13:16,葵稲妻,非メンバー,軍票？
13:20,猫又しるく,メンバー（5 か月）,軍票
13:23,セトア,非メンバー,そもそも、ビギナー装備自体がなかったから、ID自体が敷居が高かった記憶があるわ
13:27,のすけ。,非メンバー,今北！がんばれええええ
13:32,きらりんf,メンバー（1 年 3 か月）,そーそーwチョコボ取るの大変なんだよw
13:32,もあこ,モデレーター,そうそう貯めるの大変だったねー
13:34,葵稲妻,非メンバー,マイチョコボ高かったのよねぇ
13:38,。ろまるーん,非メンバー,チョコボも今緩いですもんね
13:40,Mark Io,非メンバー,2_000って結構大変だったな…
13:48,かなはら,新規メンバー,いい思い出を聞かせてくれてる
13:49,セトア,非メンバー,マイチョコボ２０００だっけか
13:51,ユウ,メンバー（3 か月）,ブログそんな活動やってたのは知ってたけど、うらやましいなあ
15:11,もすぅちゃん,非メンバー,すご
15:14,ユウ,メンバー（3 か月）,すごいなあ
15:17,Licio-リシオ,非メンバー,それは凄い
15:20,セトア,非メンバー,ほえー
15:21,イギリスザリガニ,メンバー（9 か月）,おお
15:26,ルルが効く,メンバー（6 か月）,すご
15:27,月海,メンバー（10 か月）,ほえー
