timestamp,author_name,membership,text
-32:15,水おいしい,メンバー（1 年）,あ、ふと見たらサムネが変わってる
-32:13,Mr. OTK,非メンバー,謎メンツというかTRP……うぐっ
-28:56,ＢＡＮＩＹＡＭＡ,メンバー（6 か月）,でび様のTRPGやマダミスはいいぞ…！オススメはPL一人で見やすいまだら牛さんとこでの「カタシロ」
-24:54,のぶめら,メンバー（6 か月）,謎メンツ助かります…！
-23:37,ゆうこん,メンバー（1 か月）,夢のメンツ…！
-21:32,ざざびー,メンバー（6 か月）,おもしれ〜メンツ
-20:24,Arty,非メンバー,でぴちゃん！
-19:43,正亘・契約者・霧生,メンバー（1 年）,そんなぎょぴちゃんみたいな
-18:39,ゆうこん,メンバー（1 か月）,草
-13:48,H4T00,非メンバー,今日はアーカイブ勢じゃなくてリアタイで見れるやった〜！好きメンツしかいないので楽しみです
-10:16,まりも,メンバー（2 か月）,おじゃ！
-10:00,はり,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-9:29,ナタル宮崎,非メンバー,まぜまぜモリアーティが個人的には好き
-9:12,されにゃ,新規メンバー,:_ooo::_jjj::_yyy:
-8:01,二orz,非メンバー,おじゃ
-6:29,ひなた君,非メンバー,おじゃー
-6:06,二orz,非メンバー,神との戦いから学んで更に強くなったでびさまに期待
-5:40,syunki0561,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-5:30,シェーマス。,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-5:11,やまもとやま,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-5:10,syunki0561,メンバー（2 か月）,TRPGやマダミス勢と宇宙人狼か
-3:01,8OPO,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-2:43,CobalT,非メンバー,'lo debiru 😆
-2:36,にばん,新規メンバー,:_ooo::_jjj::_yyy:
-2:10,らぐらす,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-2:02,ダイズ,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-1:50,イチゴ大福,メンバー（6 か月）,おじゃ
-1:47,めろきち,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-1:37,UP to You,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-1:28,かわいいべるちゃん,メンバー（1 年）,:_ooo::_jjj::_yyy:
-1:15,れもんぐみ,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-1:14,あさま,新規メンバー,:_ooo::_jjj::_yyy:
-1:11,たむとんたむとん,非メンバー,おじゃ！
-1:09,おいも,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-1:09,はり,メンバー（2 か月）,たのしみ
-1:03,ふくちゃん,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:58,シャンクス,非メンバー,おじゃ〜
-0:56,薊,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:48,らっきー,非メンバー,おじゃ〜
-0:47,水おいしい,メンバー（1 年）,:_ooo::_jjj::_yyy:
-0:45,ごきげん元気,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:33,まいか,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:17,hiroyuki yoshikawa,非メンバー,おじゃ
-0:17,梅坂かなた,非メンバー,おじゃ
-0:10,夏虎,非メンバー,待機
-0:09,ファイア,新規メンバー,:_ooo::_jjj::_yyy:
-0:07,ぎん,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:02,えびまる,メンバー（2 か月）,:_ooo::_jjj::_yyy:
0:10,バクティー,メンバー（2 か月）,:_ooo::_jjj::_yyy:
0:15,たむとんたむとん,非メンバー,きちゃー
0:23,Pふにゃ,メンバー（1 年）,:_ooo::_jjj::_yyy:
0:27,MI KU,新規メンバー,:_ooo::_jjj::_yyy:
0:29,ぴよ,非メンバー,おじゃ〜
0:30,イイ,メンバー（2 か月）,:_ooo::_jjj::_yyy:
0:35,あいくら,非メンバー,かわいいｗ
0:35,微熱狐火,メンバー（1 年）,おじゃ～
0:37,大根降ろし,非メンバー,おじゃ〜
