timestamp,author_name,membership,text
-1:54,SiNo0823,非メンバー,おじゃ
-1:53,マスター・キリボシ,非メンバー,でびさんコナーを案の定ポンコツコナーにしてて草
-1:39,ふみちん,非メンバー,いよっしゃ、おじゃ
-1:37,トビクルカミィ,メンバー（1 年）,HANK & CONNOR
-1:30,斬字は斬月,メンバー（1 年）,おじゃ～
-1:25,ふくちゃん,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-1:21,ふみちん,非メンバー,ハンコナ勢元気だなー
-1:19,†べりある†,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-1:15,フジ,メンバー（2 か月）,:_ooo::_jjj::_yyy::_yyy::_yyy::_yyy:
-1:14,「C 」,メンバー（1 年）,:_ooo::_jjj::_yyy:
-1:14,れもんぐみ,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-1:12,ぴーみそ,メンバー（1 年）,:_ooo::_jjj::_yyy:
-1:09,スナッチ,メンバー（2 か月）,:_ooo::_jjj::_yyy::_ooo::_jjj::_yyy:
-1:08,おしボタン,メンバー（1 年）,おじゃろいと
-1:02,HERO,メンバー（1 年）,:_dddd::_ddddd::_tamasii:
-1:00,ふみちん,非メンバー,おじゃろいと
-0:56,スカイ,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:56,mow,非メンバー,おじゃ
-0:56,水おいしい,メンバー（1 年）,:_ooo::_jjj::_yyy:
-0:55,ディゾ,メンバー（1 年）,おじゃろいと
-0:52,村人A,非メンバー,おじゃ
-0:50,烏龍茶,非メンバー,おじゃろいと
-0:41,かわいいべるちゃん,メンバー（1 年）,でびさまああああああああああああああああああ！！！
-0:41,杏仁豆腐,メンバー（2 か月）,:_dddd:←風俗店の扉
-0:38,「C 」,メンバー（1 年）,今日は夜更かしできるから最後まで見ちゃお
-0:35,kazaki rondo,非メンバー,おじゃ
-0:33,ダイズ,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:31,まいか,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:30,びーふん,非メンバー,おじゃ〜
-0:29,ホセデーモン,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:28,ゆゆ丸,メンバー（1 年）,:_ooo::_jjj::_yyy:
-0:28,ふくちゃん,メンバー（2 か月）,:_tamasii::_tamasii::_tamasii::_dddd::_ddddd::_tamasii::_tamasii::_tamasii:
-0:24,ふみちん,非メンバー,おじゃろいと、てナニ？
-0:24,タンヤオおじさん,メンバー（6 か月）,連夜のデビロイトいいぞ～
-0:23,歯ガー市長,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:22,一兵卒,メンバー（6 か月）,:_ooo::_jjj::_yyy::_jjj::_yyy:
-0:19,らぐらす,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:18,ディゾ,メンバー（1 年）,風俗店の扉がぁ～
-0:17,analockman,非メンバー,😑
-0:15,マスター・キリボシ,非メンバー,（異界の扉を）開けろ！デトロイト市警だ！
-0:14,百舌鳥,新規メンバー,:_ooo::_jjj::_yyy:
-0:13,そめ橘,新規メンバー,:_ooo::_jjj::_yyy::_aaaa:
-0:12,りふぇ,新規メンバー,でびさまのこめかみ赤くなってるんね
-0:11,おいも,メンバー（6 か月）,:_ooo::_jjj::_yyy:
-0:10,ミックスベジタブル,非メンバー,おじゃあ
-0:09,かためのとうふ,非メンバー,きちゃ！
-0:08,wa Wa,新規メンバー,:_ooo::_jjj::_yyy:
-0:07,ふくちゃん,メンバー（2 か月）,でびロイトたすかる
-0:05,提督ニート,非メンバー,でび…でび…
-0:04,熊工廠,非メンバー,おじゃ
0:03,薊,メンバー（6 か月）,:_ooo::_jjj::_yyy:
0:03,HERO,メンバー（1 年）,ツイートきちゃ
0:03,analockman,非メンバー,where is him?
