timestamp,author_name,membership,text
-51:52,らいぎょ,メンバー（1 年 2 か月）,みんな頑張れえええええ！！
-51:39,あか赤,メンバー（4 か月）,:_ooo::_jjj::_yyy:
-50:13,Roa,メンバー（4 か月）,:_ooo::_jjj::_yyy:
-47:47,Koke,メンバー（1 年）,一体誰が上田麗奈さんの軍門に下るのか
-46:25,クロロゾウ,メンバー（1 年 2 か月）,:_ooo::_jjj::_yyy:
-45:32,かわいいべるちゃん,メンバー（11 か月）,:_ooo::_jjj::_yyy:
-42:42,エヌ,メンバー（1 年 2 か月）,がんばえ〜
-42:35,水おいしい,メンバー（1 年 2 か月）,ちょっと遅れた？
-42:13,水おいしい,メンバー（1 年 2 か月）,でびちゃんはこれが終わったあと飲みコラボか
-42:13,saka tak,非メンバー,おそろしいあくま軍の手腕にかかっているな、頑張って
-41:49,硫さん,非メンバー,誉は浜で死にました！
-40:06,藤浪晋太郎,非メンバー,今宵？
-39:47,ファイア,非メンバー,みなさん頑張って下さい！
-33:30,正亘・契約者・霧生,メンバー（1 年 2 か月）,誉あれ
-27:39,おしボタン,メンバー（1 年 2 か月）,がんばえー
-26:48,hiro ym,新規メンバー,乱舞も飲み会も楽しみ！
-25:27,hiro ym,新規メンバー,皆さん頑張って下さい:_tamasii::_dekarusama::_tamasii:
-22:28,fragile ribbon【りぼん】,メンバー（4 か月）,:_ooo::_jjj::_yyy:
-12:36,Ham,非メンバー,おじゃじゃ でび様ギルドあいてる所あるからどんどん入って欲しい
-7:39,saka tak,非メンバー,入りたいけど他のギルド入ってると9時間後まで入れないんだ…
-6:26,かわいいべるちゃん,メンバー（11 か月）,アンインストールしちゃった・・・
-4:12,ねんとー,非メンバー,でび様に勝利を
-1:31,バルさん,メンバー（3 か月）,頼むぞみんな
-1:04,一兵卒,メンバー（7 か月）,2窓すいしょ～
-0:56,Ham,非メンバー,ただそもそも勝敗の基準がわかってない…
-0:37,歯ガー市長,メンバー（2 か月）,:_ooo::_jjj::_yyy:
-0:34,Metal Gsai,メンバー（1 年 2 か月）,がんばれ契約者たちよ～
-0:03,たいたつ,メンバー（1 年 2 か月）,:_ooo::_jjj::_yyy:
0:11,Ham,非メンバー,きちゃ
0:16,正亘・契約者・霧生,メンバー（1 年 2 か月）,hayai
0:17,たいたつ,メンバー（1 年 2 か月）,きちゃ！
0:20,KING SLIME,非メンバー,おじゃ
0:20,歯ガー市長,メンバー（2 か月）,きちゃー
0:21,トビクルカミィ,メンバー（1 年 2 か月）,きちゃ～
0:23,リティ,メンバー（10 か月）,きちゃ
0:23,Metal Gsai,メンバー（1 年 2 か月）,おじゃ～
0:31,クロロゾウ,メンバー（1 年 2 か月）,おじゃ～
0:31,9 6 3 8,非メンバー,おじゃ
0:31,m、、 m、、,メンバー（2 か月）,:_ooo::_jjj::_yyy:
0:33,にまにま,メンバー（10 か月）,:_ooo::_jjj::_yyy:
0:35,2階席,メンバー（4 か月）,おじゃ〜
0:36,れもんぐみ,メンバー（1 か月）,:_ooo::_jjj::_yyy:
0:36,Ham,非メンバー,おじゃじゃ
0:37,たいたつ,メンバー（1 年 2 か月）,戦争の時間だあああああああああああああ
0:37,生煮えペロペロキャンディー,メンバー（2 か月）,:_ooo::_jjj::_yyy:
0:38,らいぎょ,メンバー（1 年 2 か月）,おじゃ～
0:38,まりもでらっくすKT,メンバー（7 か月）,:_ooo::_jjj::_yyy:
0:39,犬飼,非メンバー,おじや
0:39,ワナナキ,メンバー（1 年 2 か月）,:_ooo::_jjj::_yyy:
0:40,夜呑いとのチャンネル,非メンバー,おじゃーー
0:41,Pふにゃ,メンバー（1 年 2 か月）,:_ooo::_jjj::_yyy:
0:41,ジョンソン,メンバー（4 か月）,:_ooo::_jjj::_yyy:
0:42,ファイア,非メンバー,おじゃ
0:45,とっとことっとこ,非メンバー,おじゃ〜
