timestamp,author_name,membership,text
-0:27,Aster Tataricus,非メンバー,ぱわこたすかる
-0:26,るーくいん,非メンバー,なんか変な音しなかった？
-0:24,まるいぬ,非メンバー,音割れうるさぁ
-0:23,クロシロ,メンバー（2 か月）,あといしゅうか
-0:23,ねこたか,非メンバー,がんばれー！！！
-0:23,おぱんつ大魔神,非メンバー,1位だしきのこ欲しい
-0:21,暇人の神,非メンバー,しんそくうてや
-0:20,ネットに向いてない人,非メンバー,切り抜き師がんば
-0:20,弱体化,非メンバー,悲鳴ヤバwww
-0:20,ももちゃツ,非メンバー,なちゅめまがるとき自分も傾くの可愛い
-0:20,しゅがー,非メンバー,ましろ水中マリカ縛りしてね？
-0:19,BlanK,新規メンバー,？？一体何かあったんだか？
-0:19,ヤナ,非メンバー,始まったら起こして
-0:18,kuroki m,非メンバー,甲羅キープいいね
-0:16,KOHJI TACHIBANA,新規メンバー,今の突入でNisc決めただと！？
-0:16,コン,非メンバー,心拍数ヤバw
-0:16,Mk23 WIDE「ワイド」,メンバー（2 か月）,いま波形揺れなかった？
-0:15,ぴえん,非メンバー,三周目で何があるかわからん！
-0:14,ままま,新規メンバー,鼓膜ないなった
-0:14,foexceed uri,非メンバー,うるさw
-0:13,鉄クズナポリタン,非メンバー,階段ドタドタ音でか
-0:13,シュウ,非メンバー,アンパンマンやろうとしたら水中に入るの草
-0:13,まるいネコ,非メンバー,おうたたすかるううう
-0:11,クロシロ,メンバー（2 か月）,いけるいける
-0:11,名前の無いネコ,非メンバー,GG！
-0:10,シンカー,メンバー（2 か月）,そして本人の配信が始まると「ｼｰﾕｰ」まみれになる
-0:10,ハリ,メンバー（2 か月）,ぱわこかわいい
-0:09,しゅうくり,メンバー（2 か月）,ほんとに頭触られたの？大丈夫？
-0:08,・あめ,非メンバー,うっま
-0:07,ととて,メンバー（2 か月）,今がスパチャの投げ時だ！
-0:07,まるこまる,非メンバー,いいよ周り見えてるよ
-0:06,ぴよぴよひよこ,メンバー（2 か月）,音割れ草
-0:06,ポムポム,メンバー（2 か月）,今の音の波形ヤバない？
-0:05,304mitsu,非メンバー,煽り方草
-0:05,草餅,非メンバー,これもしかして見えないだけでやってる?
-0:05,ぷれべた!,メンバー（2 か月）,いやアピール煽り草
-0:04,きのこ-Mushroom-,メンバー（2 か月）,うるさww
-0:03,クロシロ,メンバー（2 か月）,gg
-0:03,じゅーる,メンバー（2 か月）,なんか聞こえなかった？
-0:03,はやと,非メンバー,このスター大きいぞ！
-0:02,こんにゃく,非メンバー,回避読み横スマうま
-0:01,まるいネコ,非メンバー,こわ！！
-0:01,ブラウン,非メンバー,すごい声出たぞ今
-0:01,やつしろ,非メンバー,崖下まで追撃しに行くの笑う
-0:01,ミラノ風ドリア,メンバー（2 か月）,ぱわこ速すぎ草
-0:01,kai ber,非メンバー,叫ぶな
-0:00,すや_,メンバー（2 か月）,みんな楽しそうだな
0:00,いるみ寿司好き,非メンバー,ついえら！
0:01,サバ缶,非メンバー,今来た人！安心してね！まだ始まってません！ただの幻覚だよ！
0:02,タコ,メンバー（2 か月）,まだ追いつけるよ！
0:02,ピェロ,非メンバー,僕の勝ちだああああああああああ
0:02,mochizen 09,メンバー（2 か月）,片手剣は盾コンしちゃだめですよ！！！
0:03,シュウ,非メンバー,グウェルまたミュートじゃん
0:05,こんにゃく,非メンバー,ないすー
0:06,ハリ,メンバー（2 か月）,gg
0:07,ばはぴ,非メンバー,ついえら
0:08,めい,非メンバー,波形は草
0:08,ネットに向いてない人,非メンバー,アナベル元気やな
0:08,元気な睫毛,メンバー（2 か月）,ついえら！
0:09,てばさ喫茶,非メンバー,きちゃか？
0:09,Aster Tataricus,非メンバー,きちゃ！？
0:09,いろは,非メンバー,始まる……？
0:09,正直なリスナー,非メンバー,来たか！？
0:09,taku,メンバー（2 か月）,ついえら:_mashiroSeeyou::_mashiroSeeyou::_mashiroSeeyou:
0:09,屋根ゴミ,非メンバー,始まってないよね…？？？ん？？
0:09,朝はパン,非メンバー,きちゃ
0:10,ぷれべた!,メンバー（2 か月）,ついえら
0:11,やつしろ,非メンバー,ナイスメテオ！！！
0:11,ペリカン次郎,メンバー（2 か月）,きちゃ
0:11,*東海林,非メンバー,キター!
0:11,ぴーまん,非メンバー,きちゃ！
0:11,瓶樽,非メンバー,ついえらぁ！
0:11,名前の無いネコ,非メンバー,GG
0:12,もおおおf,メンバー（2 か月）,ついえら！
0:12,タモ網の魚,メンバー（2 か月）,もう始まってるぞ
0:12,シノヤ,非メンバー,きちゃ！
0:13,はやと,非メンバー,ちくわ大明神
0:13,赤松,非メンバー,きたきた
0:13,へみん,メンバー（2 か月）,きちゃ
0:14,つふぃー,非メンバー,うおおおおおおお
0:14,まるこまる,非メンバー,シフころころする？
0:14,獅音。,非メンバー,ついえら
0:15,ネットに向いてない人,非メンバー,きちゃ‼
0:15,/栽培マン,非メンバー,ちくわ大明神
0:15,白崎花乃,非メンバー,きちゃーー
0:16,草原のぶたにく,メンバー（2 か月）,ついえら
0:16,みるうさ,メンバー（2 か月）,きちゃ
0:16,浅葱-asagi-,非メンバー,波形の形ちょいおかしくね……？
0:16,こんにゃく,非メンバー,なちゅめ順位低いの草
0:17,こりけ,非メンバー,きちゃ、
0:17,ひなこ,非メンバー,きたー！！！
0:17,304mitsu,非メンバー,おー
0:17,がーる,メンバー（2 か月）,:_mashiroHello::_mashiroHello::_mashiroHello:
0:17,クロシロ,メンバー（2 か月）,:_mashiroPawako:gg:_mashiroPawako:
0:18,Aster Tataricus,非メンバー,ついえら！
0:18,吾輩は100万回生きたネコである,非メンバー,おっ
0:18,きのこ-Mushroom-,メンバー（2 か月）,ついえら
0:18,えびてん,メンバー（2 か月）,きちや？
0:19,まるいネコ,非メンバー,絶対居る音した
0:19,カグロ,非メンバー,gg
0:19,キケン ましろ用垢,メンバー（1 か月）,ついえら
0:19,ねこたか,非メンバー,きちゃ！！！！！！！！
0:19,いろは,非メンバー,gg
0:20,ときるな,メンバー（2 か月）,:_mashiroHello:
0:20,鉄クズナポリタン,非メンバー,きちゃ
0:20,mochizen 09,メンバー（2 か月）,:_mashiroHello::_mashiroHello::_mashiroHello::_mashiroHello::_mashiroHello:
0:20,タコ,メンバー（2 か月）,ないすー！gg
0:20,foexceed uri,非メンバー,きちゃ！！
0:20,sympnotoosubs,非メンバー,heloo
0:20,kaka AD,非メンバー,初見
