timestamp,author_name,membership,text
-3:23,ウィキ,メンバー（2 か月）,待機:_arsm::_arsr::_rasbi:
-3:13,シヴィちゃん,メンバー（2 か月）,待機:_arsm::_arsr:
-3:11,おはよー,非メンバー,アルスお疲れさま
-2:59,たこ,メンバー（2 か月）,:_arsm::_arsr:
-2:59,坊や,非メンバー,お疲れ様でした！
-2:53,*いかふらい,メンバー（2 か月）,お疲れ様ー！
-2:44,ウィキ,メンバー（2 か月）,ﾓﾁﾓﾁ...
-2:31,ねこじろう,メンバー（1 年）,ﾓﾁﾓﾁ…
-2:24,しーばー,新規メンバー,待機:_arsm::_arsr::_rasbi:
-2:23,すいにーperp. bisector,メンバー（2 か月）,ﾓﾁﾓﾁ
-2:19,よな,非メンバー,ﾓﾁﾓﾁ…
-2:16,シヴィちゃん,メンバー（2 か月）,さっきTwitterで教えてもろて助かったけど、ボイス今日まで！！買い忘れ注意！！！
-2:16,*いかふらい,メンバー（2 か月）,ﾓｯﾓｯ
-2:16,がばい水【みず】,メンバー（2 か月）,じゃんけん優勝、マリカ決勝10位、CR3位。すごいよなぁ。
-2:15,E T 11,メンバー（6 か月）,ﾓﾁﾓﾁ…
-2:07,炙り夏みかん,メンバー（1 か月）,ﾓﾁﾓﾁ…
-2:06,すてんばい[스텐바이],メンバー（6 か月）,ﾓﾁﾓﾁ…
-2:05,がばい水【みず】,メンバー（2 か月）,ﾓﾁﾓﾁ…
-2:00,旧ナメック星,メンバー（6 か月）,待機
-1:59,るんたるみー,非メンバー,3位おめでとう！！
-1:58,レインraye,メンバー（2 か月）,ﾓﾁﾓﾁ...
-1:57,*いかふらい,メンバー（2 か月）,ﾓﾁ……
-1:55,オジギ,メンバー（1 年）,:_pien2:
-1:53,キキリトキ,メンバー（2 か月）,お疲れさまでした
-1:48,hide,新規メンバー,ﾓﾁﾓﾁ…
-1:43,やややふふふ,非メンバー,ﾓﾁﾓﾁ
-1:43,栗鼠虎,メンバー（2 か月）,3位おめでと～～
-1:40,ほたてGUY,非メンバー,ﾓﾁﾓﾁ…
-1:39,琲珈,非メンバー,ﾓﾁﾓﾁ…
-1:39,さざんか,メンバー（2 か月）,お疲れ様でした!
-1:37,suva,メンバー（2 か月）,ﾓﾁﾓﾁ・・・
-1:34,today,非メンバー,ﾓﾁﾓﾁ
-1:29,ぉみず,メンバー（2 か月）,ﾓﾁﾓﾁ…
-1:26,ぶーりん,メンバー（2 か月）,三位おめでとう㊗️
-1:22,gareki,メンバー（2 か月）,ﾓﾁﾓﾁ...
-1:22,かたくり粉,非メンバー,3位おめでとう〜！！！
-1:20,ほしりら,非メンバー,酔ってしまうのでCRカップは見れなかったけど、3位おめでとう……！！😊
-1:14,M O,非メンバー,今年も1年お疲れ様でした
-1:12,ひょんつけ,メンバー（1 年）,3位おめでとう！
-0:59,おもちやさん,非メンバー,CR3位おめでとう！
-0:53,とら,非メンバー,３位おめでとー
-0:43,どる,非メンバー,3位おめでとう～！
-0:40,まるいやつ,非メンバー,3位おめでと！！！！！
-0:31,x nagi,メンバー（2 か月）,:_arsai:
-0:22,キキリトキ,メンバー（2 か月）,ふわっと着地の人ｗｗ
-0:10,スズ,非メンバー,3位おめでとう！！
0:02,gareki,メンバー（2 か月）,3位＆10位おめでと！！
0:03,ヒビキ,メンバー（1 か月）,３位おめでとおおおお
0:07,まめ,非メンバー,おめ(^_-)-☆
0:08,ゆいちゃ,メンバー（6 か月）,はじ:_arsm::_arsr::_rasbi:
0:11,炙り夏みかん,メンバー（1 か月）,はじ:_arsm::_arsr::_rasbi:
0:11,E T 11,メンバー（6 か月）,はじ:_arsm::_arsr::_rasbi:
0:15,カペル,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:15,オジギ,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:17,ヒビキ,メンバー（1 か月）,はじ:_arsm::_arsr::_rasbi:
0:17,がばい水【みず】,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
0:22,おんぷ,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
0:24,gumiぐみ,メンバー（2 か月）,はじマル
0:26,フカフ,新規メンバー,はじ:_arsm::_arsr::_rasbi:
0:26,*いかふらい,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
0:29,sandman先生,非メンバー,めでたいめでたい
0:29,ねこじろう,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:31,あんのうさぎ,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:35,ちゃま,メンバー（6 か月）,はじ:_arsm::_arsr::_rasbi:
0:41,ウィキ,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
0:43,*いかふらい,メンバー（2 か月）,親シャイだあああああ！！！！
0:43,ちろる,メンバー（1 年）,おやしゃい！
0:44,だまれあしなが,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:48,Hana Tsukimi,非メンバー,ｼｬｲﾆﾝｸﾞｽﾀｰ
0:48,Tomoto K,メンバー（1 年）,はじ:_arsm::_arsr::_rasbi:
0:48,たたみ神,メンバー（1 年）,きたー！！！
0:49,クロヅルてーとく,メンバー（1 年）,親シャイ！
0:49,Negipon,メンバー（1 年）,親シャイ！
0:52,いんぱるす,非メンバー,はじマル！
0:56,E T 11,メンバー（6 か月）,ｼｬｲ〜！
0:56,M O,非メンバー,親シャイ！
0:57,冗談にもほどgirl,非メンバー,親シャイ
0:58,O前田・おーまえだ,非メンバー,親シャイ！
0:59,西のキーブレードマスター,非メンバー,親のシャイよりシャイ
0:59,栗鼠虎,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
1:02,炙り夏みかん,メンバー（1 か月）,親シャイ！
1:02,白縫ぬこ,非メンバー,待機画面知らない間にかっこよくなってるけどBGMあわねーw
1:03,Genini ST.,非メンバー,お野菜
1:03,そよかぜ,非メンバー,はじマル！
1:04,hide,新規メンバー,はじ:_arsm::_arsr::_rasbi:
1:05,旧ナメック星,メンバー（6 か月）,親シャイが凄いかっこいい
1:09,おとうふ,メンバー（2 か月）,はじ:_arsm::_arsr::_rasbi:
1:17,*いかふらい,メンバー（2 か月）,:_hoshi::_fugu2::_hoshi::_fugu2::_hoshi::_fugu2::_hoshi:
1:19,よな,非メンバー,親シャイ！！
1:23,るんたるみー,非メンバー,opすごいね
1:23,gareki,メンバー（2 か月）,親シャイ！
1:25,カペル,メンバー（1 年）,親シャイ！
1:35,gareki,メンバー（2 か月）,はじ:_arsm::_arsr::_arsm::_arsr::_rasbi:
1:36,本居まい,非メンバー,お疲れ様ー！3位めでたい！
1:36,hide,新規メンバー,親シャイ！
1:36,ろっき,非メンバー,雷属性アピール
1:37,ゴリリン,メンバー（1 年）,がんばった！
1:38,翠の字,非メンバー,親シャイ！！
1:40,デフォルトDefaulT,非メンバー,OMEDETOU~~~
1:43,がばい水【みず】,メンバー（2 か月）,ついえら
1:43,ほたる。,非メンバー,ついえら
1:46,おむすびくまたん,メンバー（1 か月）,ついえら
1:46,ねこじろう,メンバー（1 年）,ついえら
1:47,Я馬骨R,メンバー（1 年）,ついえら
1:47,なぁど,メンバー（1 年）,ついえら！
