timestamp,author_name,membership,text
-0:43,Rinne,メンバー（2 か月）,アンジュ今日もかわいいね
-0:41,マツリカ,メンバー（6 か月）,アンジュ今日もかわいいね
-0:38,りょーたろー,メンバー（3 か月）,アンジュ今日もかわいいね
-0:38,あぶりチーズ,メンバー（6 か月）,アンジュ今日もかわいいね！
-0:32,加藤大明神,非メンバー,アンジュ今日もかわいいね
-0:30,船に繋いだ聖なる杭のボルトヘッド。,非メンバー,アンジュ今日もかわいいね
-0:30,apolosolty,メンバー（6 か月）,アンジュ今日もかわいいね
-0:28,マツリカ,メンバー（6 か月）,:_honyuface::_honyu:
-0:27,田中化学,メンバー（6 か月）,アンゲ今日も可愛いね
-0:26,パパくん,メンバー（6 か月）,アンジュ今日もかわいいね
-0:25,いつの間にかFCLになっていた男,メンバー（5 か月）,アンジュ今日もかわいいね:_honyuface:
-0:24,ふみとも,新規メンバー,アンジュ今日もかわいいね:_honyu:
-0:23,マーチ,メンバー（6 か月）,アンジュ今日もかわいいね
-0:22,153 HA,非メンバー,まだまだベルアン擦ってほしい
-0:22,ゼログラム,メンバー（6 か月）,アンジュ今日もかわいいね
-0:22,光,非メンバー,アンジュ今日もかわいいね
-0:21,水野美濃権兵衛,メンバー（6 か月）,アンジュ今日もかわいいね
-0:21,ど瓶こぽこぽ,メンバー（6 か月）,アンジュ今日もかわいいね
-0:17,096ワサビ,非メンバー,アンジュ今日もかわいいね
-0:15,ホロ,メンバー（2 か月）,アンジュ今日も可愛いね！
-0:14,紅霧-akagiri-,非メンバー,アンジュ今日もかわいいね
-0:13,よよぎもち,メンバー（6 か月）,アンジュ今日もかわいいね
-0:13,いつの間にかFCLになっていた男,メンバー（5 か月）,:_honyu::_honyu:
-0:13,十六夜暁響,メンバー（2 か月）,アンジュ今日もかわいいね！
-0:13,カクタス,メンバー（6 か月）,アンジュ今日もかわいいね！
-0:12,スヤァ,メンバー（6 か月）,サムネ文字半透明とかお洒落
-0:12,ましろ色紳士,メンバー（6 か月）,アンジュ今日もかわいいね
-0:11,ふみとも,新規メンバー,:_shinunda:
-0:10,Iam White,メンバー（6 か月）,アンジュ今日もかわいいね
-0:09,かかえ,メンバー（6 か月）,アンジュ今日もかわいいね
-0:09,いつの間にかFCLになっていた男,メンバー（5 か月）,ﾗｯｼｬｲ!!
-0:07,ましろ色紳士,メンバー（6 か月）,:_honyu:
-0:07,カクタス,メンバー（6 か月）,:_honyuface:
-0:05,King Mouse,非メンバー,アンジュ今日もかわいいね
-0:05,荒耶志貴,メンバー（6 か月）,ベルアンてぇてぇ
-0:04,紅白芋まんじゅう,非メンバー,アンジュ今日もかわいいね
-0:04,タルト,メンバー（6 か月）,アンジュ今日もかわいいね
-0:01,舌噛み雀,メンバー（6 か月）,アンジュ今日もかわいいね
-0:01,至尊垃圾,非メンバー,アンジュ今日もかわいいね
-0:00,病[やまい],メンバー（6 か月）,アンジュ今日もかわいいね:_honyuface:
0:02,ハリー,メンバー（2 か月）,生傷の絶えない女
0:03,ドラドラ,メンバー（6 か月）,アンジュ今日もかわいいね
0:03,打ち師,非メンバー,アンジュ今日もかわいいね
0:04,&Ryu,非メンバー,きちゃ！
0:04,at6 Hiro,非メンバー,サムネ良い！
0:05,ちょーろー,メンバー（6 か月）,アンジュ今日もかわいいね！
0:05,153 HA,非メンバー,サムネ○
0:06,王国皇帝,非メンバー,アンジュ今日もかわいいね
0:07,白黒熊,メンバー（6 か月）,アンジュ、今日もかわいいね
0:07,t m,メンバー（6 か月）,アンジュ今日もかわいいね
0:09,荒耶志貴,メンバー（6 か月）,ベルさんとのデュエット最高だった
0:10,りょーたろー,メンバー（3 か月）,きちゃ！
0:10,でこゔぉこ,メンバー（1 か月）,きちゃ！
0:10,おあげ,非メンバー,アンジュ今日もかわいいね！
0:11,yuri,メンバー（6 か月）,きちゃ！
0:11,いつの間にかFCLになっていた男,メンバー（5 か月）,アンジュ今日もかわいいね:_honyuface:
0:11,マツリカ,メンバー（6 か月）,きたー！
0:11,ウサギかカメ,非メンバー,待ってる
0:11,黒王子,メンバー（5 か月）,きちゃ！
0:12,Tom Kid,非メンバー,kita
0:12,かえるれっど,メンバー（6 か月）,きちゃ
0:12,佐藤裕也,メンバー（6 か月）,きちゃ…いない！
0:13,カノレノ,メンバー（6 か月）,きちゃ
0:14,船に繋いだ聖なる杭のボルトヘッド。,非メンバー,きちゃ！
0:14,薄明りと天泣,メンバー（6 か月）,アンジュどこ
0:14,あつぽん.,メンバー（6 か月）,アンジュ今日もかわいいね:_ange:
0:15,OWL /M,非メンバー,アンジュ今日もかわいいね
0:16,FCクイナ,メンバー（6 か月）,きちゃ！
0:16,いつの間にかFCLになっていた男,メンバー（5 か月）,きちゃわよ！！！
0:16,アオバ,非メンバー,きちゃ
0:16,FCLのこっく でも料理はできない,メンバー（6 か月）,きちゃ
0:16,桜佐倉,非メンバー,あほんじゅ
0:17,4649影っち,非メンバー,きちゃ！
0:17,ろくどうりんね,非メンバー,きちゃー
0:18,ジンガム,メンバー（6 か月）,アンジュ今日もかわいいね
0:18,深夜2時の管理職,メンバー（3 か月）,きちゃ！
0:19,すずやん,メンバー（6 か月）,きちゃ！
0:19,十六夜暁響,メンバー（2 か月）,きちゃ！
0:19,むつらせい,非メンバー,きちゃ！！！
0:19,王国皇帝,非メンバー,きちゃ
0:19,UyuNo,メンバー（6 か月）,きちゃ！
0:20,こーすけ,非メンバー,きちゃ！
0:20,ゆいがはまゆい,非メンバー,こんばんはアンジュ
0:20,_ Lupus,新規メンバー,アンジュ今日もかわいいね
0:20,FRAT 06,メンバー（6 か月）,ナツ君お元気ですか
0:20,ぐんまたろう,非メンバー,きちゃ！
0:21,かりかりかりーぱん,メンバー（6 か月）,わぁ
0:21,いずやん,メンバー（6 か月）,きちゃ！
0:21,荒耶志貴,メンバー（6 か月）,きちゃ！
0:21,イキイキ乳酸菌,メンバー（6 か月）,ううん、今来たとこ
0:21,ポップマン,メンバー（5 か月）,きぢゃー
0:21,忍びの里の長シュリリ,非メンバー,きちゃ〜
0:22,れいんず,メンバー（6 か月）,きちゃ！
0:22,ユイ,非メンバー,きちゃ！
0:22,響,メンバー（3 か月）,きちゃ！！！！
0:22,黒兎,メンバー（6 か月）,アンジュ今日もかわいいね
0:22,はのん茶,メンバー（4 か月）,きちゃ！
0:22,小崎結城,非メンバー,アンジュ今日もかわいいね！
0:22,カクタス,メンバー（6 か月）,きちゃ
0:22,ねこんねこの,メンバー（3 か月）,きちゃ
0:22,神江,メンバー（6 か月）,どこ・・・？
0:22,しぐなさん,新規メンバー,きちゃ～
0:22,Ura Nisi,非メンバー,かわいいち
0:23,あつぽん.,メンバー（6 か月）,きちゃ～
0:23,オイエン工学徒,メンバー（6 か月）,きちゃ！
0:23,佐藤裕也,メンバー（6 か月）,かわいい
0:23,ビッグ肩幅,非メンバー,かわいいわよ、アンジュ
0:23,王国皇帝,非メンバー,そう
0:24,りょーたろー,メンバー（3 か月）,ううん、今来たとこ！
0:24,NAO,メンバー（6 か月）,きちゃ！
0:24,jack sam,非メンバー,きちゃ！
0:24,有栖川林檎,メンバー（6 か月）,きちゃ！
0:24,れなっち,メンバー（6 か月）,きちゃー！
0:25,サンバンキ,非メンバー,ううん、いまきたとこ
0:25,しま三郎,非メンバー,またたたたた
0:25,Ronginusu,非メンバー,きちゃ
0:25,haru chan,メンバー（6 か月）,きちゃ！
0:25,鈴木,非メンバー,Kita
0:25,だーくまたー,メンバー（6 か月）,きちゃ！
0:25,田中化学,メンバー（6 か月）,きちゃ！！！
0:25,オリ,メンバー（6 か月）,アンジュ今日もかわいいね
0:25,いつの間にかFCLになっていた男,メンバー（5 か月）,ううん、いまきたとこぉ！！！
0:25,ピュアアンジュ,メンバー（6 か月）,ううん、いま来たとこ💕
0:26,ばーまん,メンバー（6 か月）,ううん、いまきたとこ
0:26,黒王子,メンバー（5 か月）,ううん、今来たところ！
0:26,モミジ,非メンバー,おｋ
0:26,マギクス,非メンバー,アンジュ今日もぺたんぬだね
0:26,&Ryu,非メンバー,ううん、今来たとこ♥
0:26,バイク乗りたい,メンバー（3 か月）,アンジュ今日もかわいいね
0:26,ガムシロ,メンバー（6 か月）,ううん、今来たとこ
0:27,はのん茶,メンバー（4 か月）,ううん、今来たとこ！
0:27,153 HA,非メンバー,ううん、いま来たとこ！
0:27,只の杖,メンバー（6 か月）,きた
0:27,友人B,非メンバー,アンジュ今日もかわいいね
0:28,sryde 27,非メンバー,きちゃ
0:28,丸彩marusai,メンバー（6 か月）,ううん、今来たとこ
0:28,じゅり,メンバー（6 か月）,ううん、今来たとこ
0:28,プチプチぷっちょ,新規メンバー,ううん、今来たとこ♥
0:28,にゃるた,非メンバー,アンジュ今日もかわいいね
0:29,kaniko,メンバー（6 か月）,ううん、今来たこと
0:29,フライング・パンケーキ,メンバー（6 か月）,ううん、今きたとこ
0:29,オーエシンスケ,非メンバー,ううん、今来たとこ
0:29,深夜2時の管理職,メンバー（3 か月）,ううん、いまきたとこ！
0:30,カクタス,メンバー（6 か月）,ううん、今来たとこ！
0:30,こーすけ,非メンバー,ううん、今来たとこ
0:30,Ronginusu,非メンバー,ううん、今来たとこ
0:31,himoma,非メンバー,ううん、今来たとこ
0:31,秋田の凡人_taku,メンバー（6 か月）,ううん、今来たとこ
0:31,ヨクバリス.旧ゴンタ,メンバー（6 か月）,ううん、今来たとこ
0:32,ゼログラム,メンバー（6 か月）,ううん今来たとこ！
0:32,まる,メンバー（2 か月）,さ、寒そう...
0:32,AKI 。,メンバー（6 か月）,ううん、今来たとこ
0:32,ライカ,メンバー（6 か月）,ううん、今来たとこ
0:33,荒耶志貴,メンバー（6 か月）,ううん、今来たとこ
0:33,おかき,メンバー（1 か月）,アンジュ今日もかわいいね
0:33,FCクイナ,メンバー（6 か月）,久しぶりの2D雑談だ！
0:33,むつらせい,非メンバー,ううん、いまきたとこ！！
0:33,性根の腐ったラウ,メンバー（1 か月）,ううん、今来たとこ
0:34,旅行者ナッシュ,非メンバー,間に合った
0:34,にみな,メンバー（6 か月）,ううん、今来たこと
0:35,龍蟹迅,メンバー（6 か月）,きちゃ！
0:35,りゅっぴ,メンバー（6 か月）,ううん、今来たとこ
0:36,どぞう,非メンバー,ううん、今来たとこ
0:36,忍びの里の長シュリリ,非メンバー,ホンマや
0:36,至尊垃圾,非メンバー,ううん、いまきたとこ
0:36,かえるれっど,メンバー（6 か月）,ううん今来たとこ
0:37,ブッチャー,非メンバー,こんばんわー
0:37,眼鏡の唐揚げ・めがから,メンバー（5 か月）,アンジュ今日もかわいいね
0:38,いたちたち,メンバー（3 か月）,ううん、今きたとこ
0:38,石兵【せきへい】,非メンバー,今きたとこ
0:38,のりたま,メンバー（5 か月）,夏服だー！
0:38,銀河のみず羊羹,非メンバー,こんばんわ
0:39,ビッグ肩幅,非メンバー,お寒そうなお格好
0:39,りょーたろー,メンバー（3 か月）,寒そう
0:39,ミカドン,非メンバー,その衣装寒くない？
