timestamp,author_name,membership,text
-1:11,はやちゃん,新規メンバー,こわ…
-1:07,ただの天然水,メンバー（1 か月）,わこ…
-1:05,エスダブリュー,メンバー（1 か月）,今クナイ回すキー壊されてる
-1:04,K,メンバー（1 か月）,どうしようおぼさん真っ赤になってるかも
-1:04,ふう,メンバー（1 か月）,わこ...
-1:03,No.224 Blast Furnace,非メンバー,わこ…
-1:02,おさかべ,非メンバー,おぼさんチキンになったのか……
-1:02,海星,メンバー（1 か月）,わこ...
-1:01,vb,新規メンバー,わこ…
-0:58,Kakashi Mirror,メンバー（1 か月）,安置見るのスピーディーで善き
-0:57,_いざっち,非メンバー,おぼさんなら俺の隣で懺悔させてるよ
-0:57,MKNYN 00,メンバー（1 か月）,わこ…
-0:55,トム,メンバー（1 か月）,冷え冷えチキン？
-0:53,ぬらかぼん,メンバー（1 か月）,わこ...
-0:50,水菜,メンバー（1 か月）,おぼさんとコーチのやり取り気になる
-0:49,かふぇいん,非メンバー,頑張ってぇ
-0:49,。空飛ぶ人魚,メンバー（1 か月）,おぼさんクリスマスでチキンにされなかったのか
-0:46,ぼるとん-voltoon,非メンバー,おぼさん血抜きしないと……
-0:45,オタク,非メンバー,元々真っ白なのにさらに真っ白になってそう
-0:44,掃除係SouG,メンバー（1 か月）,今日はクリスマス 町は賑やかお祭り騒ぎ
-0:43,モエピ,非メンバー,わこ…
-0:43,はる0915,メンバー（1 か月）,わこ…
-0:43,ゆーりんちー,メンバー（1 か月）,わこ...
-0:40,ある㌧,非メンバー,わこ…
-0:34,ラテスタ,メンバー（1 か月）,わこ…
-0:33,カオル,メンバー（1 か月）,わこ…
-0:32,まる,メンバー（1 か月）,わこ…
-0:27,投げられたなぎ,新規メンバー,こ…
-0:25,ぴめたろ,メンバー（1 か月）,血抜きしたおぼさんがチキン……
-0:24,はやちゃん,新規メンバー,真っ赤なカラダの…
-0:24,Ziu,新規メンバー,クリスマスカラーに配慮できるとか
-0:24,凜_Azi,メンバー（1 か月）,わこ…
-0:24,シュークリ,メンバー（1 か月）,わこ…
-0:23,ひびと,メンバー（1 か月）,わこ…
-0:22,MKNYN 00,メンバー（1 か月）,わこ…
-0:21,あかべこ,メンバー（1 か月）,今頃おぼさんグチャグチャにされてるんやろうか
-0:19,よりしろ,メンバー（1 か月）,わこ…
-0:19,明-メイ-,非メンバー,わこ...
-0:18,あたま,メンバー（1 か月）,わこ...
-0:17,赤福うまいよね,非メンバー,おぼさん、ちゃんと6ptだったな……
-0:16,ぽっぽはと,非メンバー,おぼさんのクリスマスイブクソコラすき
-0:14,あづき,メンバー（1 か月）,顔面蒼白なってそう
-0:14,木ノ下,非メンバー,わこ…
-0:09,さくら,新規メンバー,今日は何分かな
-0:08,ゆーりんちー,メンバー（1 か月）,おぼさん赤白でしましましすべ
-0:05,キャベツ太郎,メンバー（1 か月）,わに…
-0:02,MI YA,メンバー（1 か月）,ターキーレッグになってるかなおぼさん(足)
-0:00,シエルますこん,非メンバー,わこ…
0:03,ハヤカワ,メンバー（1 か月）,わこ…
0:05,えびまよ,非メンバー,イブも、やらしたらドローン取られるぜ
0:05,ヒヨロシ,メンバー（1 か月）,わこ…
0:09,ソニアン,メンバー（1 か月）,わこつ
0:09,たちばな*,メンバー（1 か月）,わこつ！！
0:09,まむちゃん,メンバー（1 か月）,わこつ
0:09,海星,メンバー（1 か月）,わこつ！
0:11,ぴめたろ,メンバー（1 か月）,いまごろぐちゃぐちゃなんやろな……
0:11,天酒,メンバー（1 か月）,わこつ
0:11,ぎゅう,新規メンバー,わこ
0:12,ドレエル,非メンバー,わこつ！
0:12,ともしは,メンバー（1 か月）,わこつ
0:13,*お塩*,メンバー（1 か月）,わこつ！
0:13,おさしみ,メンバー（1 か月）,わこつ〜！
0:13,たーなー,非メンバー,わこ…
0:13,ケーキ4等分るきあ,メンバー（1 か月）,わこつ
0:13,参河るな,非メンバー,わこ…
0:14,花火,メンバー（1 か月）,わこつ
0:15,ばべい,非メンバー,トイレ行ってこよ
0:17,鮭,メンバー（1 か月）,わこつ！
0:17,凜_Azi,メンバー（1 か月）,わこつ！
0:17,しぃ,メンバー（1 か月）,わこつ
0:17,ロボットの人,非メンバー,わこつ！
0:19,ご機嫌なおぶ,メンバー（1 か月）,わこつ
0:19,Ziu,新規メンバー,わこつ！
0:20,deco,メンバー（1 か月）,わこつ！
0:20,ヒヤヤッコ,非メンバー,わこつ！
0:21,おイモちゅん,新規メンバー,わこつ！
0:21,へいちょ,メンバー（1 か月）,わこつ
0:21,シーポニー,メンバー（1 か月）,わこつｗ
0:22,あい,非メンバー,わこつ！
0:22,ある㌧,非メンバー,わこつー
0:22,ゆゆ,メンバー（1 か月）,わこつ
0:22,るる,非メンバー,わこつ
0:22,スイ,メンバー（1 か月）,わこつ！
0:22,ゆゆゆ,メンバー（1 か月）,わこつ！
0:22,ぬらかぼん,メンバー（1 か月）,わこつ！
0:22,R,メンバー（1 か月）,わこつ
0:22,すずめ,メンバー（1 か月）,わこつ！
0:23,ReaneA Alice,メンバー（1 か月）,わこつ
0:23,foexceed uri,非メンバー,わこつ！
0:23,same_ ch,メンバー（1 か月）,わこつ
0:23,jupiter,メンバー（1 か月）,わこつ！
0:23,_れき,メンバー（1 か月）,わこつ！
0:23,山田ぽぽ,メンバー（1 か月）,わこつ
0:24,ぽっぽはと,非メンバー,わこつ！
0:24,ぽんた,メンバー（1 か月）,わこつー
0:24,テイキ,メンバー（1 か月）,わこつ〜
0:24,みげみげる,メンバー（1 か月）,わこつ！
0:24,山田花子,メンバー（1 か月）,わこつ
0:24,あたま,メンバー（1 か月）,わこつ！
0:24,MI YA,メンバー（1 か月）,まーた仲良ししてる
0:24,睡眠。,非メンバー,わこつ！
0:25,あとり,メンバー（1 か月）,わこ2
0:25,納豆,メンバー（1 か月）,はじまってるやんけ
0:27,夏月彰,メンバー（1 か月）,わこつー
0:28,あーや,メンバー（1 か月）,わこつ！
0:28,ゆーりんちー,メンバー（1 か月）,わこつ！
0:28,エイエイト,メンバー（1 か月）,わこつ！
0:28,黒紺,メンバー（1 か月）,わこつ
0:29,ReaneA Alice,メンバー（1 か月）,はじまってるやんｗｗ
0:29,ステロール,メンバー（1 か月）,わこつ！
0:29,ちゃん林檎,メンバー（1 か月）,わこつ！
0:29,シエルますこん,非メンバー,わこつ！
0:30,ま。,メンバー（1 か月）,わこつ！
0:30,ICHI,メンバー（1 か月）,わこつ
0:30,ねこだまし,メンバー（1 か月）,わこつ！
0:30,レノレノ,メンバー（1 か月）,わこつ！
0:30,ラテスタ,メンバー（1 か月）,わこつ！
0:31,ゆま。,メンバー（1 か月）,わこつー
0:31,礫塊,メンバー（1 か月）,わこつ！
0:31,Sitoru,非メンバー,わこつ
0:32,M,新規メンバー,わこつ
0:32,チュロス,メンバー（1 か月）,わこつ！
0:33,水菜,メンバー（1 か月）,わこつ！
