timestamp,author_name,membership,text
-0:28,same_ ch,メンバー（1 か月）,わこ…
-0:27,*お塩*,メンバー（1 か月）,わこ…
-0:27,とこ,メンバー（1 か月）,わこ…
-0:27,桜桃,非メンバー,わこ…
-0:27,ばべい,非メンバー,わこ。
-0:26,鮫ハダ,非メンバー,わこ…
-0:26,ぬらかぼん,メンバー（1 か月）,わこ
-0:26,おにぎり煮卵,非メンバー,わこ…
-0:26,りゅーれい,メンバー（1 か月）,わこ
-0:26,とーり,メンバー（1 か月）,わこ…
-0:25,もくもく,非メンバー,わこ...
-0:25,水菜,メンバー（1 か月）,わこ…
-0:24,宵月理人,メンバー（1 か月）,わこ…
-0:24,よりしろ,メンバー（1 か月）,わこ…
-0:24,Cyan。,非メンバー,わこ…
-0:23,エイエイト,メンバー（1 か月）,わこ…
-0:22,ヒヨロシ,メンバー（1 か月）,わこ…
-0:22,焼く肉,メンバー（1 か月）,わこ…
-0:21,テイキ,メンバー（1 か月）,わこ…
-0:21,あまえび軍艦,メンバー（1 か月）,わこ…
-0:20,ばべい,非メンバー,わこ..
-0:18,別れました。,非メンバー,わこ
-0:17,まこさ,メンバー（1 か月）,わこ...
-0:16,黒紺,メンバー（1 か月）,わこ...
-0:16,ぽるを,メンバー（1 か月）,わこ…
-0:16,丸餅の全て,メンバー（1 か月）,わこ…
-0:15,identity,新規メンバー,わこ…
-0:13,システム,非メンバー,わこ…
-0:13,やまゼロ,非メンバー,わこ…
-0:12,R,メンバー（1 か月）,わこ…
-0:11,knee_,非メンバー,わこ…
-0:11,Ziu,新規メンバー,わこ…
-0:11,ラテスタ,メンバー（1 か月）,わこ…
-0:10,瀬兎,非メンバー,わこ…
-0:09,みる,メンバー（1 か月）,わこ...
-0:08,くしー。,メンバー（1 か月）,わこ…
-0:08,ATSUSHI,メンバー（1 か月）,わこ…
-0:07,あーる,メンバー（1 か月）,わこ…
-0:07,邪魔田ジョージ,非メンバー,わこ…
-0:07,はまや1%,メンバー（1 か月）,わこ...
-0:06,小豆,非メンバー,わこ…
-0:05,ぼるとん-voltoon,非メンバー,わこ…
-0:05,No.224 Blast Furnace,非メンバー,わこ…
-0:04,れいん96,非メンバー,サムネ可愛いわこ。。。
