timestamp,author_name,membership,text
-1:15,CHIMI,メンバー（9 か月）,:_tue:
-1:14,モモンガ,メンバー（11 か月）,:_tue:
-1:12,こぉすけ,メンバー（1 年 1 か月）,:_tue:
-1:12,さくさくら,非メンバー,ツえ
-1:12,ひなせ.,メンバー（7 か月）,:_tue:
-1:11,ふ !,メンバー（1 年 1 か月）,:_tue:
-1:11,ai,メンバー（1 年 1 か月）,:_tue:
-1:10,ふでぐ,メンバー（8 か月）,:_tue:
-1:08,iwashi,メンバー（1 年 1 か月）,:_tue:
-1:08,ゆどゆどどんぱ。,メンバー（4 か月）,:_tue::_たいき::_ebi:
-1:07,四葉寿光,非メンバー,ツえ
-1:01,K. K.,メンバー（10 か月）,:_tue:
-1:00,しむライト,メンバー（6 か月）,:_tue:
-1:00,糖砂,非メンバー,ツえ
-0:56,たさん,メンバー（1 年 1 か月）,:_tue:
-0:55,あぽ隊長,非メンバー,:elbowcough:
-0:52,ぶりオッシュ,メンバー（1 か月）,:_tue:
-0:52,ひび,メンバー（10 か月）,:_tue:
-0:50,翠-sui-,メンバー（7 か月）,:_tue:
-0:50,ゼミゼミミン,メンバー（10 か月）,:_tue:
-0:49,かずみ,メンバー（1 年 1 か月）,:_tue:
-0:48,ほしいぬ,メンバー（1 年 1 か月）,:_tue:
-0:47,街 / ガイ,メンバー（7 か月）,:_tue::_たいき::_ebi:
-0:47,あばばあゆむ,非メンバー,こんばん…
-0:47,ryuu,非メンバー,ツえ
-0:45,かっぱ,メンバー（10 か月）,:_tue:
-0:40,ラ・ラ・ライアン,メンバー（1 年 1 か月）,:_tue:
-0:39,Lowey,非メンバー,待機🦐
-0:37,あぽ隊長,非メンバー,:elbowcough:
-0:35,kino ko,非メンバー,ツえ
-0:33,かおる,メンバー（1 年 1 か月）,:_ピカソ:.。（一つくらい混ざっててもバレんやろ）
-0:32,むすび,非メンバー,ツえ
-0:32,つける,メンバー（2 か月）,:_tue:
-0:26,でそろ,メンバー（8 か月）,:_tue:
-0:22,ぶりオッシュ,メンバー（1 か月）,:_ピカソ:
-0:19,rantan621,メンバー（1 年 1 か月）,:_tue:
-0:18,あぽ隊長,非メンバー,:shelterin:
-0:17,フジガミネ,メンバー（8 か月）,:_tue:
-0:16,四葉寿光,非メンバー,待機🦐
-0:15,ノンセ,メンバー（7 か月）,:_ピカソ:
-0:13,しむライト,メンバー（6 か月）,バレバレで草
-0:07,三輪萌香 ミワモカ,メンバー（4 か月）,:_ピカソ:
-0:05,:爆破粘菌,メンバー（3 か月）,:_たいき:
-0:05,はるはる__,メンバー（10 か月）,:_tue:
-0:04,あぽ隊長,非メンバー,:chillwcat:
-0:04,ばる-BAL-,メンバー（3 か月）,:_エビオ笑:
-0:03,ごたくあん,メンバー（9 か月）,:_ピカソ:
-0:03,つける,メンバー（2 か月）,🐈
-0:01,Re:ゼロから始めるにはもう遅い,新規メンバー,ピカソを隠すならピカソの中
0:03,ゆどゆどどんぱ。,メンバー（4 か月）,:_ピカソ:
0:06,かずみ,メンバー（1 年 1 か月）,:_konn::_ebi:
0:07,にゃーみる,メンバー（3 か月）,:_konn::_ebi:
