timestamp,author_name,membership,text
-0:24,白黒,非メンバー,ダークモードだとピカソなんも見えん
-0:23,yellownue,メンバー（1 年 1 か月）,:_ピカソ:
-0:23,CHIMI,メンバー（9 か月）,:_ピカソ:
-0:23,ギル.-,メンバー（1 年 1 か月）,:_ピカソ:
-0:23,うゆ,メンバー（4 か月）,:_ピカソ:
-0:23,鶯茶,メンバー（2 か月）,:_ピカソ:
-0:23,Dクラス職員,非メンバー,ピカソ草
-0:20,松あんず,新規メンバー,:_ピカソ:
-0:19,狼災,メンバー（4 か月）,:_ピカソ:
-0:19,ヒヨロシ,メンバー（1 年）,:_ピカソ:
-0:18,Ender,非メンバー,もう🦐ですらない
-0:18,ハマハマだんご,メンバー（1 年）,:_ピカソ:
-0:18,モモンガ,メンバー（11 か月）,:_ピカソ:
-0:18,離島りとう,メンバー（10 か月）,:_ピカソ:
-0:17,ふゆぺちーの,メンバー（1 年 1 か月）,:_ピカソ:
-0:17,もくも,新規メンバー,バーコード多すぎィ！！
-0:16,ミヤマトム,メンバー（4 か月）,:_ピカソ:
-0:16,_ kisiSK,メンバー（1 年）,:_ピカソ:←誤字っても絶対気づかん
-0:16,ゴギファップ,新規メンバー,:_ピカソ:
-0:15,春嶺 煌 Harune Aki GameCh.,メンバー（1 年 1 か月）,:_ピカソ:
-0:15,マキがみ,非メンバー,今北、エビオなんか言ってた？
-0:15,rai saku,メンバー（1 年 1 か月）,:_ピカソ:
-0:15,ステラ,メンバー（4 か月）,:_ピカソ:
-0:15,餅煮,メンバー（4 か月）,:_ピカソ:
-0:14,ゆどゆどどんぱ。,メンバー（4 か月）,:_ピカソ::_ピカソ::_ピカソ:
-0:13,あめり,メンバー（7 か月）,:_ピカソ:
-0:13,odo ra,非メンバー,なんだこのピカソ！？！？
-0:13,_ F!,メンバー（1 年 1 か月）,:_ピカソ:
-0:13,ハルカカナタ,メンバー（2 か月）,:_ピカソ:
-0:13,あとらくなくあ,メンバー（3 か月）,:_ピカソ:
-0:13,あーるてぃー,メンバー（1 年 1 か月）,:_ピカソ:
