timestamp,author_name,membership,text
-3:37,Asahi_あさひ,メンバー（1 年 1 か月）,サムネきた！
-3:36,りょりょ,メンバー（1 か月）,:_ピカソ::_ピカソ::_ピカソ:
-3:30,あじむら,メンバー（1 か月）,:_たいき::_ebi:
-3:29,もね,メンバー（1 年 1 か月）,サムネきちゃ～
-3:25,雨降紫織,メンバー（1 か月）,:_konn:……:_konn:……
-3:25,R氏,メンバー（4 か月）,サムネ出てきた
-3:25,しーらかんす,メンバー（1 年 1 か月）,サムネ表示された～
-3:24,松田裕,メンバー（10 か月）,:_たいき::_ebi:
-3:23,ふら蓮,メンバー（2 か月）,:_たいき::_ピカソ:
-3:19,wu wa,非メンバー,サムネにいつものクソダサフォントが無いぞ
-3:18,斑咲ユホ,メンバー（1 年 1 か月）,:_たいき::_ebi:
-3:18,まこくま,非メンバー,1人桃鉄楽しみ
-3:12,ベルジュ,メンバー（1 年 1 か月）,:_やきにく::_やきにく:
-3:05,ステラ,メンバー（4 か月）,何年するんだろ？
-2:58,東のロン,メンバー（1 年 1 か月）,:_たいき::_ebi:
-2:50,じきしん,メンバー（1 年 1 か月）,一人でやれば友情は壊れないんだぜ！
-2:50,Kon Kon,メンバー（1 年 1 か月）,このサムネの顔好きね
-2:45,ベルジュ,メンバー（1 年 1 か月）,:_ナイス::_やきにく:
-2:45,wu wa,非メンバー,なんなら今サムネ作ってそう
-2:43,koron3,メンバー（1 年 1 か月）,:_たいき::_ebi:
-2:42,りょりょ,メンバー（1 か月）,クソダサフォントがない！バグか⁈
-2:38,たんおうの,メンバー（8 か月）,やったぜ！
-2:30,タツミ,メンバー（1 年 1 か月）,:_たいき::_ebi:
-2:17,わさびもち,メンバー（1 年 1 か月）,:_たいき::_ebi:
-2:13,とろけるチーズ,非メンバー,え！99年耐久ですか！やったー！
-1:54,かやの,メンバー（5 か月）,:_たいき::_ebi:
-1:49,すらいむくん,非メンバー,無理はすんなよ〜
-1:46,Kon Kon,メンバー（1 年 1 か月）,:_ちこく:？
-1:46,ナリリュウ,メンバー（4 か月）,:_たいき::_ebi:
-1:37,ごたくあん,メンバー（10 か月）,:_たいき::_ピカソ:
-1:36,東雲響,非メンバー,待機🦐
-1:36,ましが,非メンバー,エビオの桃鉄絶対面白い
-1:34,ゆづるはさん,非メンバー,今から耐久とはさすがやな・・・尊敬
-1:28,とんとぽい,メンバー（10 か月）,:_ebi:が勝つんだろうなあ
-1:27,まこくま,非メンバー,休みだからいつまででも見れる喜び
-1:22,イノウェル,メンバー（1 年 1 か月）,これはガチで直前に決めたな
-1:21,。くまこ,メンバー（1 年 1 か月）,:_たいき::_ebi:
-1:21,ズミズミ,メンバー（10 か月）,待機:_ebi:
-1:16,六本木丈二,メンバー（10 か月）,:_たいき::_ebi:
-1:01,りょりょ,メンバー（1 か月）,ゆっくりでもいいんやで！100年はながいからな
-0:54,片栗子,メンバー（1 年 1 か月）,:_たいき::_ebi:
-0:51,ダルいオス,非メンバー,さくまとやんのか？
-0:45,前原渚,新規メンバー,:_たいき::_ebi:
-0:44,チキチャン,新規メンバー,:_たいき::_ebi:
-0:33,にゃーみる,メンバー（4 か月）,100年耐久か…今日は寝れないな……
-0:18,笑児,新規メンバー,100年耐久がんばれ
-0:12,まこくま,非メンバー,今飲み物とか色々準備してるんだろうな
-0:08,R氏,メンバー（4 か月）,99年耐久は普通に日超えるんだよなぁ…
-0:00,じきしん,メンバー（1 年 1 か月）,無限電車編
0:05,はっぱ,非メンバー,100年耐久とは？
0:08,雨降紫織,メンバー（1 か月）,:_ちこく::_びっくり:回線:_びっくり::_ふじわら::_エビオ泣:
0:09,小倉,メンバー（1 年 1 か月）,:_konn::_ebi:
0:11,春嶺 煌 Harune Aki GameCh.,メンバー（1 年 1 か月）,:_konn::_ebi:
0:11,りりんご,非メンバー,きた！
0:11,ごたくあん,メンバー（10 か月）,ルドー耐久の次は100年耐久ってマ？
0:13,しいろ,メンバー（6 か月）,:_konn::_ebi:
0:13,ぽえポエ,メンバー（3 か月）,:_konn::_ebi:
0:14,ユキポスト,メンバー（1 年 1 か月）,:_konn::_ebi:
0:14,まひろ,メンバー（2 か月）,:_konn::_ebi:
0:15,とろけるチーズ,非メンバー,あ、キャストオフしてる
0:16,ともすけ,メンバー（1 年 1 か月）,:_konn::_ebi:
0:17,むすび,非メンバー,こん🦐
0:17,ナムサン,メンバー（3 か月）,:_konn::_ebi:
0:17,かきたね,メンバー（7 か月）,:_konn::_ebi:
0:17,ステラ,メンバー（4 か月）,:_konn::_ebi:
0:17,排水溝,メンバー（7 か月）,:_konn::_ebi:
0:18,のんびりゆっくり,メンバー（1 年 1 か月）,99年て5時間くらいかかる？
0:18,にゃーみる,メンバー（4 か月）,:_konn::_ebi:
0:18,歪曲,メンバー（7 か月）,:_konn::_ebi:
0:19,抹茶猫ペンギン,非メンバー,こん🦐
0:19,ゆどゆどどんぱ。,メンバー（4 か月）,:_konn::_ebi:
0:19,Kon Kon,メンバー（1 年 1 か月）,:_konn::_ebi:
0:20,HORNETチャチャねる,非メンバー,こん🦐
0:21,y 1,非メンバー,新衣装だ
