timestamp,author_name,membership,text
-1:41:30,おおばさん,メンバー（8 か月）,サムネのエリーさん綺麗･･･
-14:08,TOT2.0,非メンバー,😺
-12:40,AkirikA あきりか,メンバー（8 か月）,待機
-11:24,おおばさん,メンバー（8 か月）,待機！
-10:32,ミーン・ショー,メンバー（8 か月）,待機
-7:35,Alai,メンバー（2 か月）,待機
-5:49,えあ,新規メンバー,待機
-1:33,Torte,メンバー（8 か月）,待機〜
-1:04,GRASS,非メンバー,待機
-0:29,D- D,メンバー（1 か月）,待機
0:06,酒虎shutra,非メンバー,Youtubeさん頼むぞ...
0:13,AkirikA あきりか,メンバー（8 か月）,きちゃ
0:15,サウザントほり,メンバー（8 か月）,きちゃ！
0:20,おおばさん,メンバー（8 か月）,きちゃ！
0:20,GRASS,非メンバー,きちゃ
0:21,燐姫,メンバー（8 か月）,きちゃ！
0:22,セラム,非メンバー,きちゃー！
0:27,えあ,新規メンバー,きーちゃー
0:28,あん九ろ,メンバー（8 か月）,きちゃ！
0:29,ぶいらびC,メンバー（8 か月）,きちゃ！
0:31,焔ミーティア,非メンバー,きちゃ〜
0:35,ちい,メンバー（8 か月）,きちゃー！
0:36,184 hamzah,非メンバー,It's here!!
0:40,あまもーど,メンバー（8 か月）,きちゃ
0:54,Player 5,新規メンバー,きちゃ〜
1:04,おおばさん,メンバー（8 か月）,宣伝更新えらい
1:04,のえる,非メンバー,頼むぞYouTubeくん
1:08,AkirikA あきりか,メンバー（8 か月）,ついえら
1:09,サウザントほり,メンバー（8 か月）,ついえら！
1:24,ミズネイシャルダン,非メンバー,きちゃ！
1:26,おおばさん,メンバー（8 か月）,ついえらですー！
1:32,酒虎shutra,非メンバー,やっちゃ～！きちゃ～！
1:37,Player 5,新規メンバー,ついえら〜
2:05,萩原ピカ,メンバー（4 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
2:06,極九朗,非メンバー,ライブ配信初見です！
2:06,AkirikA あきりか,メンバー（8 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
