timestamp,author_name,membership,text
-5:19,あん九ろ,メンバー（6 か月）,役が残ってる…
-5:19,おはようエストイ24,メンバー（6 か月）,待機
-5:15,太陽,非メンバー,…？
-5:11,wa Wa,新規メンバー,エリーさん！？
-5:10,イカ,非メンバー,！？
-5:02,老いガツオ,メンバー（6 か月）,待機！
-4:56,wa Wa,新規メンバー,紅茶上等すき
-4:54,196 ME.,非メンバー,エリーさん！？
-4:45,ミーン・ショー,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo:
-4:44,ももしき,非メンバー,エリーの姉貴に⁉︎
-4:10,wa Wa,新規メンバー,グレコニファーかわいい
-4:09,GRASS,非メンバー,待機
-3:56,賢治鉄道の夜,メンバー（2 か月）,エリーの姉御！？
-3:52,綺磨咲ボボンボンボ,メンバー（6 か月）,:_elixirWawa:る:_elixirWawa:る:_elixirConifer::_elixirRibon:
-3:51,たぬジョー。,メンバー（6 か月）,なんだなんだ
-3:43,ねぎとろ,非メンバー,パラリラはわわわ
-3:37,酒虎shutra,新規メンバー,声劇配信をチェケラ
-3:36,もふ水[もふみず],メンバー（6 か月）,！？
-3:34,Kingxe,非メンバー,真っ白なきれいなバイクだ…なんだこれ⁉
-3:32,天水[あまみず]とも,メンバー（6 か月）,まさかのグレーコニファー！？
-3:27,火in空虚な暗黒,メンバー（6 か月）,！？
-3:20,賢治鉄道の夜,メンバー（2 か月）,ギリギリクリスマスを攻めていくエリー・コニファー
-3:18,184 hamzah,非メンバー,Parallel universe Eli!?
-3:18,A5飛騨牛,非メンバー,何があった…
-3:06,おおばさん,メンバー（6 か月）,ブッ飛びすぎてんヨ･･･！？
-3:04,Torte,メンバー（6 か月）,待機
-2:53,サウザントほり,メンバー（6 か月）,!!?
-2:49,ちい,メンバー（6 か月）,クリスマスに:_elixirKusa::_elixirKusa::_elixirKusa:！？
-2:44,だるまおとし,メンバー（6 か月）,🏍
-2:40,星憶,非メンバー,待機
-2:36,憂鬱なペンギン,非メンバー,はわわ…
-2:34,ミツル,非メンバー,！？！？
-2:33,Ariq Fajar,非メンバー,HAWAA!?
-2:31,サウザントほり,メンバー（6 か月）,ハードラックとダンスちまったんだよ…
-2:17,ななつぼし,メンバー（2 か月）,紅茶上等で:_elixirKusa:
-2:15,治井へいろ,メンバー（6 か月）,虚構じゃネェよな…？！
-2:05,大車輪,メンバー（6 か月）,上等っすね！
-2:04,りょー,メンバー（6 か月）,別世界線にきちまったようだ…:_elixirHaha::_elixirWawa::_elixirWawa:…
-2:02,わっちょンネル,メンバー（6 か月）,待k…エリーちゃん！？
-1:35,イカ,非メンバー,そら上等な紅茶飲んでほしい（感覚麻痺）
-1:20,Ariq Fajar,非メンバー,Eli Conifer_ KUSA GANGSTA
-1:16,sochimo fre,非メンバー,待ってたぜェ！この配信をよォ！！
-1:06,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,エリー姐さん！
-1:03,Liv Lov,非メンバー,待…えぇ…
-0:53,ミーン・ショー,メンバー（6 か月）,上等だ！
-0:51,卵自由,非メンバー,紅茶上等待機
-0:25,大車輪,メンバー（6 か月）,今日は寝落ちしないように熱めの酢斗露瓶莉威茶ガンガンにキメてくんで夜露死苦！
-0:22,Liv Lov,非メンバー,姉御ぉ!と呼んだほうが?
-0:19,Calucifer,メンバー（6 か月）,やべえケーキ忘れた
0:07,サウザントほり,メンバー（6 か月）,きちゃ！
0:17,ちい,メンバー（6 か月）,きちゃー！
0:17,斬鬼さん,メンバー（6 か月）,！？
0:22,184 hamzah,非メンバー,?????????
0:22,GRASS,非メンバー,？？？？？？？？？？？？？？？
0:23,あん九ろ,メンバー（6 か月）,きちゃ…！？
0:24,大車輪,メンバー（6 か月）,木茶ー！
0:24,道雪,メンバー（6 か月）,！？
0:27,A5飛騨牛,非メンバー,草
0:27,ネクシク,非メンバー,壊れたか
0:28,しもちゃん,メンバー（6 か月）,おぉ
0:35,サウザントほり,メンバー（6 か月）,およよ連合草
0:35,ぞでぃお,非メンバー,？
0:36,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,なんですかこれ
0:41,竹精 竹シー[たけしー],メンバー（6 か月）,いや草
0:53,wa Wa,新規メンバー,！？
0:58,あん九ろ,メンバー（6 か月）,ループ笑う
0:58,めろ松原,非メンバー,やっべ緑茶淹れちゃった
0:58,黒橋哲也,非メンバー,なんだこれww
1:05,wa Wa,新規メンバー,:_elixirOoo::_elixirYoyo::_elixirYoyo::_elixirYoyo:
1:11,Player 5,メンバー（1 か月）,！？
1:14,ななつぼし,メンバー（2 か月）,ループめっちゃ短くて:_elixirKusa:
1:17,響桜,メンバー（6 か月）,草
1:17,FPS初心者のいみサン,非メンバー,グレた……？？？
1:17,イカ,非メンバー,どういうことなの（困惑）
1:21,CharlesTitor,非メンバー,oyoyo
1:22,老いガツオ,メンバー（6 か月）,紅茶上等だああああああ！！
1:29,Exiled One,非メンバー,参上ォ！
1:30,大車輪,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo:
1:38,Sakana ToRa,新規メンバー,:_elixirOoo::_elixirYoyo::_elixirYoyo:連合じゃあ！
1:39,しもちゃん,メンバー（6 か月）,🏍:_elixirRibon::_elixirRibon::_elixirRibon::_elixirRibon::_elixirRibon:
1:42,しろめだか,メンバー（6 か月）,こんなサムネでええんか？
1:50,ミーン・ショー,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo:
1:53,ノヴァ・コロン,非メンバー,エリーちゃん……ｗサムネｗ
1:58,wa Wa,新規メンバー,御夜々連合かっこいい
2:01,菱垣廻船,新規メンバー,何事！？
2:10,道雪,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo:れんごう
2:10,ネリー・モノ,非メンバー,イカれたお紅茶を紹介するぜ！！
2:13,Devin Adam S,非メンバー,???
2:17,Exiled One,非メンバー,滅理威玖莉栖升ゥ！
2:22,184 hamzah,非メンバー,?????
2:22,ENJU YAMANO,非メンバー,エリー様どうしちゃったの
2:23,R K,非メンバー,不良コニファー
2:27,A5飛騨牛,非メンバー,強そうだ
2:33,AkirikA あきりか,メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:！？
2:33,あまなえつかさ,メンバー（6 か月）,草
2:33,わっちょンネル,メンバー（6 か月）,！？
2:35,サウザントほり,メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:！？
2:43,もふ水[もふみず],メンバー（6 か月）,:_elixirKusa:
2:46,黒橋哲也,非メンバー,草
2:46,火in空虚な暗黒,メンバー（6 か月）,おか:_elixirEli::_elixirRibon:・・・:_elixirKusa:
2:46,無氏名Nashina,非メンバー,草
2:48,あん九ろ,メンバー（6 か月）,マスクえらい
2:50,卵自由,非メンバー,御夜々…
2:50,菱垣廻船,新規メンバー,待ってたぜえ！ この時をよぉ！
2:51,Conbunco,メンバー（6 か月）,！？
2:51,ぶいらびC,メンバー（6 か月）,かわいい
2:57,たぬジョー。,メンバー（6 か月）,尾火絵理！
2:58,かにゅと,非メンバー,おかエリー！姉御ぉ！
3:03,ななつぼし,メンバー（2 か月）,なるほど、そういうことか
3:06,黒橋哲也,非メンバー,草
3:06,ささわき,非メンバー,スギちゃんかな
3:09,Sakana ToRa,新規メンバー,あ、姐御！！
3:15,イカ,非メンバー,紅茶上等！
3:18,ディバイダーCS,非メンバー,草
3:18,老いガツオ,メンバー（6 か月）,姉御おー！！
3:19,ゆき***,非メンバー,え、、、、なにが、、、
3:22,斬鬼さん,メンバー（6 か月）,ご機嫌ｗ
3:23,おおばさん,メンバー（6 か月）,草
3:23,おはようエストイ24,メンバー（6 か月）,推す！！
3:24,okibo,メンバー（6 か月）,草
3:28,まちのーと,非メンバー,草
3:28,老いガツオ,メンバー（6 か月）,草
3:28,太宰治まらない,非メンバー,草
3:28,道雪,メンバー（6 か月）,草
3:28,もふ水[もふみず],メンバー（6 か月）,:_elixirKusa::_elixirKusa::_elixirKusa:
3:29,ささわき,非メンバー,草
3:30,のいまくろん,非メンバー,はい
3:30,憂鬱なペンギン,非メンバー,今淹れてまーす
3:32,大車輪,メンバー（6 か月）,昨日は三多の兄貴がマッハで飛ばした日！今日は虎仁譜亜の姉御が紅茶上等の日だー！！
3:32,Liv Lov,非メンバー,草
3:33,バリオンゾリッド,メンバー（6 か月）,?
3:33,ME HO,非メンバー,草
3:36,NigHt,非メンバー,紅茶上等！！！
3:36,斬鬼さん,メンバー（6 か月）,ｽﾝ…
3:36,賢治鉄道の夜,メンバー（2 か月）,あっ
3:36,イカ,非メンバー,紅茶上等！🏍
3:36,しえすたぁ〜〜〜,非メンバー,草
3:36,サウザントほり,メンバー（6 か月）,そして親G
3:37,おおばさん,メンバー（6 か月）,放送事故かな？？？
3:41,りょー,メンバー（6 か月）,いやこの落差w
3:41,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,？
3:45,タオツー,非メンバー,今きたけど……首やり過ぎておかしくなっちゃいましたか……？
3:46,めろ松原,非メンバー,草
3:47,サイル,非メンバー,？
3:55,おはようエストイ24,メンバー（6 か月）,あと３０秒！
3:55,ke mik,非メンバー,一体何が…
3:56,老いガツオ,メンバー（6 か月）,なんかすごい夢を見ていた気がする…
4:01,治井へいろ,メンバー（6 か月）,紅茶上等！！
4:04,Liv Lov,非メンバー,なにも見てないよ…
4:04,星憶,非メンバー,垢間違えてますよは草
4:06,184 hamzah,非メンバー,Parallel Eli-verse
4:07,ななつぼし,メンバー（2 か月）,あんなに念押ししてたのに自らネタ引っ張るの笑うんだよなｗ
4:07,りょー,メンバー（6 か月）,集団催眠かなんかを見ていたようだ
4:19,母なる父,非メンバー,何この……何？
4:20,クーヤ,非メンバー,配信終わりました？
4:28,クロノ,非メンバー,少々待ってる間にクリスマス終った
4:28,ミツル,非メンバー,日付変わったｗｗ
4:33,enemy public,非メンバー,クリスマス新衣装だ
4:34,NigHt,非メンバー,クリスマス終了ですw
4:34,竹精 竹シー[たけしー],メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
4:34,ちい,メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:♪
4:34,ななつぼし,メンバー（2 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
4:35,卵自由,非メンバー,おかエリー
4:37,ぶいらびC,メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
4:37,ミーン・ショー,メンバー（6 か月）,:_elixirOoo:か:_elixirEli::_elixirRibon:
4:38,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,くりすますおわりましたねぇ
4:38,テツ Vtuber切り抜き,メンバー（1 か月）,メイド→不良→メイド
4:38,あまもーど,メンバー（6 か月）,おかエリー！
4:42,ディバイダーCS,非メンバー,. . . ハッ
4:43,おはようエストイ24,メンバー（6 か月）,ミュートだよ
4:43,くろむメッき,非メンバー,クリスマスが終わった
4:43,大車輪,メンバー（6 か月）,おかエリーなさいませ。エリー様
4:44,太宰治まらない,非メンバー,ゆ、夢か・・・
4:44,ミツル,非メンバー,おかエリー
4:54,ディバイダーCS,非メンバー,おかエリー！
4:54,AkirikA あきりか,メンバー（6 か月）,26日！
4:54,人生RTA,非メンバー,おかエリー
4:54,okibo,メンバー（6 か月）,おかエリー
4:55,あまなえつかさ,メンバー（6 か月）,おかエリー
5:04,タオツー,非メンバー,クリスマス終わってるのに三角帽子コニファー
5:04,フランスパン炒飯,非メンバー,メリクリ
5:04,太宰治まらない,非メンバー,ミュートは草
5:04,enemy public,非メンバー,アイヤー
5:04,Conbunco,メンバー（6 か月）,あいやー
5:04,がおちゃ,非メンバー,おかエリーなさい
5:07,ゆりみく,非メンバー,ｱｲﾔｰ
5:13,kunren,メンバー（6 か月）,:_elixirKusa:
5:13,えぬ,新規メンバー,おかエリー！
5:13,ミーン・ショー,メンバー（6 か月）,あれは用意時間かかるw
5:14,火in空虚な暗黒,メンバー（6 か月）,超えてしまいましたねw
5:20,しもちゃん,メンバー（6 か月）,クリスマスパーリーしますか
5:22,ななつぼし,メンバー（2 か月）,小ネタ挟んでる間にクリスマス終わって:_elixirKusa:
5:28,大車輪,メンバー（6 か月）,紅茶上等してたら日付超えちゃいましたね
5:34,おおばさん,メンバー（6 か月）,ええ、ええ
5:34,もふ水[もふみず],メンバー（6 か月）,ﾊｲ
5:34,[623Acre]鴫野エイカー,メンバー（6 か月）,よし、聖夜だな！
5:36,まちのーと,非メンバー,面白かったよーー！
5:42,おはようエストイ24,メンバー（6 か月）,そうそう、深夜３２時配信とかもあるしね！
5:42,酒虎shutra,新規メンバー,12/25 24:01
5:44,響桜,メンバー（6 か月）,寝るまでは25日だね！
5:44,くろむメッき,非メンバー,ｱ､ﾊｲ
5:46,あまもーど,メンバー（6 か月）,セーフ！
5:46,ミーン・ショー,メンバー（6 か月）,寝るまでは今日だからせーふ！
5:50,アース,非メンバー,かわいいーー
5:54,斬鬼さん,メンバー（6 か月）,俺のログには何もないな？？？
5:55,サウザントほり,メンバー（6 か月）,俺のログにはなにもないな？
5:59,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,いえ少し幻覚が
6:00,Kogiro 11,非メンバー,知らない子が出てました
6:00,ななつぼし,メンバー（2 か月）,なにもなかった
6:00,ちい,メンバー（6 か月）,特には別に？
6:01,卵自由,非メンバー,？何も？
6:04,えめる,非メンバー,エリィィィィィィ！！！！！
6:05,りょー,メンバー（6 か月）,ちょっとバイク通ってましたね
6:07,Ariq Fajar,非メンバー,no rida_ kusa gangsta
6:07,わっちょンネル,メンバー（6 か月）,ﾅﾆﾓﾅｶﾀﾖｰ?
6:08,ミーン・ショー,メンバー（6 か月）,連合の総長さんいらしてたような……？
6:11,大車輪,メンバー（6 か月）,覇和和！御世世！
6:13,wa Wa,新規メンバー,クリスマスだからね
6:16,[623Acre]鴫野エイカー,メンバー（6 か月）,ちょっと疲れてたかもしれない
6:20,GRASS,非メンバー,集 団 幻 覚
6:21,ミツル,非メンバー,夢か・・・
6:24,184 hamzah,非メンバー,Wish you a Merry Christmas!
6:27,りょー,メンバー（6 か月）,上等な紅茶手に入ったとか？
6:32,アース,非メンバー,アイヤー
6:38,ささわき,非メンバー,みんな、もうやられちまったのか....
6:42,猿猿,非メンバー,！？
6:42,Sakana ToRa,新規メンバー,クリスマスだからな
6:46,イカ,非メンバー,覇輪輪！ 王夜夜！
6:47,サウザントほり,メンバー（6 か月）,あとしっかりマスクして感染症対策してたね
6:57,斬鬼さん,メンバー（6 か月）,特攻のエリー？はて？
6:57,あん九ろ,メンバー（6 か月）,？
7:01,猿猿,非メンバー,！？
7:04,綺磨咲ボボンボンボ,メンバー（6 か月）,誰ぇ？怖いぃ…
7:04,ミーン・ショー,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo:……
7:10,あまなえつかさ,メンバー（6 か月）,何ぃ・・・こわいぃ・・・
7:14,クロノ,非メンバー,誰ぇ…こわいぃ
7:16,GRASS,非メンバー,だれぇ…こわいぃ…状態で草
7:16,憂鬱なペンギン,非メンバー,パラレルワールドだ！
7:22,酒虎shutra,新規メンバー,578＝こうちゃの語呂合わせでしたすんません
7:23,鈍色,非メンバー,エリーの姉貴！
7:23,ちい,メンバー（6 か月）,だれえ！？
7:27,あん九ろ,メンバー（6 か月）,？
7:33,イカ,非メンバー,サムネ？ はて
7:36,Yuma Sato,非メンバー,来ン晩波！！！
7:41,ミーン・ショー,メンバー（6 か月）,ぽやぽやこにふぁ
7:41,Torte,メンバー（6 か月）,？
7:47,アース,非メンバー,サンタ帽かわいいですね！！
7:55,えめる,非メンバー,サムネ可愛く見えた
7:59,がおちゃ,非メンバー,幻覚だったのかもしれませんね…？
8:02,火in空虚な暗黒,メンバー（6 か月）,:_elixirKusa:
8:03,ディバイダーCS,非メンバー,我々のヘッドはエリー
8:13,サウザントほり,メンバー（6 か月）,バイブスもエンジンもアゲアゲだったねぇ
8:16,わっちょンネル,メンバー（6 か月）,僕たちが…おかしいのか…？
8:20,猿猿,非メンバー,うおおおおおお！！
8:31,憂鬱なペンギン,非メンバー,ｷｰﾝ
8:55,あまなえつかさ,メンバー（6 か月）,おかしかったのはエｒ…
8:58,おおばさん,メンバー（6 か月）,”暴走”しちまってますね･･･！？
9:02,賢治鉄道の夜,メンバー（2 か月）,紅茶上等なんて何も聞いてませんよ！？！？
9:02,タオツー,非メンバー,皆さんクリスマスなのにお仕事だったから……
9:11,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,画数が多ければ多いほど強い
9:24,Sakana ToRa,新規メンバー,漢字が多い感じ
9:31,wa Wa,新規メンバー,草
9:34,ななつぼし,メンバー（2 か月）,上納金は:_elixirKusa:
9:34,菱垣廻船,新規メンバー,みかじめ料払われてますねえ
9:34,おおばさん,メンバー（6 か月）,上納金は何か違うんじゃないか･･･？
9:36,老いガツオ,メンバー（6 か月）,じょじょじょじょ上納金！
9:38,もふ水[もふみず],メンバー（6 か月）,あっファミリーってそういう…
9:38,るりれもん,メンバー（1 か月）,おかエリー！ リアタイだ〜
9:41,ゆりみく,非メンバー,上納金草
9:45,FPS初心者のいみサン,非メンバー,上納金止まらんw
9:54,サウザントほり,メンバー（6 か月）,強そうだった
9:57,ミーン・ショー,メンバー（6 か月）,別の世界線の虎仁譜亜
10:00,Kogiro 11,非メンバー,みかじめ料？
10:01,おにぎりゆうちゃん,非メンバー,バイトから帰ってきましたまだやっててうれしいです
10:03,わっちょンネル,メンバー（6 か月）,エリーちゃんは知らなくて良いのです…
10:08,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,さいれんなーい…
10:13,おおばさん,メンバー（6 か月）,さいれんない ほーりーない
10:13,酒虎shutra,新規メンバー,クリスマスイヴっすね
10:20,ミツル,非メンバー,紅茶降ってくるねぇ
10:26,イカ,非メンバー,ｻｲﾚﾝﾅｲ……ﾎｰﾘｨﾅｲ……
10:50,いんべる,メンバー（2 か月）,愚連隊の一味
11:07,Kogiro 11,非メンバー,お殿様？ｗ
11:10,ぶいはち,非メンバー,エリー総長
11:10,斬鬼さん,メンバー（6 か月）,かわいいｗ
11:10,Justin V.,非メンバー,Too much cute //
11:13,もふ水[もふみず],メンバー（6 か月）,かわいい
11:16,ミーン・ショー,メンバー（6 か月）,かわいい
11:16,AkirikA あきりか,メンバー（6 か月）,帽子を置き去りにした！？
11:20,大車輪,メンバー（6 か月）,帽子が自立起動なんだｗ
11:25,おおばさん,メンバー（6 か月）,お勤めも別の何かなんだよなぁ･･･
11:31,Ariq Fajar,非メンバー,lol
11:35,enemy public,非メンバー,総長メイド
11:36,Torte,メンバー（6 か月）,草
11:46,サウザントほり,メンバー（6 か月）,覇和和！
11:55,酒虎shutra,新規メンバー,御代々、覇把々
11:57,r roberto,非メンバー,かわいい
12:00,猿猿,非メンバー,ご主人様めちゃくちゃ強そう
12:04,天水[あまみず]とも,メンバー（6 か月）,メイド番長....
12:19,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,叡利草…
12:20,ミーン・ショー,メンバー（6 か月）,姉御ぉ！！
12:36,丘小路亭しば太_OkacoroTeiShibata,メンバー（6 か月）,:_elixirOoo::_elixirYoyo::_elixirYoyo::_elixirHaha::_elixirWawa::_elixirWawa:
12:40,大車輪,メンバー（6 か月）,エリーの姉御はベンチを振り回すんじゃなくて、ベンチとマブダチになれるんッスよ！
12:43,サウザントほり,メンバー（6 か月）,ハートフルボッコストーリー
12:47,[623Acre]鴫野エイカー,メンバー（6 か月）,心温まるハートフルストーリー？
12:56,憂鬱なペンギン,非メンバー,不良コニファーにハマったようで…
13:00,おはようエストイ24,メンバー（6 か月）,思い付きですが！
13:19,大車輪,メンバー（6 か月）,アガリ！？→🍵
13:26,酒虎shutra,新規メンバー,なんですのオホホ（裏声
13:33,響桜,メンバー（6 か月）,マブダチになったベンチを武器として戦うエリーさん
13:45,矧 / shin,非メンバー,姉御ぉ！
13:45,斬鬼さん,メンバー（6 か月）,クックパッドたんｗ
13:51,ゆび,非メンバー,おかエリー！遅刻遅刻ゥ！
13:51,サウザントほり,メンバー（6 か月）,クックパッドたん見てるの草
