timestamp,author_name,membership,text
-25:38,さんさく,新規メンバー,:_eluサイリウム::_eluサイリウム::_eluサイリウム:
-25:29,よっぺ,メンバー（1 年）,待機:_eluわーい:
-25:09,きしさね,メンバー（2 か月）,:_eluサイリウム::_eluサイリウム::_eluサイリウム:
-23:54,結城ゆきお,メンバー（1 年）,:_eluサイリウム:
-13:13,さしみちゃん,メンバー（1 年）,まさのりさん要素、"CH" だけ
-10:32,Alfa K,メンバー（2 か月）,:_eluサイリウム::_eluわーい::_eluサイリウム:
-2:50,tamonization,非メンバー,待機
-2:23,T Honda,非メンバー,TIE Elu
-1:49,中菊,メンバー（1 年）,勝てRuＣＨ待機
-1:36,俺だよ!!俺!!,非メンバー,マリカー見てて遅れたと思ったらまだ始まってなかった
-0:09,あざらしここ,メンバー（1 年）,:_eluサイリウム::_eluサイリウム::_elu伸ばし棒::_eluびっくりまーく:
0:11,Km Km,メンバー（1 年）,こんばんえるえる～
0:18,こい焼肉,メンバー（1 年）,こんばんえるえる～
0:22,RED,メンバー（6 か月）,こんばんえるえる～
0:27,ムスカ大佐【非公式】,非メンバー,こんばんえるえる〜
0:29,T M,メンバー（1 年）,こんばんえるえる〜
0:32,ヒロム,メンバー（1 年）,こんばんえるえる～
0:32,ともみ,非メンバー,こんばんえるえる〜
0:32,Masa,メンバー（1 年）,こんばんえるえる～
0:34,地中海性気候,非メンバー,こんばんえるえるー
0:36,P0MUHE1,非メンバー,こんばんえるえる～
0:36,ふじと,メンバー（6 か月）,こんばんえるえる～
0:36,ちるちる,非メンバー,こんばんえるえる～
0:46,たかふろ,メンバー（1 年）,こんばんえるえる〜
0:46,クロウ,非メンバー,こんばんえるえる〜
0:52,Mt yamagawa,メンバー（2 か月）,こんばんえるえるーー！
0:54,tamonization,非メンバー,こんばんえるえる～
0:56,惣菜,非メンバー,こんばんえるえる～
0:58,中菊,メンバー（1 年）,帰森して早々訓練所とはさすがだ
1:01,Defaultie boi,非メンバー,Hello.
1:10,あしをじ,非メンバー,こんばんえるえる〜
1:35,中菊,メンバー（1 年）,ステレオ警察大丈夫そうかな
2:00,よっぺ,メンバー（1 年）,こんばんえるえる～
2:00,vol,非メンバー,うっま
2:08,ツナンジュ,メンバー（1 年）,こんばんえるえる～ ガチ練習いいぞ～
2:17,べにまる,非メンバー,いたたたたたあたたたた
2:17,こい焼肉,メンバー（1 年）,いたたた
2:28,P0MUHE1,非メンバー,フララ制御うまいね
2:37,あざらしここ,メンバー（1 年）,当てるなぁ
3:16,凝淵,非メンバー,こんばんえるえる〜
3:19,ひらしゃいん,非メンバー,くさ
3:28,ひらしゃいん,非メンバー,一般通過バンガ
3:48,俺だよ!!俺!!,非メンバー,よし、引けたな
3:54,中菊,メンバー（1 年）,ジグザグ走りを第三者視点で見てくれるのいいね
