timestamp,author_name,membership,text
-19:14,結城ゆきお,メンバー（1 年）,:_eluサイリウム:
-18:50,DX Z,メンバー（1 年）,:_eluわーい::_eluわーい::_eluわーい:
-16:02,爆裂,メンバー（1 年）,近頃、えるの配信枠が見えて喜んでいたら、「1分前に配信済み」と書かれていることが多い。オレたちは表裏一体なのだろうか。
-14:06,よっぺ,メンバー（1 年）,待機:_eluわーい:
-11:26,きしさね,メンバー（2 か月）,:_eluえるえる::_eluサイリウム:
0:10,Km Km,メンバー（1 年）,こんばんえるえる～
0:23,スズメ,非メンバー,再度こんばんえるえる～
0:24,popai popai,非メンバー,こんばんえるえるーーーー
0:26,よっぺ,メンバー（1 年）,こんばんえるえる～
0:28,いわはす,メンバー（1 年）,こんばんえるえる～
0:36,きよ子,非メンバー,こんばんえるえる〜！
0:55,ゔ ゙ ゙ ゙ ゙ ゙,メンバー（1 年）,がんばえるえる～
1:10,Johnny_2305,非メンバー,お、始まってた
1:16,Johnny_2305,非メンバー,こんばんえるえる～！
1:39,きしさね,メンバー（2 か月）,草
1:39,チョコカレー_,非メンバー,草
1:42,ぴーる,非メンバー,こんばんえるえる〜ついえら！
1:46,Johnny_2305,非メンバー,切り抜かれてたｗ
1:53,ぴーる,非メンバー,計画通り（棒）
1:58,あざらしここ,メンバー（1 年）,こんばんえるえる〜
2:08,Xmas joint,非メンバー,動画見ました！
2:20,lamakan tak,メンバー（6 か月）,こんばんえるえる～
2:22,ヒロム,メンバー（1 年）,改めてこんばんえるえる～
2:49,rireia,新規メンバー,こんばんえるえる〜！
3:22,ジャックジャック,メンバー（1 か月）,こんばんえるえる〜
4:10,ふじぃ,メンバー（1 年）,こんばんえるえる～
4:22,よっぺ,メンバー（1 年）,まさのりさんでも使わないんだ
6:08,123 tmtm,非メンバー,深い
6:08,あざらしここ,メンバー（1 年）,ほぉ〜
6:51,ふじわらい,非メンバー,全弾が素のボルトと同じぐらいはなぁ
7:27,きしさね,メンバー（2 か月）,ナイスー
7:31,Masa,メンバー（1 年）,ないすぅ
7:32,ぴーる,非メンバー,ナイスゥ！
7:33,tamonization,非メンバー,ナイス
7:37,よっぺ,メンバー（1 年）,ナイスゥ
7:49,いわはす,メンバー（1 年）,:_eluナイス:
8:27,DX Z,メンバー（1 年）,早い
8:57,either 2,非メンバー,めっちゃ研究してる
9:21,ぴーる,非メンバー,考えることが…考えることが多い…！
10:03,ぴーる,非メンバー,ナイスー！
10:18,よっぺ,メンバー（1 年）,ナイスゥ
12:41,よっぺ,メンバー（1 年）,どれか分からないｗ
13:17,なな,非メンバー,いまきた、えるえる頑張ってる🤘🏻
13:52,まんまるにゃむ,非メンバー,あれ、さっきもエペしてなかった？
