timestamp,author_name,membership,text
-1:52:08,中菊,メンバー（1 年 7 か月）,ボクシング部きょうもファイトー！:_eluサイリウム::_eluサイリウム::_eluサイリウム:
-1:43:58,Johnny_2305,非メンバー,待機！
-34:49,高天原在葉,新規メンバー,待機:_eluわーい:CPUに負けたら即終了リバーシ大変笑わせていただきました
-33:40,キャタピラ,メンバー（2 か月）,:_eluわーい::_eluわーい:
-17:25,かなはら,非メンバー,おはえるえる～ 概要欄見てちょっと泣いてしまった…えるえるずっと応援する…
-13:51,爆裂,メンバー（1 年）,月曜の憂鬱を吹き飛ばす拳
-13:13,てんのう,メンバー（1 か月）,おはえる〜
-11:17,スズメ,非メンバー,月曜の朝と言えばボクシング部だよな
-10:10,ミナミ,非メンバー,おはえるえる～
-9:46,俺だよ!!俺!!,非メンバー,今日は寝坊回避出来た？
-7:17,naname,非メンバー,拳の時間だ！
-5:04,爆裂,メンバー（1 年）,下手したら起きっぱ説がある
-4:40,キャタピラ,メンバー（2 か月）,:_eluドコドコ::_eluドコドコ::_eluドコドコ:
-3:25,爆裂,メンバー（1 年 7 か月）,うわっ
-3:21,高天原在葉,新規メンバー,サムネきちゃ
-3:12,ジャックジャック,メンバー（1 か月）,サムネやばw
-3:09,スズメ,非メンバー,雑サムネ草
-3:08,Johnny_2305,非メンバー,こわｗ
-2:52,ecstasy,非メンバー,サムネやばくて草
-2:49,俺だよ!!俺!!,非メンバー,サムネ真っ黒なんだけど、俺だけ？
-2:38,ooxlogannxoo,非メンバー,Belo thumbnail lols
-2:35,紫芋乃進,非メンバー,昨日からサムネセンスがヤバい
-2:21,爆裂,メンバー（1 年 7 か月）,（しかも使いまわし）
-2:06,俺だよ!!俺!!,非メンバー,あ、切り替わった
-1:19,jaggi006,非メンバー,ボクシング部活動久しぶり？
-1:16,よっぺ,メンバー（1 年 7 か月）,でろーんが描いてるんだよね
-1:03,爆裂,メンバー（1 年 7 か月）,素敵なサムネですね
-1:01,bb tomato,非メンバー,どわ
-0:42,naname,非メンバー,推しにサムネ描いてもらえる幸せエルフ
-0:00,俺だよ!!俺!!,非メンバー,定期的にこの絵こすってくるよなw
0:10,爆裂,メンバー（1 年 7 か月）,こんばんえるえる
0:17,Mt yamagawa,メンバー（2 か月）,おはえるえる～～！
0:17,Km Km,メンバー（1 年 7 か月）,おはえるえる～
0:21,スズメ,非メンバー,おはえるえる～
0:25,きよ子,非メンバー,おはえるえる〜！
0:26,ふじぃ,メンバー（1 年 7 か月）,おはえるえる～
0:28,地中海性気候,非メンバー,おはえるえるー
0:31,さんさく,非メンバー,おはえるえる～～！！！
0:32,爆裂,メンバー（1 年 7 か月）,なんかみんな元気なくて草
0:33,T M,メンバー（11 か月）,おはえるえるー
0:34,ジャックジャック,メンバー（1 か月）,おはえるえる〜
0:37,エルミス,非メンバー,おはえるえるー
0:38,よっぺ,メンバー（1 年 7 か月）,おはえるえる～
0:38,AOI 。,非メンバー,おはえるえる〜
0:39,高天原在葉,新規メンバー,おはえるえる〜
0:40,ぐら,非メンバー,おはえるえる～
