timestamp,author_name,membership,text
-23:43,marimo,非メンバー,えっ...
-23:10,のぶきち,非メンバー,どうかしなないで
-22:16,Y T,非メンバー,またなんか天才な事しようとしてる
-22:01,吾輩は100万回生きたネコである,非メンバー,ん？ガッチマンさん？
-20:51,ねこのゆりかご,新規メンバー,ボケないと死ぬ病気か何かか？
-18:53,乃禄,非メンバー,冬仕様か？
-15:56,ナー,非メンバー,どういうことなの……
-14:26,解き放たれしインテレオン,非メンバー,夜王国全員本戦行けるかな？
-14:06,ケニー,非メンバー,なぜ氷水を…？
-13:38,kamiza,非メンバー,巴さんあがりましたね
-11:30,山羊【ヤギ】,新規メンバー,夜王国結集なるか・・・！？
-11:24,リヴ,新規メンバー,グウェルさんも本戦行って夜王国揃ってほしい！
-11:11,いでんで,新規メンバー,がんばれ！！
-10:34,トモ,非メンバー,水中ステージ選ばれたら勝てるな
-10:19,はやしま,非メンバー,がんばれ！！！
-10:14,バル,非メンバー,氷水…？
-10:09,l u,非メンバー,がんばれええええええ
-9:36,なたでここ,非メンバー,頑張れー！
-9:07,人頑張る,非メンバー,氷水……？
-8:31,ああ,非メンバー,頑張れ！！
-8:27,T. Shilver,非メンバー,自ら縛りプレイしようとしてない？
-6:34,jjim huvu,非メンバー,グウェルスタンバ・・・
-6:31,タヅキ,新規メンバー,頑張れ～
-6:29,鰓,非メンバー,ええ…
-6:18,marumi,非メンバー,大丈夫？
-6:04,クロ雲ライ,非メンバー,え…？
-5:54,NERIMONO,非メンバー,死ぬぞ
-5:44,ォアーー,非メンバー,氷水・・・？
-5:43,ねたろう,非メンバー,氷水使うとかついに本気だしてきたか
-4:22,自称キズナアイの旦那,非メンバー,タイトルだけで笑いが止まらんw
-4:08,いのじ,非メンバー,流石に潜る訳じゃなくて罰ゲームとしてだよな……？
-3:41,s s,非メンバー,氷水でも炎上の炎は消えないよ
-3:29,もちょほっぺぱん,非メンバー,氷水の呼吸
-2:46,山羊【ヤギ】,新規メンバー,そろそろ・・・
-2:38,ToMas,非メンバー,めっちゃ楽しみ
-2:38,クロッキー,非メンバー,水没しないコースだったらどうするんだろう。飲むのかな？
-2:19,いた,非メンバー,寒中マリカと聞いて
-2:18,焔アグニ,非メンバー,待機ー！
-2:12,しそこんぶ,非メンバー,ステージはやっぱり水中かな？
-2:01,ちゃろる,非メンバー,これ顔を氷水につけて走るの....???
-1:27,タヅキ,新規メンバー,初めて水中マリカという字面を見た気持ちを思い出した
-1:17,m o,非メンバー,🧊🔥グウェル🔥🧊
-0:57,m o,非メンバー,たのしみー
-0:50,senya000,非メンバー,水中以外のステージはどうするんだろう
-0:45,乳卵〈にゅうらん〉こむぎ,非メンバー,がんばえー
-0:23,泥土,非メンバー,にじさんじのフレイザード
-0:06,senya000,非メンバー,夜王国揃って本選行って欲しい
-0:06,L- L-,非メンバー,ついに全身水中マリカですね
0:06,ねこのゆりかご,新規メンバー,フレイザードは草
0:16,ToMas,非メンバー,なにしてんの？
0:18,よんたま,非メンバー,！？
0:18,なつめ,非メンバー,きちゃ
0:18,バルム・ナナハ,非メンバー,！！？？
0:22,山羊【ヤギ】,新規メンバー,草
0:22,タシロタカヒロ,非メンバー,はじまった
0:22,Я馬骨R,非メンバー,！？
0:24,2248 qpc,非メンバー,！！！！！
0:24,ちる,非メンバー,！？
0:25,k y,非メンバー,暖取ってるのかよｗｗｗｗｗｗ
0:27,kamiza,非メンバー,え
0:27,乃禄,非メンバー,きちゃ
0:27,みしろくん,非メンバー,！？
0:28,宮崎,新規メンバー,！！？
0:28,明智光秀,非メンバー,草
0:30,あかきき,非メンバー,草
0:31,jjim huvu,非メンバー,どんな服装？
0:31,ねこのゆりかご,新規メンバー,初手噛みたすかる
0:33,兄殿,非メンバー,可愛い
0:34,空知らぬ雪,非メンバー,ださっっっw
0:38,S G,非メンバー,？？？
0:38,うら,非メンバー,待ってたぞ
0:40,こっしー,非メンバー,ジュニアみたいな格好で草
0:44,はしだいく,非メンバー,？？？？
0:46,ムスカ大佐【非公式】,非メンバー,服かわいい笑
0:50,なたでここ,非メンバー,!?
0:53,N.R. Happin,非メンバー,草
0:53,高丸,非メンバー,草
0:55,f s,新規メンバー,！？
0:57,ムスカ大佐【非公式】,非メンバー,音がリアル笑
0:58,Ganon,非メンバー,かわいい
0:58,宮崎,新規メンバー,草
1:02,山羊【ヤギ】,新規メンバー,ｶﾞﾗｶﾞﾗｶﾞﾗｶﾞﾗ
1:02,しらす冷奴,非メンバー,氷水用意してんだよwwwww
1:05,なたでここ,非メンバー,まじで用意してる…？
1:05,Chee,非メンバー,ｶﾗﾝｶﾗﾝｶﾗ.....
1:06,パリピ,非メンバー,ｶﾞﾗｶﾞﾗｶﾞﾗｶﾞﾗ
1:09,いた,非メンバー,ああ氷水の音～
1:12,senya000,非メンバー,氷の音草
1:12,小野近衛,非メンバー,水中ないコースになってら何処で潜るの？
1:16,。うばあ,非メンバー,顔と服があってねぇww
1:16,サラダ,非メンバー,かわいい
1:17,jjim huvu,非メンバー,アル中カラカラみたいな音がしてる
1:18,nyuwa,非メンバー,凍えそう…
1:18,グラト,非メンバー,マイナス何度？w
1:23,T. T.,非メンバー,まじの氷水かよｗ
1:25,JUN,非メンバー,これ水中マリカじゃないぞ
1:25,ひつじ飼いのジョージ,非メンバー,マジで用意してやがる。。。Σ(￣ロ￣lll)
1:26,merci_v,非メンバー,痛み感じるうちはまだまだ
1:29,Ganon,非メンバー,君だけだぞ
1:29,クロ雲ライ,非メンバー,なんで…？
1:29,ドアノブ,非メンバー,お前やw
1:30,はやしま,非メンバー,こっちの台詞なんよ
1:30,ケニー,非メンバー,みんなはやってないんだよｗ
1:33,暇暇ローグ,非メンバー,あんただけじゃい
1:33,ねこのゆりかご,新規メンバー,身体張りすぎィ！
1:34,Gale ria,非メンバー,やんねぇよ
1:34,ムスカ大佐【非公式】,非メンバー,あんただけだよ！！
1:36,おりょう,非メンバー,お前だよ
1:36,リヴ,新規メンバー,皆んなしてないんよ
1:36,もちょほっぺぱん,非メンバー,みんな（グウェル）
1:36,ひつじ飼いのジョージ,非メンバー,いやお前だけだよ
1:36,あんどりゅー,非メンバー,今北何してんのw
1:36,さごく,非メンバー,お前だけ
1:37,シェル,非メンバー,お前しかやってないぞ
1:39,タヅキ,新規メンバー,君だけなんだよなぁ
1:41,よんたま,非メンバー,お前だけじゃい！
1:45,O.K.S.【心〈しん〉】,非メンバー,あなただけだよ！
1:47,パンパカパンツ,非メンバー,世界線合ってる？
1:47,兄殿,非メンバー,氷水はお前だけだよ！
1:47,シャアド,非メンバー,氷水は1人だけなんだよね
1:47,るーるー,非メンバー,お前だけだ
1:52,マーティン,非メンバー,お前さんだけだよ
2:01,タシロタカヒロ,非メンバー,始まる前に何をしてるんだ
2:03,いつものご飯,非メンバー,氷のせいで顔つけられなさそう
2:03,石楽器,非メンバー,このあとBno紹介とかあるよ
2:06,浅瀬,非メンバー,一人だけ違う大会に参加してるね
2:06,あおてんX,非メンバー,氷水ほんと草
2:09,タヅキ,新規メンバー,一体どの世界軸のマリカ大会にでてるんだ
2:09,むみむじゅん,新規メンバー,？
2:12,イサオリ,非メンバー,顔つけてやるの？
2:14,senya000,非メンバー,本選行ったらまた準備しないとじゃん
2:14,乃禄,非メンバー,違う世界にいないか？
2:14,鳩,非メンバー,一人だけ違うんだよなぁ
2:16,英文読解の透視図,非メンバー,マジでなにしてんのwwwww
2:19,れつ,非メンバー,嘘だといってくれ
2:24,にゅらら,非メンバー,違う大会では？
2:24,リヴ,新規メンバー,B来ますよ
2:29,スマグッミ。,非メンバー,今きたけど私服ださwwwwwww
2:32,marimo,非メンバー,なんやこれwww
2:32,Ganon,非メンバー,草
2:41,こま,非メンバー,グウェルだけ平行世界におるやん
2:48,麦,新規メンバー,私服ダサくて草
2:49,エバ丸。,非メンバー,今北
2:53,尾形光琳,非メンバー,草
2:54,なたでここ,非メンバー,わくわく
2:58,レンガー,非メンバー,見に来たぞグウェル！
3:04,ぴろしき_たぶん暇人,新規メンバー,今本放送も無音
3:05,ToMas,非メンバー,今は大人いね
3:12,KP myon,非メンバー,ふぁ？
3:15,アオイ,非メンバー,何してるの？
3:20,ねこのゆりかご,新規メンバー,砂漠来たら笑うわ
3:22,ああ,非メンバー,セーターかわいい
3:25,Lan Shiki,非メンバー,あったかそう
3:30,うどん4号弐式,非メンバー,今来ました新衣装ですか？
3:32,senya000,非メンバー,クソダサセーターどうしたの
3:32,mokuto,非メンバー,最近寒くなりましたね
3:32,はるはる,非メンバー,新衣装たすかる
3:34,ヤスヒロ,非メンバー,🦁
3:39,senya000,非メンバー,はい
3:41,Kaitou Xi,非メンバー,勝ちなさいグウェル殿
3:41,ゆーの,非メンバー,グウェルw
3:46,しき,新規メンバー,リアタイできました
3:46,のどがおじいちゃん,非メンバー,見たよ！
3:47,ムスカ大佐【非公式】,非メンバー,エルフ仲間を超えたな
3:49,カフェオレ,非メンバー,見ました
3:49,シオヤキ,非メンバー,見ました
3:49,Vah_Razu,新規メンバー,寒そうですね
3:49,クロ雲ライ,非メンバー,ああw
3:50,Argent Brand,非メンバー,短い動画クッソワロタｗ
3:50,なつめ,非メンバー,ああ……
3:55,冷凍倉庫,非メンバー,へぇあ〜
3:56,母上,非メンバー,行ったら終わってた
3:58,とーり,非メンバー,見ました
4:04,ねこのゆりかご,新規メンバー,何故ベストを尽くしたのか
4:08,スマグッミ。,非メンバー,エルフ間で張り合わないでください
4:12,えんじぇるくん,非メンバー,あったかそうやな
4:12,hiro hiro,非メンバー,あんたがNo1だ
4:14,三花川【みかがわ】,非メンバー,広告2本見てから動画見たニキに心から同情した
4:18,おむらいす,非メンバー,他のライバーに先をこされてなかった？
4:18,FAF厚生局一般職員,非メンバー,草
4:19,かぷせる,非メンバー,こんちは
4:19,なたでここ,非メンバー,すげぇ
4:23,液体ちっそ,非メンバー,2倍速で観ました
4:24,miyukichi,非メンバー,草
4:29,K澤レ点,非メンバー,すごｗ
4:35,乃禄,非メンバー,体感1秒でした
4:35,麦,新規メンバー,草
4:35,Fu ry ひゅーりー,非メンバー,草
4:35,よしのひかる,非メンバー,とても見やすかったです
4:35,納豆,非メンバー,www
4:35,ゆーの,非メンバー,草
4:38,クロ雲ライ,非メンバー,草
4:38,ハムストリングスはっはは,非メンバー,単純に見やすい
4:38,亜鉛,非メンバー,短いから敷居低いんだろうな
4:39,あんどりゅー,非メンバー,草
4:39,はるはる,非メンバー,見やすいからね
4:39,こーせー,非メンバー,！？
4:40,*めゆ,非メンバー,草
4:42,Smile smile,非メンバー,25万秒合計
4:43,バル,非メンバー,草
4:46,トルジェプ,非メンバー,氷水！？
4:48,リヴ,新規メンバー,コメント残したかった
