timestamp,author_name,membership,text
-2:02,人の金で焼肉,メンバー（11 か月）,な…
-2:00,こっと,メンバー（7 か月）,な…
-2:00,神山ぽん,非メンバー,な___
-1:58,ナ ナ セ,新規メンバー,な…
-1:58,にょま,メンバー（6 か月）,な…
-1:58,ナツキ,メンバー（6 か月）,な…
-1:56,しめじめし,メンバー（11 か月）,な…
-1:55,りいのみく,非メンバー,な…
-1:55,蹄,メンバー（7 か月）,な…
-1:50,璟,メンバー（7 か月）,な…
-1:50,サンタマリア,メンバー（3 か月）,な…
-1:50,沸点95度,非メンバー,な…
-1:49,クレイジーソルトちゃん,メンバー（2 か月）,な……
-1:47,1理,メンバー（11 か月）,な…
-1:47,ゆき,メンバー（2 か月）,な…
-1:45,soo,メンバー（7 か月）,な…
-1:43,麻友緒,メンバー（11 か月）,な…
-1:42,ナナ,メンバー（7 か月）,な…
-1:38,あけもと,非メンバー,な…
-1:38,Лиса【リサ】,メンバー（9 か月）,な...
-1:37,かかおまめ,メンバー（7 か月）,な...
-1:37,テンクーコング,新規メンバー,なん
-1:32,ノア,非メンバー,な…
-1:29,とんかち,非メンバー,な…
-1:27,ひい子,メンバー（1 か月）,な…
-1:27,じつ,メンバー（11 か月）,な…
-1:24,あなざー,非メンバー,な…
-1:24,ガオ,メンバー（3 か月）,な…
-1:21,ウサリサusarisa,新規メンバー,な…
-1:17,隻眼の瑠璃ウサギ,非メンバー,な……………
-1:13,麻酔薬,メンバー（8 か月）,な…
-1:13,あこ,非メンバー,な…
-1:11,しーろ猫,非メンバー,な…
-1:09,のってぃ,非メンバー,な…
-1:08,ソウルサンド,非メンバー,パ…
-1:00,田中太郎,非メンバー,な……
-0:56,草薙静馬,メンバー（1 か月）,な…
-0:55,彩京護,非メンバー,な…
-0:50,キュル,非メンバー,な……
-0:47,ぷらむ,メンバー（8 か月）,な…
-0:45,神山ぽん,非メンバー,パ___
-0:43,河合美咲,非メンバー,な……
-0:32,_ yumika,メンバー（2 か月）,な…
-0:30,ぺぺぽんぬ,非メンバー,な……
-0:26,りいのみく,非メンバー,な……
-0:23,まこたろう,メンバー（3 か月）,パ
-0:09,笑いじわ,非メンバー,な……
-0:01,yukina,メンバー（11 か月）,ついえら！
-0:00,ぷらむ,メンバー（8 か月）,ついえら
-0:00,あきひなみかん,メンバー（7 か月）,ついえら
0:02,馴鹿,非メンバー,ついえら！
0:02,璟,メンバー（7 か月）,ついえら
0:03,ナ ナ セ,新規メンバー,ついえら！
0:03,麻酔薬,メンバー（8 か月）,ついえら
0:04,りいのみく,非メンバー,ついえら
0:04,ウサリサusarisa,新規メンバー,パ…
0:05,ねむいゆるお,非メンバー,ついえら！
0:06,骨折おむらいす,非メンバー,ついえら
0:07,ノア,非メンバー,ついえら
0:09,神山ぽん,非メンバー,ついえら
0:11,テンクーコング,新規メンバー,きちゃ！
0:14,かかおまめ,メンバー（7 か月）,きちゃ！
0:14,ウサリサusarisa,新規メンバー,ついえら！
0:14,こっと,メンバー（7 か月）,きちゃ！
0:16,わたしのほうが名探偵,非メンバー,ついえら！
0:16,ソウルサンド,非メンバー,きちゃ
0:18,竹中,メンバー（7 か月）,きちゃ
0:18,ヒイロン,非メンバー,ついえら
0:18,蛟,メンバー（10 か月）,きちゃ
0:19,まこたろう,メンバー（3 か月）,きちゃ！
0:19,人の金で焼肉,メンバー（11 か月）,きちゃ！
0:19,Лиса【リサ】,メンバー（9 か月）,きちゃ！
0:19,soo,メンバー（7 か月）,きちゃ
0:20,ガオ,メンバー（3 か月）,きちゃ
0:21,ねむいゆるお,非メンバー,きちゃー！
0:21,しめじめし,メンバー（11 か月）,きちゃ
0:21,ナ ナ セ,新規メンバー,きちゃ！
0:22,ぺぺぽんぬ,非メンバー,きちゃ
0:23,サンタマリア,メンバー（3 か月）,きちゃ
0:23,河合美咲,非メンバー,ついえら！！
0:23,青酸カリ,非メンバー,きちゃ
0:23,ナツキ,メンバー（6 か月）,きちゃ
0:24,神山ぽん,非メンバー,きちゃ
0:27,璟,メンバー（7 か月）,きちゃ
0:27,麻酔薬,メンバー（8 か月）,きちゃ
0:27,田中太郎,非メンバー,きちゃ
0:28,_ yumika,メンバー（2 か月）,きちゃ
0:28,クレイジーソルトちゃん,メンバー（2 か月）,きちゃ
0:28,ノア,非メンバー,きちゃ！
0:29,あきひなみかん,メンバー（7 か月）,きちゃ
0:29,あなざー,非メンバー,きちゃ！
0:30,河合美咲,非メンバー,きちゃ
0:30,沸点95度,非メンバー,きちゃ
0:32,葉野。,非メンバー,きちゃ
0:32,なちこ,非メンバー,きちゃ
0:34,ユゥ,メンバー（3 か月）,きちゃ！
0:36,みるくぱん,非メンバー,きちゃ
0:37,りいのみく,非メンバー,きちゃ！
0:41,あこ,非メンバー,きちゃ！
0:42,1理,メンバー（11 か月）,きちゃ
0:44,K. K,非メンバー,きちゃ！
0:47,蹄,メンバー（7 か月）,きちゃ
0:49,日本っていいよな!!,非メンバー,きちゃ
0:50,はげちゃびん,非メンバー,きちゃ！
0:51,メライス,新規メンバー,きちゃ！
0:52,しとぎ,非メンバー,きちゃ
0:53,Vi Nnie Ng ビー二ー,非メンバー,きちゃ！
0:57,もちた,非メンバー,きちゃ
1:00,Q F,非メンバー,きちゃ！
1:02,にゃむ,非メンバー,きちゃ
1:02,御黎,非メンバー,きちゃ
1:07,みるくぱん,非メンバー,早い時間からありがたい
1:08,c wy,非メンバー,きちゃ！
1:14,ジャネル,メンバー（6 か月）,きちゃ！
1:14,ウサリサusarisa,新規メンバー,きちゃ！
1:16,ピクトグラム,非メンバー,たすかる
1:16,一角くん,非メンバー,異議あり！
1:18,インド人,非メンバー,パが光るの辞める！！！
