timestamp,author_name,membership,text
-1:36,しめじめし,メンバー（6 か月）,な…
-1:35,ウサリサusarisa,メンバー（1 か月）,な…
-1:34,ぷらむ,メンバー（9 か月）,な…
-1:33,pretzel,メンバー（1 か月）,な…
-1:33,白藤[しらふじ],メンバー（11 か月）,な…
-1:30,ごまるすり,非メンバー,な…
-1:29,くろっく96,メンバー（11 か月）,な…
-1:25,のりたる,メンバー（8 か月）,な...
-1:25,さよ,新規メンバー,な…
-1:24,もも,メンバー（6 か月）,な…
-1:22,ロンド,メンバー（6 か月）,な…
-1:20,浮舟,メンバー（6 か月）,な…
-1:20,菊の字,非メンバー,な…
-1:20,ナ ナ セ,メンバー（1 か月）,な…
-1:20,黒桐島,メンバー（7 か月）,な……
-1:17,くろぶち,メンバー（6 か月）,な…
-1:16,田中太郎,非メンバー,な…
-1:14,マサリホ,非メンバー,な…
-1:14,1理,メンバー（11 か月）,な…
-1:12,がなるるる,メンバー（7 か月）,な...
-1:10,のりつ,非メンバー,な……
-1:10,Лиса【リサ】,メンバー（10 か月）,な...
-1:08,蹄,メンバー（7 か月）,な…
-1:07,とさか,非メンバー,な...
-1:07,喜多方ラーメン,非メンバー,な…
-1:06,シヲノ,メンバー（7 か月）,na
-1:05,とんかち,非メンバー,な…
-1:02,豆だいふく。,メンバー（6 か月）,な……
-1:02,kyan,メンバー（11 か月）,な…
-0:57,ガオ,メンバー（3 か月）,な…
-0:56,シヲノ,メンバー（6 か月）,な…
-0:56,ゆき,メンバー（2 か月）,な…
-0:54,ゆす・,メンバー（2 か月）,な…
-0:50,じつ,メンバー（11 か月）,な…
-0:49,麻友緒,メンバー（11 か月）,な…
-0:48,ししーし・のあ,メンバー（1 か月）,な…
-0:47,プールダイバーほしもり,メンバー（11 か月）,な…
-0:46,如月蜻蛉,メンバー（1 か月）,な...
-0:43,/ ERI,メンバー（7 か月）,な…
-0:35,kero long,非メンバー,な....
-0:32,のあ,メンバー（11 か月）,な...
-0:29,源ゆゆ,非メンバー,な…
-0:29,らすと,メンバー（7 か月）,な...
-0:28,眠さんーみんさんー,メンバー（10 か月）,な…
-0:24,おさる,非メンバー,な……
-0:24,羊ことり,非メンバー,な…
-0:20,NoLCE,非メンバー,な…
-0:15,とおりあめ,非メンバー,な…
-0:13,ナナ,メンバー（7 か月）,な…
-0:03,お塩,非メンバー,な…
0:10,ビにゃーキー,非メンバー,な…
0:12,ナ ナ セ,メンバー（1 か月）,きちゃ！
0:13,ハッピーヒューマン,メンバー（7 か月）,な……
0:13,m o,非メンバー,きちゃ
0:15,あなざー,非メンバー,きちゃ！
0:15,ほうどうたすき,メンバー（11 か月）,きちゃ
0:16,橙色,非メンバー,な……
0:17,soo,メンバー（7 か月）,きちゃ
0:19,ぽっぺん,メンバー（11 か月）,きちゃ！
0:20,あきひなみかん,メンバー（7 か月）,きちゃ
0:20,源ゆゆ,非メンバー,きちゃ！
0:20,麻友緒,メンバー（11 か月）,きちゃ
0:20,璟,メンバー（7 か月）,きちゃ
0:21,ぷらむ,メンバー（9 か月）,きちゃ
0:21,ハッピーヒューマン,メンバー（7 か月）,きちゃ！
0:21,しめじめし,メンバー（11 か月）,きちゃ！
0:21,竹中,メンバー（8 か月）,きちゃ
0:22,レイン,新規メンバー,きちゃ！
0:22,人の金で焼肉,メンバー（11 か月）,きちゃ！
0:23,ナツキ,メンバー（6 か月）,きちゃ
0:23,あかる,非メンバー,な…
0:23,ゆ ふ の,メンバー（11 か月）,きちゃ
0:24,お塩,非メンバー,きちゃ
0:24,アルトヴァイス,メンバー（6 か月）,きちゃ！
0:24,ちゃんひとォ,メンバー（1 か月）,きちゃ！
0:24,チッチ。,非メンバー,きちゃ！
0:25,Лиса【リサ】,メンバー（10 か月）,きちゃ！
0:25,喜多方ラーメン,非メンバー,きちゃ！
0:25,くるくるり,メンバー（6 か月）,きちゃ
0:26,浮舟,メンバー（6 か月）,きちゃ！
0:26,*なつ*,メンバー（1 か月）,きちゃ
0:26,あこ,非メンバー,きちゃ！
0:27,とんかち,非メンバー,きちゃ！
0:27,みちる,メンバー（1 か月）,な…
0:29,如月蜻蛉,メンバー（1 か月）,きちゃ！
0:29,トリアス,メンバー（6 か月）,きちゃ！
0:29,郁.,メンバー（7 か月）,きちゃ！
0:29,おさる,非メンバー,きちゃっ
0:30,らすと,メンバー（7 か月）,ききゃ
0:31,大野絮阳,非メンバー,きちゃ！
0:31,のあ,メンバー（11 か月）,きちゃ！
0:31,とさか,非メンバー,きちゃ
0:31,ガオ,メンバー（3 か月）,きちゃ
0:32,翠翡,非メンバー,きちゃ！
0:34,もも,メンバー（6 か月）,きちゃ！
0:37,おとぅーふ。,メンバー（2 か月）,きちゃ
0:37,さよ,新規メンバー,きちゃ！
0:37,ごまるすり,非メンバー,きちゃ！！！
0:38,歌沫-,非メンバー,きちゃ
0:39,ロンド,メンバー（6 か月）,きちゃ！
0:40,1理,メンバー（11 か月）,きちゃ！！！
0:43,水面 [みなも],非メンバー,きちゃ
0:47,冨田孝寛「とみだたかひろ」,非メンバー,きちゃ！
0:57,スミタニ,非メンバー,きちゃ！！
0:59,くろぶち,メンバー（10 か月）,きちゃ！
1:01,ぷらむ,メンバー（9 か月）,ついえら
1:01,眠さんーみんさんー,メンバー（10 か月）,きちゃ！！！！
1:01,プールダイバーほしもり,メンバー（11 か月）,ついえら
1:01,とさか,非メンバー,ついえら
1:02,ガオ,メンバー（3 か月）,ついえら
1:02,しめじめし,メンバー（11 か月）,ついえら
1:02,郁.,メンバー（6 か月）,ついえら！
1:03,かこ,非メンバー,きちゃ
1:03,ぽっぺん,メンバー（11 か月）,ついえら！
1:03,あきひなみかん,メンバー（7 か月）,ついえら
1:04,こっと,メンバー（7 か月）,ついえら
1:04,ナツキ,メンバー（6 か月）,ついえら
1:04,soo,メンバー（7 か月）,ついえら
1:04,m o,非メンバー,ついえら！
1:05,璟,メンバー（7 か月）,ついえら
1:05,ナナ,メンバー（7 か月）,ついえら
1:07,眠さんーみんさんー,メンバー（6 か月）,ついえら
1:07,にくそぼろ,非メンバー,きちゃ！ついえら
1:07,人の金で焼肉,メンバー（11 か月）,ついえら
1:08,ぬやろ,メンバー（9 か月）,きちゃ！
1:08,ナ ナ セ,メンバー（1 か月）,ついえら
1:08,蛟,メンバー（11 か月）,きちゃ
1:10,お塩,非メンバー,ついえら
1:11,ぬやろ,メンバー（9 か月）,ついえら
1:12,susano,メンバー（6 か月）,ついえら！
1:13,ハッピーヒューマン,メンバー（7 か月）,ついえら
1:13,レイン,新規メンバー,ついえら
1:15,citta japan,非メンバー,ついえら
1:16,優衣さん*,非メンバー,ついえら
1:16,あこ,非メンバー,ついえら
1:17,橙色,非メンバー,ついえら
1:18,スミタニ,非メンバー,ついえら！
1:18,麻友緒,メンバー（11 か月）,ついえら！
1:19,ぬーと,メンバー（3 か月）,ついえら
1:20,とんかち,非メンバー,ついえら
1:20,如月蜻蛉,メンバー（1 か月）,ついえら
1:22,もかっぷ,メンバー（11 か月）,ついえら！
1:23,ごまるすり,非メンバー,ついえら
1:24,もも,メンバー（6 か月）,ついえら！
1:31,らすと,メンバー（7 か月）,ついえら
1:35,まなや,メンバー（11 か月）,な、なんだってー！？
