video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
QVJ3dS8zlP8,【#マリカにじさんじ杯】本戦！！！【シェリン/にじさんじ】,2020-12-26,12282,3h 24m 42s,4111,979,0.334717472724312,795,23,9,33,119,0,0
Pq4v7PDWRD8,【マリオカート8DX】魔境に向け最終練習！【シェリン/にじさんじ】,2020-12-26,42195,11h 43m 15s,8187,1384,0.1940277284038393,1208,17,14,40,105,0,0
hVO3T3aUuAo,【マリオカート8DX】ガチ練習で魔境を生き抜く【シェリン/にじさんじ】,2020-12-24,28701,7h 58m 21s,5528,948,0.19260652938921988,795,15,10,32,96,0,0
y33HphX_ToM,【マリオカート8DX】サンプラザ中野くん参加型 全員達成でRunnerチャンス【シェリン/にじさんじ】,2020-12-22,9154,2h 32m 34s,2807,571,0.3066419051780642,457,7,8,28,71,0,0
MOmBKvKY8RM,【#マリカにじさんじ杯】予選G！！！【シェリン/にじさんじ】,2020-12-19,3434,0h 57m 14s,2669,711,0.7772277227722773,529,15,16,23,128,0,0
8kvJY3MrVAg,【マリオカート8】視聴者参加で勝ち続ける男【シェリン/にじさんじ】,2020-12-18,6896,1h 54m 56s,2609,392,0.3783352668213457,263,15,6,17,91,0,0
bIYcPJdLoMc,【マリオカート8】視聴者参加型で遊ぶ！！！！【シェリン/にじさんじ】,2020-12-15,6937,1h 55m 37s,4922,682,0.7095286146749316,521,15,13,15,118,0,0
c_r_V-nJTWw,【Portal2 コラボ】#探偵と助手 で協力謎解き！！！【三枝明那/シェリン/にじさんじ】,2020-12-12,13519,3h 45m 19s,6156,743,0.4553591241955766,603,15,12,14,99,0,0
qdG-LQkcusw,【雑談】3D初公開、歌謡曲、パチンコ看板など振り返り雑談！！！！【シェリン/にじさんじ】,2020-12-09,6636,1h 50m 36s,10397,843,1.5667570825798673,570,24,20,22,207,0,0
0WollzCYMzk,【マイクラ】#マイクラ腕試し_にじさんじ杯 シェリン視点  | Minecraft【シェリン/にじさんじ】,2020-12-05,15658,4h 20m 58s,11780,791,0.7523310767658705,612,15,14,11,139,0,0
HXLVq2nA12w,【マイクラ】できたパチンコ看板のパを消す！！！ | Minecraft Building【シェリン/にじさんじ】,2020-12-03,14856,4h 7m 36s,9599,1619,0.6461362412493269,1463,19,12,16,109,0,0
