timestamp,author_name,membership,text
-1:23,たぬジョー。,メンバー（1 年 6 か月）,待機:_りきいちにんげん:
-1:22,kazu,メンバー（1 か月）,待機:_りきいちにんげん:
-1:20,nununu takurada,メンバー（8 か月）,待機人間
-1:20,てっぺんかけ鷹,メンバー（6 か月）,待機:_りきいちにんげん:
-1:20,はるなつ,メンバー（1 か月）,待機:_りきいちにんげん:
-1:17,永遠女児,非メンバー,待機
-1:16,ヒトマ,メンバー（1 年 6 か月）,待機:_りきいちにんげん::_りきいちめんたいこ::_りきいちりきハム:
-1:15,たな,メンバー（1 年 6 か月）,🍲:_りきいちりきハムびっくり:
-1:14,国外追放だったトム,新規メンバー,待機:_りきいちにんげん:
-1:12,とあるトマト,非メンバー,待機
-1:06,釣鐘,非メンバー,待機
-1:03,日向夏,非メンバー,待機
-1:02,でじる,新規メンバー,待機:_りきいちにんげん:
-1:01,scorch,メンバー（5 か月）,待機:_りきいちにんげん:
-0:59,Nico s,メンバー（1 年 4 か月）,久々あつもり嬉しい
-0:57,もつもつ,メンバー（5 か月）,待機:_りきいちにんげん:
-0:56,二枚貝,メンバー（5 か月）,待機:_りきいちにんげん:
-0:55,だっちょ,メンバー（4 か月）,待機:_りきいちにんげん:
-0:55,ホゥ,非メンバー,待機人間
-0:55,ぷに,新規メンバー,待機:_りきいちにんげん:
-0:55,サバ茶漬け,メンバー（7 か月）,待機:_りきいちにんげん:
-0:53,のにし.,メンバー（11 か月）,🦃
-0:52,ラッキーストライク,非メンバー,待機
-0:50,音沙汰アルノ,メンバー（1 か月）,:_りきいち果たしての果た::_りきいち果たしてのして:
-0:46,井伊直弼,新規メンバー,待機:_りきいちにんげん:
-0:44,だいふく,メンバー（5 か月）,待機:_りきいちにんげん:
-0:43,年がら年中,メンバー（2 か月）,:_りきいち果たしての果た::_りきいち果たしてのして:
-0:41,マフ狼,非メンバー,待機
-0:39,をちゃさぼらん,メンバー（1 か月）,待機:_りきいちにんげん:
-0:37,だらこ,メンバー（1 年 5 か月）,待機:_りきいちにんげん:
-0:37,Yuko _,メンバー（1 年 6 か月）,:_りきいち果たしての果た::_りきいち果たしてのして:
-0:36,華氏80度,非メンバー,待機人間
-0:29,音速のノニ,メンバー（10 か月）,HDMIケーブル見つかってよかった
-0:28,キャビアのキャビア漬け,新規メンバー,待機:_りきいちにんげん:
-0:27,nununu takurada,メンバー（8 か月）,🎈🎈🎈🎈🎈
-0:27,びんて,メンバー（10 か月）,待機:_りきいちにんげん:
-0:25,西森,メンバー（1 年 6 か月）,:_りきいち果たしての果た::_りきいち果たしてのして:
-0:25,アグリッパ新芽,非メンバー,待機
-0:25,まろ茶,メンバー（3 か月）,🎈:_りきいちりきハムびっくり:
-0:23,むむ,メンバー（3 か月）,待機:_りきいちにんげん:
-0:21,だんはこ,メンバー（1 か月）,待機:_りきいちにんげん:
-0:17,マトゥイディʕ•ᴥ•ʔ,非メンバー,ワーーッ
-0:15,れんげ,メンバー（10 か月）,待機:_りきいちにんげん:
-0:13,サザナミリョー,メンバー（8 か月）,待機:_りきいちにんげん:
-0:10,ひよ。,非メンバー,ほのぼのしに来た
-0:05,ちゃんゆきみ,非メンバー,待機
-0:01,127ひろの,メンバー（2 か月）,:_りきいちネクタイ::_りきいちネクタイ:
0:06,ひさな,メンバー（1 年 1 か月）,間に合った！
0:07,ザザンボ,メンバー（3 か月）,:_りきいちかーＰ::_りきいちたいかい:
0:10,Flanve F,非メンバー,キター
0:15,だっちょ,メンバー（4 か月）,きちゃ！
0:16,scorch,メンバー（5 か月）,きちゃーーー
0:16,ヒロンパ,非メンバー,きちゃーー
0:17,常盤紫音,メンバー（9 か月）,きちゃ
0:17,あちちダンボール,新規メンバー,待機:_りきいちにんげん:
0:17,ゆり。,メンバー（5 か月）,きちゃ！
0:17,のにし.,メンバー（11 か月）,けちゃ！
0:17,笑顔が絶えないのが自慢です。,メンバー（5 か月）,きちゃ！
0:18,寿莉,メンバー（4 か月）,きちゃー！
0:19,釣鐘,非メンバー,きちゃ！
0:19,たにさか,メンバー（1 か月）,振り返りが楽しみ笑
0:20,ミミメ,メンバー（5 か月）,きちゃ！
0:21,Catcat,非メンバー,きちゃ
0:22,ヒンヌー教_ぱこてつ,メンバー（1 年 6 か月）,きちゃ！
0:22,華氏80度,非メンバー,きちゃ〜
0:23,ありすがわありす,メンバー（4 か月）,きちゃ！
0:23,Alva 869,メンバー（1 年 6 か月）,きちゃ～！
0:23,えもじ,非メンバー,きちゃ
0:23,さんと,非メンバー,きちゃーー
0:23,ボン,メンバー（5 か月）,きちゃ
0:23,チーヌ,メンバー（4 か月）,きちゃ！
0:23,ぷらちな.,メンバー（3 か月）,きちゃ
0:23,ミルクッキー,新規メンバー,きちゃ！
0:24,稲近,非メンバー,きちゃー
0:25,でじる,新規メンバー,きちゃ！
0:25,なぎつね,非メンバー,きちゃ
