timestamp,author_name,membership,text
-3:33,魔王の手首,非メンバー,地獄を耐久させる配信じゃなくて耐久する配信取るの珍しいね
-3:04,あるばれす,非メンバー,力ちゃんの耐久来るの初めてだわ
-2:51,Y N,非メンバー,RTA in JAPAN草
-2:49,wisdom,非メンバー,新年まで残り四日と4時間 ってことは104時間配信だな！
-2:39,さくら,メンバー（2 か月）,たのしみ:_りきいちりきハム:
-2:36,四時間ひるね,非メンバー,12月があと20日くらい続くのかな
-2:34,leon helenu,非メンバー,永遠の2020年がここにあると聞いて
-2:16,美帆-miho-,非メンバー,もうすぐやあ〜楽しみ
-2:12,ニャルキさん,非メンバー,たのしみ待機
-2:12,やしろんさん,メンバー（2 か月）,まにあった
-2:12,丼みかん,非メンバー,レアな耐久枠で年末感わいてきた
-2:09,kamui arc,非メンバー,りきちゃんもswitchをホットプレートで加熱するの？
-2:09,和太鼓ぼん,非メンバー,力ちゃんってマリオうまいの？
-1:58,大大,非メンバー,ここがCRカップですか？
-1:56,井伊直弼,メンバー（1 か月）,楽しみ
-1:25,たろう,非メンバー,始まったら実は後１枚とかなってたら笑う
-1:14,サエ,非メンバー,楽しみだけど不安が……もう頑張れとしか言えない……
-1:12,Alva 869,メンバー（1 年）,がんばって～！
-1:09,kerokero,非メンバー,どこまで溜まってるの？
-1:07,たけのこ,非メンバー,間に合った！待機
-1:00,まろ茶,メンバー（2 か月）,RTA in Japanは草
-0:58,ヒロンパ,非メンバー,年またぎ企画ですか？
-0:48,シジマ,メンバー（6 か月）,がんばれりきちゃん
-0:42,ボン,メンバー（2 か月）,70枚はたまってるはず
-0:37,メザメザシ,メンバー（2 か月）,コメ欄大量に連れて行かれそう
-0:33,まろ茶,メンバー（2 か月）,ついえら
-0:32,でじる,メンバー（1 か月）,ついえら
-0:28,ぷらちな.,メンバー（2 か月）,ついえら
-0:27,常盤紫音,メンバー（6 か月）,ついえら
-0:26,とあるトマト,非メンバー,ついえら
-0:24,和泉海乃,メンバー（2 か月）,ついえら
-0:24,やしろんさん,メンバー（2 か月）,ついえら
-0:22,アカボシ,メンバー（2 か月）,ついえら〜
-0:21,メザメザシ,メンバー（2 か月）,逆RTAinJapanは草
-0:20,鈴カステラ なっとまき味,メンバー（1 年）,ついえら
-0:20,ガスクロ,非メンバー,ついえら
-0:17,電池式,メンバー（1 年）,りきちゃんがんばって！
-0:16,実里,メンバー（1 年）,ついえら
-0:14,ぷらちな.,メンバー（2 か月）,逆RTA in Japan
-0:13,四時間ひるね,非メンバー,俺たちに新年を与えてくれ
-0:12,ミルクッキー,メンバー（1 か月）,ついえら
-0:11,ありすがわありす,メンバー（2 か月）,ついえら
-0:11,だっちょ,メンバー（2 か月）,ついえら
-0:10,karanegi,非メンバー,逆RTA草
-0:10,アグリッパ新芽,新規メンバー,ついえら
-0:06,鈴カステラ なっとまき味,メンバー（1 年）,りきちゃんがんばれ！！！
