timestamp,author_name,membership,text
-3:06,クロ,非メンバー,サムネがCDのジャケットなんよ
-3:04,糖尿ペタジーニ,メンバー（2 か月）,夢芝居待機
-3:03,帷信也,非メンバー,椅子枠という言葉じたい謎すぎるけど年末恒例の配信
-3:02,い,非メンバー,初椅子
-2:55,ちゃんみお,メンバー（1 年）,:_りきいちにんげん:椅子
-2:52,豆ビス*,メンバー（1 年）,三度目の椅子
-2:52,シオ,新規メンバー,いつかのメリークリスマス懐かしい
-2:46,安心院浬,メンバー（2 か月）,初椅子
-2:40,ソンナン,メンバー（1 年）,真:_りきいちにんげん:
-2:34,朝うがいちゃん,非メンバー,眠れなかったから助かった
-2:30,そ めこ ん,メンバー（1 か月）,椅子:_りきいちにんげん:
-2:26,Y K,メンバー（6 か月）,初椅子楽しみ
-2:05,そ めこ ん,メンバー（1 か月）,:_りきいちにんげん::_りきいちたいかい:
-1:53,山下マンハイム,メンバー（2 か月）,初椅子
-1:46,寿莉,メンバー（2 か月）,椅子:_りきいちたいかい:
-1:42,ちくわ猫,メンバー（2 か月）,初椅子！いや初椅子ってなんだ…？
-1:39,あしか,メンバー（6 か月）,二回目椅子…
-1:36,イチガツ,メンバー（2 か月）,椅子:_りきいちにんげん:
-1:35,NGW,メンバー（1 年）,椅子納め
-1:34,頭領,メンバー（2 か月）,画像的にまだ電車乗ってないぞこれ
-1:32,鬼ヶ島羅刹,メンバー（1 年）,3回目の椅子〜！:_りきいちよいしょ::_りきいちのばしぼう:
-1:26,ぺぺぺやん,メンバー（2 か月）,楽しみだな～
-1:24,年がら年中,メンバー（2 か月）,椅子:_りきいちたいかい::_りきいち果たしての果た::_りきいち果たしてのして:
-1:20,宇宙外生命体,メンバー（2 か月）,リアタイは初椅子
-1:19,ちゃんみお,メンバー（1 年）,電車降りた後かも
-1:14,常盤紫音,メンバー（6 か月）,待機:_りきいちにんげん:椅子:_りきいちたいかい:
-1:14,あごひげ20cm,メンバー（1 年）,椅子納めは草
-1:07,アカボシ,メンバー（2 か月）,終電乗り遅れた説
-1:03,clione,メンバー（6 か月）,リアタイ2回目の椅子
-0:56,ここ あそこ,メンバー（2 か月）,椅子待機:_りきいちよいしょ:
-0:56,寿莉,メンバー（2 か月）,納品かな？
-0:46,あさりさかむし,メンバー（1 年）,椅子待機
-0:38,ようみね,非メンバー,電車は降りたあとで線路沿いを歩いてる
-0:38,天野セラ,メンバー（1 か月）,椅子待機
