timestamp,author_name,membership,text
-3:08,びちょびちょ,新規メンバー,出遅れた！と思ったけど始まってなかった
-2:57,鏡音杏,メンバー（5 か月）,待機:_りきいちにんげん:
-2:40,ややじゃり,メンバー（7 か月）,全ﾈ:_りきいち果たしての果た:いき:_りきいちにんげん:
-2:40,Holy【ホーリー】,メンバー（7 か月）,コーヒー入れに行く時間はまだあるか:_りきいち果たしての果た::_りきいち果たしてのして:
-2:36,127ひろの,メンバー（2 か月）,:_りきいちめんたいこ:
-2:33,柳田ぴぴ子,メンバー（1 か月）,待機:_りきいちにんげん:
-2:17,歯車元気印,メンバー（2 か月）,待機:_りきいちにんげん::_りきいちたいかい::_りきいちのばしぼう:
-2:01,国外追放だったトム,メンバー（1 か月）,待機:_りきいちにんげん::_りきいちたいかい:
-1:59,はら磁石,メンバー（1 年 5 か月）,ソッコーで風呂ってきた
-1:56,ボン,メンバー（5 か月）,:_りきいちなっとまき::_りきいちりきハムはてな:
-1:41,シジマ,メンバー（10 か月）,:_りきいちかーb:杯待機
-1:37,ブレイズ,非メンバー,風呂ギリギリ間に合った
-1:33,Taso,メンバー（3 か月）,:_りきいち果たしての果た::_りきいち果たしてのして:
-1:11,127ひろの,メンバー（2 か月）,:buffering:
-1:11,れんげ,メンバー（10 か月）,待機:_りきいちにんげん:
-0:58,べゑ太,非メンバー,あれ？
-0:55,だらこ,メンバー（1 年 6 か月）,湯冷めしないようにあったかくしてくださいね
-0:34,びちょびちょ,新規メンバー,まつ間に酒入れちゃおっかな〜
-0:30,灰色こたつ,非メンバー,待機
-0:26,なね,メンバー（2 か月）,わーいファームだ！
-0:24,シジマ,メンバー（10 か月）,風呂上がりの人ら、ぬくぬくお布団入りながら見てね
-0:21,なね,メンバー（2 か月）,待機〜
-0:19,127ひろの,メンバー（2 か月）,あ、風邪薬飲むの思い出した
-0:09,寿莉,メンバー（4 か月）,風呂まだなの思い出した
-0:08,H S,非メンバー,ついえら
-0:08,ボン,メンバー（5 か月）,ついえら
-0:04,たにさか,メンバー（1 か月）,ついえら
-0:04,クエン酸,メンバー（5 か月）,ついえら
-0:02,希樹,メンバー（7 か月）,ついえら
-0:01,Y K,メンバー（9 か月）,ついえら
-0:01,はるかわさち,メンバー（1 か月）,ついえら
-0:01,ぷらちな.,メンバー（3 か月）,ついえら
-0:00,みあれ,非メンバー,ついえら
-0:00,的湯,非メンバー,ついえら
-0:00,まろ茶,メンバー（3 か月）,ついえら
-0:00,シジマ,メンバー（10 か月）,ついえら
0:00,はら磁石,メンバー（1 年 5 か月）,ついえら
0:02,墨山望,メンバー（1 か月）,ついえら
0:02,オミソトキュリー,非メンバー,ついえら
0:03,ちゆ,メンバー（3 か月）,ついえら
0:04,だしまき,メンバー（1 年 6 か月）,ついえ
0:04,Catcat,新規メンバー,ついえら
0:05,寿莉,メンバー（4 か月）,ついえら～
0:05,古井戸,メンバー（7 か月）,ついえら
0:05,ちゃんみお,メンバー（1 年 2 か月）,どいつだ〜
0:06,りいのみく,非メンバー,ついえら
0:07,にこにこのタンポポ,メンバー（2 か月）,ついえら:_りきいちにんげん:
0:07,こゆび,メンバー（2 か月）,ついえら
0:07,下睫毛,メンバー（2 か月）,ついえら
0:07,はるなつ,メンバー（1 か月）,ついえら
0:08,ゆきち,メンバー（3 か月）,ついえら
0:08,田中oo,非メンバー,ついえら！
0:09,kyan,メンバー（1 年 6 か月）,きちゃ
0:10,白瀬,非メンバー,ついえら!
0:11,すきや,メンバー（5 か月）,きちゃ
0:12,Flanve F,非メンバー,キター
0:12,名無,新規メンバー,ついえら
0:13,ぽいふる,メンバー（2 か月）,きちゃ！
0:14,にいだ,メンバー（10 か月）,きちゃ！
0:15,佐倉,新規メンバー,ついえら
0:15,花咲リリィ,メンバー（1 年 5 か月）,きた！
0:15,もつもつ,メンバー（6 か月）,きちゃ！
0:15,すい,メンバー（3 か月）,ついえら
0:16,柳田ぴぴ子,メンバー（1 か月）,ついえら
0:18,アオキヒカリ,非メンバー,ついえら
0:18,Alva 869,メンバー（1 年 6 か月）,きちゃ
0:18,ふぢゐ,メンバー（2 か月）,きちゃ！
0:18,らい,非メンバー,ついえら
0:19,いな。ほ,メンバー（4 か月）,ついえら
0:19,NGW,メンバー（1 年 6 か月）,ついえら どいつだ！
0:19,ちゆ,メンバー（3 か月）,きちゃ
0:19,めめ,メンバー（11 か月）,きちゃ:_りきいちりきハムびっくり:
0:19,なね,メンバー（2 か月）,きちゃ
0:20,スケノ,メンバー（4 か月）,きちゃ！
0:21,ふぇりまぐ,メンバー（1 年 6 か月）,きちゃ
0:21,あさりさかむし,メンバー（1 年 3 か月）,きちゃ
0:21,クエン酸,メンバー（5 か月）,きちゃ
0:21,西森,メンバー（1 年 6 か月）,きちゃ
0:21,白瀬,非メンバー,きちゃ
0:21,バイオOL,メンバー（3 か月）,きちゃ
0:24,町田マチコ,メンバー（1 か月）,わー！
0:24,ただのゲーム好き,非メンバー,きちゃー
0:24,希樹,メンバー（7 か月）,きちゃ！
