timestamp,author_name,membership,text
-2:44,チャス,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-2:38,えびせんべい,メンバー（1 年）,井崎先生間違えて買った馬券で当てるミラクル起こしてなかったっけ
-2:38,イワナオ,メンバー（6 か月）,去年のアーモンドアイのこともあるからクロノはわからん
-2:34,朝の向日葵,非メンバー,待機シャトル好きw
-2:31,しじみ,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-2:29,ちばまうす,メンバー（1 年）,昌も競馬大好きおじさん（本業はラジコンとクワガタ
-2:23,アナライザー,非メンバー,昌さんラジコンだけじゃなかったのね…
-2:21,ななしさん,非メンバー,山本昌は競馬好きで結構フジの番組ゲストに呼ばれてる
-2:18,もののおのの,メンバー（6 か月）,馬詳しい人集まりすぎでは
-2:09,下間刑部卿法眼頼廉[シモちゃん],メンバー（1 か月）,山本昌競馬好きなんか。ラジコンだけじゃなく。
-1:56,なえぎの翼,非メンバー,みんなフジの方見てるのかな
-1:56,Dr. Fager,メンバー（6 か月）,昌さんは趣味人よね
-1:50,安納いも,非メンバー,割れてるねえ 予想も
-1:50,アグネスdigital,メンバー（1 年）,昌がキセキ入れてるなあ
-1:49,ななしさん,非メンバー,ラジコンは本業 競馬は趣味
-1:46,Einzbern,非メンバー,去年のアーモンドアイは冷静に考えると中山2500はないわと後になって思った
-1:46,うちや,メンバー（1 年）,まーた山本昌の本業（副業）が増えてしまうのか
-1:45,イワナオ,メンバー（6 か月）,昌さんも一口馬主のはず
-1:44,pityuriピチュリー,非メンバー,大魔神のエリ女はやばかった
-1:43,N A,非メンバー,久々に来れた〜
-1:43,神薙,非メンバー,牝馬は中山経験無しで来ることが多くなるからな、ただジェンティルドンナが5歳の引退レースで中山初出走の有馬勝ってる、かな？
-1:42,ナコト,非メンバー,お馬はあんまり有識者になれないおじさん
-1:42,ヤルク,メンバー（1 年）,海外マンだけどNHK+のネット配信あるのたすかる
-1:35,ループアンテナ,非メンバー,そりゃ割れる
-1:20,もののおのの,メンバー（6 か月）,:_kekkon::_bikkuri:
-1:18,nobu na,非メンバー,フィエールマンの腫れ大丈夫かいな？
-1:10,キカイノカラダ,メンバー（6 か月）,13-12か井崎先生
-1:08,Dr. Fager,メンバー（6 か月）,クロノは活気あるけどちょっと太いか
-1:08,無念,メンバー（6 か月）,意外と中山未経験でも走れるお馬さん多いのね
-1:07,安納いも,非メンバー,注目されてない時のキセキは怖いからなあ
-1:05,中村ゆかり,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:05,下間刑部卿法眼頼廉[シモちゃん],メンバー（1 か月）,確かに海外だと視聴大変そう
-1:03,ShootTheFox,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-1:00,口クサス,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:00,えびせんべい,メンバー（1 年）,NHK＋やってるのか！情報ありがとうございます
-0:56,nanao,非メンバー,待機フォーチュン
-0:56,デミ300,メンバー（1 年）,:_taiki:
-0:49,紅葉,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-0:47,toproad,メンバー（2 か月）,:_kyaxtu::_kyaxtu:
-0:36,小梅,非メンバー,カレンブーケええやん
-0:32,キカイノカラダ,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:32,遊佐ゴロー,メンバー（1 か月）,:_taiki::_kyaxtu::_kyaxtu:
