timestamp,author_name,membership,text
-1:12,solomid team,非メンバー,言う程エラー落ちに遭遇しないんだよなぁ
-1:10,油脂,メンバー（1 年）,RTX3070でFHDでもレイトレウルトラじゃあキツい
-1:10,なぎのこ,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-1:10,Ryo Tsushima,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-1:08,たちばなりん,メンバー（8 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:07,MuTtoN04,非メンバー,腕部改造は４種類もあるぞランナー
-1:07,おにがわら,非メンバー,レイトレウルトラでサクサク動くPC買おうとしたら今だといくらするんだろう
-1:04,シータ,メンバー（1 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:02,kagero_210,非メンバー,アプデでギガドリルアーム寄越せ
-1:00,狙撃のゴス,非メンバー,待機
-0:58,蟻,メンバー（1 年）,腕から鎌は出せるよ
-0:54,ナーマニック,メンバー（1 年）,PS4はエラー落ち対策の頻繁なオートセーブで落ちるらしい
-0:52,アバンギャルド田中,メンバー（5 か月）,カマキリみたいにグバァってのはあるけどねぇ･･･
-0:52,リニューアルみょん,メンバー（1 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:49,いつもねむい,非メンバー,やってみたいからPCそろそろ買い換えるか…
-0:48,株式会社どっと混ム,メンバー（8 か月）,ドリルは無いが仕込みカタナみたいなマンティスアームならあるね
-0:47,雪黒有希-ユキグロユキ-,メンバー（5 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:45,CasperXR,非メンバー,刺突針っぽいのなかったっけ…どっかのリパドクで見た気がしないでもない
-0:40,ミツギソラユキ,非メンバー,腕にランチャーも仕込めるぞ！
-0:39,kagero_210,非メンバー,マンティスかっこいい...かっこよくない？
-0:39,ユ,非メンバー,ていうかレイトレはCPUが足引っ張り出す
-0:39,ちくわと消しゴム,非メンバー,腕から武器出せるとかロマンかな
-0:39,名も無い誰か,非メンバー,武器腕はワクワクするのう。ありがたや
-0:36,tubeうどん,非メンバー,もちゅこい！
-0:35,せやかて工藤,メンバー（1 年）,ps4そんなに安定してないのか…大変だなぁ…
-0:35,りべるん,メンバー（10 か月）,1060でもそこそこいけそうで嬉しい
-0:34,ぼくすい,メンバー（1 年）,間に合った～
-0:33,HL,非メンバー,おぬーーーい！
-0:32,ジャンゴ12,メンバー（4 か月）,ウルトラにしなければいけそうかな有識者THX
-0:32,蒲鉾崎雑魚天,非メンバー,俺もエラー落ちは無いなぁ序盤のカーチェイスで敵出てこなかったけど
-0:31,狙撃のゴス,非メンバー,腕を命を刈り取る形にできるんですか！？
-0:30,油脂,メンバー（1 年）,ちゃんとおニュイGeForce Experienceで最新のドライバにしてるのかな、更新したらある程度フレームレート上がったぞ
-0:29,inayama,新規メンバー,:_taiki::_kyaxtu::_kyaxtu:
-0:29,狐火,メンバー（1 年）,マンティスいいよねぇ
-0:26,うゆとピア,非メンバー,はっしーりだしたー
-0:25,Samesin,非メンバー,腕にランチャー仕込めたけどこれは技術ステがいるのか？
-0:23,ウマサル,メンバー（1 年）,ギガドリル所望ニキはスパロボやってもろて
-0:20,MuTtoN04,非メンバー,男は黙ってゴリラアーム
-0:19,魔界探偵,メンバー（1 年）,鎌いいな、ブルーシードの草薙さんじゃん
-0:15,N Y,メンバー（1 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:14,You,非メンバー,鎌とミサイルと鞭とゴリラなら出せる
-0:14,じよのじ,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-0:11,蟻,メンバー（1 年）,腕にロケットランチャーつけちまったぜ
-0:09,ソリンソンソソ,非メンバー,最適化がはやいからいいよねえ
-0:08,ぽぽp,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-0:03,ぼくすい,メンバー（1 年）,足を履帯にはできないんですか？！
-0:03,油脂,メンバー（1 年）,おニュイ間違いなくGeForceのドライバ更新してないよね
-0:02,人体錬成失敗作141号,非メンバー,こんぬいー
-0:01,ちくわと消しゴム,非メンバー,ロケットパンチできるじゃん
-0:00,ドククラゲ,非メンバー,ゴリラを出すな
0:04,kagero_210,非メンバー,俺のps4は1時間半に1回くらい落ちるし走れなくなったり5秒くらい固まったりするぞ
0:06,Mosuke,非メンバー,腕にロケット・・・大剣あればガッツができるな？
0:06,熱中症熱中症,メンバー（1 年）,ドムかな？
0:10,カミソリ後藤,非メンバー,30万くらい必要じゃね
0:10,52鯖民,メンバー（1 年）,ついえらー
0:12,nz428-えぬぜー-,メンバー（6 か月）,つい:_erai:
0:14,ランブターク,非メンバー,きちゃ
0:15,口クサス,メンバー（10 か月）,mo
0:17,名も無い誰か,非メンバー,ロボコップの手の甲からシュッと出る針が好きなんだ。本当は端末用だけど。
0:17,たぬきそば,非メンバー,きちゃ！
0:18,熱中症熱中症,メンバー（1 年）,mo
0:18,狐火,メンバー（1 年）,誰かワイヤーの奴つけた？どんな感じかききたい
0:18,tubeうどん,非メンバー,和のテイストが大分入ってて攻殻感がある
0:19,ヘテロク.M,メンバー（7 か月）,mo
0:19,kagero_210,非メンバー,きちゃ
0:19,しじみ,メンバー（1 年）,mo
0:20,みけさん,非メンバー,きちゃ
0:20,ユ,非メンバー,レイトレいれずに中設定FHDぐらいなら60あんていなんじゃない？
0:21,【くれあ】Clere,非メンバー,きちゃ
0:22,Dr. Fager,メンバー（6 か月）,ついえら
0:22,taiGa TOTO,非メンバー,き
0:23,みけさん,非メンバー,かわいい
0:23,ShootTheFox,メンバー（1 年）,mo
0:23,Naga,メンバー（9 か月）,ついえら
0:23,ちくわと消しゴム,非メンバー,きちゃー！
0:23,将来夢望,非メンバー,きちゃ
0:23,ハナマル,メンバー（1 年）,:_konn::_nui:
0:23,ヘテロク.M,メンバー（7 か月）,きちゃ！
0:23,nz428-えぬぜー-,メンバー（8 か月）,きちゃ
0:23,ソルニィ,非メンバー,mo
0:24,52鯖民,メンバー（1 年）,きちゃー
0:24,猫猫,非メンバー,きちゃ！
0:24,tethu1,非メンバー,きちゃ
0:24,Virtual Rabbit_Re,非メンバー,きちゃ！
0:24,恵蓮,非メンバー,もえら
0:24,Ryo Tsushima,メンバー（1 年）,きちゃ！
0:24,Naga,メンバー（9 か月）,きちゃ
0:25,ウマサル,メンバー（1 年）,kicha!
0:26,おにがわら,非メンバー,メジャーで会おうぜ！
0:28,タトクリ,メンバー（10 か月）,:_konn::_nui:mo
0:29,なはぱな,メンバー（1 年）,きちゃ
0:29,下間刑部卿法眼頼廉[シモちゃん],メンバー（1 か月）,きちゃ～！
0:29,4649影っち,非メンバー,きちゃ！
0:29,ロドリゲス,メンバー（6 か月）,も！
0:29,。ぱぴー,非メンバー,きたー
0:29,Asahi Suzunoki,メンバー（6 か月）,きちゃ
0:29,マスヲ,メンバー（6 か月）,きちゃ
0:29,ぶらんぼ神月,メンバー（1 年）,:_konn::_nui::_nui:
0:29,まよてー,メンバー（11 か月）,:_konn::_nui:
0:30,あつき,メンバー（8 か月）,きちゃ
0:30,ぬゅたこ,非メンバー,きちゃ
0:30,旅人のカンプさん,非メンバー,きちゃ
0:31,ShootTheFox,メンバー（1 年）,:_konn::_nui:
0:32,うゆとピア,非メンバー,も！（ノポン）
0:32,名も無い誰か,非メンバー,キタワネェ！
0:32,ももんが,メンバー（2 か月）,環境周りは放送中は難しいだろうし、マシュマロで送るといいんじゃないかな
0:32,ジャンゴ12,メンバー（4 か月）,きちゃ
0:33,kagero_210,非メンバー,ここのお手手わきわきすき
0:33,雪黒有希-ユキグロユキ-,メンバー（2 か月）,:_konn::_nui:
0:33,キカイノカラダ,メンバー（6 か月）,mo
0:33,ヤルク,メンバー（1 年）,きちゃぁ
0:33,shinnosuke,非メンバー,このOPすき
0:33,Corrupt Pixel,非メンバー,mo?
0:33,おっゆ,メンバー（2 か月）,:_konn::_nui:
0:34,小堀晴喜,非メンバー,PS4でやってるけど何時間にエラー落ちするなあ
0:34,リニューアルみょん,メンバー（1 か月）,きちゃ！
0:35,魔界探偵,メンバー（1 年）,mo
0:35,みけさん,非メンバー,今日もでかい
0:36,マスヲ,メンバー（6 か月）,かわいい
0:37,百合あっと,メンバー（1 年）,きちゃ！！
0:37,Dr. Fager,メンバー（6 か月）,:_konn::_nui:
0:38,Baron,非メンバー,楽しみにしてた
0:39,ぽぽp,メンバー（1 年）,買う気なかったのに買っちゃった・・・マンティスでプレデターごっこﾀﾉｼｲ・・・ﾀﾉｼｲ
0:40,toproad,メンバー（4 か月）,きちゃ
0:40,187 angelica,メンバー（8 か月）,きちゃ
0:40,小堀晴喜,非メンバー,きちゃ！
