timestamp,author_name,membership,text
-2:09,du da,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-2:08,N Y,メンバー（1 か月）,:_suki::_kyaxtu::_kyaxtu:
-2:02,のぞマリsho-ya,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-1:46,フクフクすぴりっと,メンバー（5 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:45,Asahi Suzunoki,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-1:39,魔界探偵,メンバー（1 年）,高所作業で鍛えられたシェリンとか強そう
-1:39,シガー,メンバー（1 年）,漢らしいサムネ
-1:26,えげつない行為,メンバー（10 か月）,さて
-1:21,トマトとまとまと,新規メンバー,:_taiki::_kyaxtu::_kyaxtu:
-1:20,雅ガニ,非メンバー,待機
-1:14,nz428-えぬぜー-,メンバー（7 か月）,:_kyaxtu::_kyaxtu:
-1:11,echo 800,メンバー（5 か月）,:_kyaxtu::_kyaxtu:
-1:10,crysta,非メンバー,建造物すごいから建築に影響されるといいかもね
-1:09,ワタリガラス,メンバー（8 か月）,:_taiki:
-1:06,熱中症熱中症,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-1:02,熱中症熱中症,メンバー（1 年）,もちょ
-0:59,52鯖民,メンバー（1 年）,ついえらー
-0:58,口クサス,メンバー（10 か月）,もちょ
-0:58,ソルニィ,非メンバー,もちょ
-0:56,魔界探偵,メンバー（1 年）,もちょ！
-0:54,ももんが,メンバー（1 か月）,:_kyaxtu::_kyaxtu::_kyaxtu:
-0:53,ウマサル,メンバー（1 年）,もちょ
-0:53,病照-ヤンデレ-,メンバー（10 か月）,もちょ
-0:53,ピュアアンジュ,メンバー（1 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:52,中村ゆかり,メンバー（9 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:52,ナルくん,非メンバー,もちょ
-0:51,ShootTheFox,メンバー（1 年）,もちょちょ
-0:50,下間刑部卿法眼頼廉[シモちゃん],メンバー（1 か月）,もちょ
-0:49,遊爺,メンバー（3 か月）,もちょ
-0:49,nz428-えぬぜー-,メンバー（7 か月）,つい:_erai:
-0:48,Dr. Fager,メンバー（6 か月）,もちょ
-0:46,はつけ,メンバー（1 年）,もちょ
-0:46,echo 800,メンバー（5 か月）,もちょ:_erai:
-0:46,M N,非メンバー,腕試しと肝試しはほんまに建築凄いから刺激されるといいねえ
-0:45,efrg fhsj,メンバー（10 か月）,もちょ
-0:45,あったかいおしぼり,メンバー（7 か月）,もちょ
-0:44,ラリィ,メンバー（9 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:38,ふぃる,非メンバー,タイキブリザード
-0:36,ジャンゴ12,メンバー（4 か月）,もちょ:_kyaxtu::_kyaxtu:
-0:32,壁,メンバー（7 か月）,マイクラのサムネもこれになったのかw
-0:26,やま,メンバー（1 年）,もっちょ
-0:25,brother,非メンバー,こんニュイー！
-0:21,み,メンバー（1 年）,:_kyaxtu::_kyaxtu:
-0:20,トマトとまとまと,新規メンバー,:_taiki::_kyaxtu::_kyaxtu:
-0:15,echo 800,メンバー（5 か月）,:_konn::_nui:
-0:15,continent,メンバー（1 年）,もちょ助かる
-0:10,パルピロ,メンバー（10 か月）,:_taiki::_taiki:
-0:07,Dr. Fager,メンバー（6 か月）,サムネ肌色率が少しでも高いと危なくなってきたね
-0:00,A S,メンバー（2 か月）,運営視点も見たほうがいいのかな？
0:03,せやかて工藤,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
0:04,次郎丸,メンバー（9 か月）,:_taiki::_kyaxtu::_kyaxtu:
0:06,ヨナギケイ,新規メンバー,:_taiki:
0:07,ヤルク,メンバー（1 年）,きちゃぁ
0:08,りあもん,非メンバー,きちゃ
0:09,52鯖民,メンバー（1 年）,きちゃー
0:10,ジェット太郎,メンバー（1 年）,きちゃ
0:11,口クサス,メンバー（10 か月）,きちゃ
