timestamp,author_name,membership,text
-0:24,ヘテロク.M,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:23,あぶやま,メンバー（4 か月）,あらすじニキはよ
-0:23,はつけ,メンバー（1 年）,:_kusa:
-0:23,Rena,新規メンバー,:_taiki::_kyaxtu::_kyaxtu:
-0:23,月見そば,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-0:22,tamagomakiDoubleX,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:22,クラッカ,メンバー（7 か月）,という夢を見たのさ
-0:20,ベルマーク,メンバー（1 年）,:_hai::_katta:
-0:20,海上ウサギ,非メンバー,大逃げ決められましたわ
-0:19,Milkey way,非メンバー,枠の様子がおかしいようです
-0:19,野生の笹団子,メンバー（8 か月）,(:3_ヽ)_
-0:18,先斗ぼんど,メンバー（1 か月）,:_tensai:
-0:18,湯婆婆,非メンバー,前回は神回だったな
-0:18,echo 800,メンバー（5 か月）,:_konn::_nui:
-0:17,11シリウス,非メンバー,あらすじにきいないかな？
-0:17,とまうぇる,メンバー（7 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:16,佐藤さば,非メンバー,ありのまま今起こった事を話すぜ！
-0:16,A Blue.,メンバー（10 か月）,いやー、前回良いレース多すぎたわ
-0:16,鎬影斗,メンバー（6 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:16,つるつる頭のもじゃx2あふろ,メンバー（11 か月）,:_taiki::_kyaxtu::_kyaxtu:(take2)
-0:14,ガンドゥム/無気力ch,非メンバー,いやーいきなり三冠馬が出るとはなー
-0:14,かさくら,非メンバー,YouTubeくんかかってるのかな
-0:13,一色ひいろ,非メンバー,前回すごかったね
-0:13,ガラガラの車屋シン,メンバー（3 か月）,#2
-0:13,乙橘槇絵,非メンバー,これは・・スタンド攻撃っ！
-0:13,たつぞー,メンバー（1 年）,:_kyaxtu::_kyaxtu::_taiki:
-0:12,yuusei,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-0:12,ちくわ帝王,メンバー（11 か月）,:_kyaxtu::_kyaxtu:
-0:12,楓塔也,メンバー（1 年）,推しがかっこよかった→推しがぽんだった
-0:11,レヴェル,メンバー（10 か月）,あらすじニキ頼む
-0:10,ぬゅたこ,非メンバー,待機
-0:09,雪布/yukif,非メンバー,ただいまニュイソシエール号の馬体検査を行っております
-0:09,ふぃる,非メンバー,タイキシャトル
-0:09,Akiba Kaede,非メンバー,夢かぁ.
-0:08,アグネスdigital,メンバー（11 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:08,KT niy,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-0:07,みけさん,非メンバー,こっちか
-0:06,Dr. Fager,メンバー（6 か月）,:_taiki: まさかのスタート不成立だったか
-0:06,かぶらいだー,メンバー（3 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:05,s r,非メンバー,光の速度で第二回かぁ
-0:05,下間刑部卿法眼頼廉[シモちゃん],メンバー（1 か月）,なんだ夢か
-0:04,セネア,メンバー（8 か月）,幻の前回の放送は神回だった
-0:03,りあもん,非メンバー,あらすじニキｗ
-0:03,進撃のまな板,メンバー（1 年）,:_taiki::_kyaxtu::_kyaxtu:
-0:02,[ kitcut ],メンバー（2 か月）,:_taiki::_kyaxtu::_kyaxtu:
-0:02,魔界探偵,メンバー（1 年）,:_kyaxtu:ーーーーー:_bikkuri:
-0:02,あかま,非メンバー,配信終わったばかりなのに続けて配信かぁ頑張ってるなぁ
-0:01,口クサス,メンバー（10 か月）,前回凄かったな
-0:00,たかし,非メンバー,第二走はじまる
0:05,ささがき辰五郎,非メンバー,枠がかかりぎみやな
0:05,ジェット太郎,メンバー（1 年）,歌ってみた含めて３回も見られるとは思わなんだ
0:06,AaaA,非メンバー,本日三回行動
0:08,Milkey way,非メンバー,1.01かな？
0:08,もちもちぽんぽん,メンバー（1 か月）,KING二週目の時間配慮感謝！
0:09,よっしーゆっきー,非メンバー,次回もドロップドロップ！
0:11,Dr. Fager,メンバー（6 か月）,カンパイは草なんだな
0:12,レヴェル,メンバー（10 か月）,きちゃ！
0:12,みけさん,非メンバー,こんにゅい
0:13,神薙,非メンバー,ブリンカー着けないと…
0:13,cube Tanaka,非メンバー,KINGで上げたカッコよさを即調整するポンの鑑
0:13,サクラローレル,メンバー（10 か月）,:_dora1::_dora2::_dora3:
0:14,飯屋,メンバー（9 か月）,:_taiki::_kyaxtu::_kyaxtu:
0:14,noyokozuna,非メンバー,きちゃ
0:15,nicolemon43,非メンバー,きちゃ
0:15,ふぇりちた,新規メンバー,でかい
0:15,あつき,メンバー（7 か月）,きちゃ
0:15,[ kitcut ],メンバー（2 か月）,きちゃ
0:16,あいくら,メンバー（10 か月）,きちゃ
0:16,ShootTheFox,メンバー（1 年）,:_konn::_nui:
0:17,ガラガラの車屋シン,メンバー（3 か月）,神回でしたね
0:17,べびべび・べびぃ,非メンバー,第1回めっちゃ楽しかった！楽しすぎてあっという間だったわ。
0:17,塙簾,非メンバー,出遅れたがそんなにすごかったのか
0:18,brother,非メンバー,きちゃー！
0:18,Dr. Fager,メンバー（6 か月）,:_konn::_nui:
0:18,Ryo Tsushima,メンバー（1 年）,:_hai::_pon::_nui:
0:18,綾鷹利休,メンバー（1 年）,:_kyaxtu::_kyaxtu:
0:19,つみきとし,メンバー（1 年）,大丈夫かなー
0:19,とどえもん,新規メンバー,カンパイ実装は:_kusa:
0:19,りあもん,非メンバー,きちゃ（2回目
0:19,陽炎-luis-,非メンバー,前回は神だった
0:19,天然水,非メンバー,きちゃ
0:19,スライド,非メンバー,きちゃ
0:19,紅葉,メンバー（1 年）,:_konn::_nui:
0:20,高貴,メンバー（11 か月）,:_konn::_nui:
0:20,かたなし。,非メンバー,おかえり
0:20,ふじやアキト,新規メンバー,:_konn::_nui::_renachan:
0:20,犬dog,メンバー（1 年）,:_konn::_nui:
0:20,熱中症熱中症,メンバー（1 年）,きちゃ～～～
0:21,ななばん,メンバー（10 か月）,:_konn::_nui:
0:21,ももんが,メンバー（1 か月）,:_pon::_nui:
0:21,s r,非メンバー,きちゃ
0:22,おっとこヌシ,非メンバー,AI二回行動持ちおニュイ
0:22,N Y,メンバー（1 か月）,きちゃーー！
0:22,11シリウス,非メンバー,デジャブ
0:23,ナコト,非メンバー,おかえり
0:26,光,非メンバー,きちゃ
0:26,海江,非メンバー,きちゃ
0:26,コーナー,非メンバー,きちゃ！
0:26,ベルベル,メンバー（5 か月）,きちゃ！
0:27,mo-chi 4747,非メンバー,ほいきた
0:27,閣下,メンバー（10 か月）,きちゃ(二回目)
0:27,ぜっトンインパルス,非メンバー,今度こそこんニュイ
0:28,とまうぇる,メンバー（7 か月）,きちゃ
0:28,黒雲,非メンバー,お馬さんだああああ
0:28,Brian Wang,非メンバー,でっか
0:28,よっしーゆっきー,非メンバー,きちゃ
0:29,du da,メンバー（1 年）,:_konn::_nui:
