timestamp,author_name,membership,text
-7:25,フユイヌ,メンバー（1 か月）,:_待機圏::_突入口::_巫女フミ:
-7:07,figotan,非メンバー,また変なことやってる・・・
-6:50,どこか誰かのおいなりさん,メンバー（1 か月）,:_待機圏::_突入口:
-6:19,メガアーケオス,非メンバー,寝ぼけてる？
-4:38,ぶどう弾,メンバー（1 か月）,:_ていねいお:ねむ
-4:31,ワイパ,モデレーター,3時から料理を………？？？
-4:20,ポンデグレープ,メンバー（1 か月）,かしこみ…かしこみ…
-4:09,嶺上の番茶,メンバー（1 か月）,かしこみ...かしこみ...
-4:06,バイザンガ,メンバー（1 か月）,かしこみ…かしこみ…
-4:04,パンセポンセ,メンバー（1 か月）,かしこみ…かしこみ…
-4:01,風雅《ふーが》,メンバー（1 か月）,かしこみ...かしこみ...
-3:59,ぶどう弾,メンバー（1 か月）,かしこみ…かしこみ…
-3:52,リベルレギス,メンバー（1 か月）,かしこみ…かしこみ…
-3:46,Levan / レヴァン,新規メンバー,かしこみ…かしこみ…
-3:34,ベーコン,メンバー（1 か月）,かしこみ…かしこみ…
-3:31,原北,新規メンバー,かしこみ…かしこみ…
-3:30,やまえる01,メンバー（1 か月）,かしこみ…かしこみ…
-3:29,ストームトルーパー,メンバー（1 か月）,かしこみ....かしこみ....
-3:13,1911 1911,メンバー（1 か月）,かしこみ…かしこみ…
-3:09,石臼彰,メンバー（1 か月）,フミフミ
-3:08,ai 9262g,メンバー（1 か月）,かしこみ…かしこみ…
-3:07,メガアーケオス,非メンバー,かしこみ...かしこみ...
-3:05,フユイヌ,メンバー（1 か月）,かしこみ…かしこみ…
-2:59,イギリスのくまさん,メンバー（1 か月）,かしこみ…かしこみ…
-2:53,りほりFL,メンバー（1 か月）,かしこみ…かしこみ…
-2:50,華那魅{かなみ}ヴェンデッタ,メンバー（1 か月）,かしこみ…かしこみ…
-2:48,呉 三郎,メンバー（1 か月）,かしこみ…かしこみ…
-2:43,・コトブキ,メンバー（1 か月）,かしこみ…かしこみ…
-2:43,らくたん,メンバー（1 か月）,かしこみ…かしこみ…
-2:34,しのだち,メンバー（1 か月）,かしこみ…かしこみ…
-2:07,正体不明のUnknownX,メンバー（1 か月）,かしこみ...かしこみ...
-2:06,陰キャきっず,メンバー（1 か月）,かしこみ…かしこみ…
-2:03,どこか誰かのおいなりさん,メンバー（1 か月）,かしこみ…かしこみ…
-2:00,エビフライ定食,非メンバー,3時に配信…フミ様海外いる説
-2:00,8931,非メンバー,かしこみ…かしこみ「
-1:43,真奥りん/mao-rin,メンバー（1 か月）,かしこみ…かしこみ
-1:41,_マタタビ,非メンバー,かしこみ
-1:40,Uctive Shooter,メンバー（1 か月）,かしこみ…かしこみ…
-1:26,グショウカン,非メンバー,かしこみ…かしこみ…
-1:24,シナモソ,非メンバー,かちこみ……………かちこみ…………
-1:11,まる9,非メンバー,かしこみ…かしこみ…
-1:06,原北,新規メンバー,生活リズムが崩れたからついでに巻き込もうとしてる説
-1:01,イギリスのくまさん,メンバー（1 か月）,時差様…
-0:37,Cナノ,非メンバー,かしこみ...かしこみ...
-0:35,鷲宮シルバ,新規メンバー,かしこみ…かしこみ…
-0:27,SSさいふぁー,メンバー（1 か月）,かしこみ...かしこみ...
-0:24,シスターさん,メンバー（1 か月）,かしこみ…かしこみ…
-0:15,nanao,非メンバー,かしこみ…かちこみ…
-0:12,Noah-七識-,メンバー（1 か月）,忙しい中ありがとうと思う
0:09,くれないのぼたん,メンバー（1 か月）,かしこみ…かしこみ…
0:11,ストームトルーパー,メンバー（1 か月）,暫し待つ
0:13,風雅《ふーが》,メンバー（1 か月）,暫し待つ
0:15,バイザンガ,メンバー（1 か月）,暫し待つ
0:16,嶺上の番茶,メンバー（1 か月）,暫し待つ
0:17,ぶどう弾,メンバー（1 か月）,暫し待つ
0:17,SSさいふぁー,メンバー（1 か月）,暫し待つ
0:17,ネクスト01,メンバー（1 か月）,かしこみ⋯かしこみ⋯
0:18,華那魅{かなみ}ヴェンデッタ,メンバー（1 か月）,暫し待つ
0:20,鷲宮シルバ,新規メンバー,暫し待つ
0:21,オシャレになりたいかがきょー,メンバー（1 か月）,暫し待つ
0:21,リベルレギス,メンバー（1 か月）,暫し待つ
0:21,みゅう先輩,メンバー（1 か月）,暫し待つ
0:23,イギリスのくまさん,メンバー（1 か月）,暫し待つ
0:24,シスターさん,メンバー（1 か月）,暫し待つ
0:24,・コトブキ,メンバー（1 か月）,暫し待つ
0:25,Levan / レヴァン,新規メンバー,暫し待つ
0:25,ぶどう弾,メンバー（1 か月）,ｶﾁｶﾁ
0:25,どこか誰かのおいなりさん,メンバー（1 か月）,暫し待つ
0:26,ezoRig,メンバー（1 か月）,暫し待つ
0:27,Dear Deer,非メンバー,暫し待つ
0:27,1911 1911,メンバー（1 か月）,暫し待つ
0:27,ポンデグレープ,メンバー（1 か月）,暫し待つ
0:28,プレステ或いは豆腐,メンバー（1 か月）,暫し待つ
0:28,陰キャきっず,メンバー（1 か月）,暫し待つ
0:28,りほりFL,メンバー（1 か月）,暫し待つ
0:30,早乙女シノブ,非メンバー,暫し待つ
0:30,_マタタビ,非メンバー,かわいい
0:31,さかたさかた,非メンバー,暫し待つ
0:32,黄昏ナントカ,非メンバー,暫し待つ
0:33,くにさき,メンバー（1 か月）,暫し待つ
0:33,やまえる01,メンバー（1 か月）,暫し待つ
0:34,kazuya K,非メンバー,暫し待つ
0:36,Dear Deer,非メンバー,ｶﾁｶﾁ
0:37,バイザンガ,メンバー（1 か月）,ｺｵｵｵｵ
0:38,イッシー,メンバー（1 か月）,暫し待つ
0:39,ネクスト01,メンバー（1 か月）,暫し待つ
0:39,八剱〈YATURUGI〉,メンバー（1 か月）,暫し待つ
0:40,パンセポンセ,メンバー（1 か月）,暫し待つ
0:42,ポンデグレープ,メンバー（1 か月）,ｶﾁｯ……ｶﾁｯ………
0:42,のりみと,メンバー（1 か月）,暫し待つ
0:43,T M,非メンバー,無駄に夜更かししててよかった
0:43,しのだち,メンバー（1 か月）,暫し待つ
0:43,ライネル,非メンバー,暫し待つ
0:45,ぶどう弾,メンバー（1 か月）,BGMあらず…
0:46,哭きのリナキ,メンバー（1 か月）,暫し待つ
0:47,にぼし,メンバー（1 か月）,暫し待つ
0:48,異端なビギナー,メンバー（1 か月）,暫し待つ
0:49,らくたん,メンバー（1 か月）,暫し待つ
0:52,エコー-英語わかんねーけど-,メンバー（1 か月）,暫し待つ
0:54,Eddy Nordica,メンバー（1 か月）,久しぶりに時間があった。暫し待つ
0:57,ぶどう弾,メンバー（1 か月）,！？
0:58,原北,新規メンバー,暫し待つ
0:59,あかボン,非メンバー,暫し待つ
1:00,ポンデグレープ,メンバー（1 か月）,びっくりした…、
1:00,_マタタビ,非メンバー,BGM草
1:01,バイザンガ,メンバー（1 か月）,エモＢＧＭ来たな…
1:02,風雅《ふーが》,メンバー（1 か月）,うるせぇ！
1:02,SSさいふぁー,メンバー（1 か月）,！？
1:02,ただのゲーム好き,非メンバー,かわいい
1:02,フユイヌ,メンバー（1 か月）,！？
1:04,ライネル,非メンバー,今日のお料理何だろうか
1:04,ニャンコ先生,非メンバー,プニプニしてたやつ？
1:04,イギリスのくまさん,メンバー（1 か月）,！？
1:04,メガアーケオス,非メンバー,あ、起きてた
1:05,ポンコツ先生,メンバー（1 か月）,エモ
1:06,狼ちょこれいと,非メンバー,この時間はあかんやろ腹が空く
1:06,嶺上の番茶,メンバー（1 か月）,まったりBGMだぁ
1:08,やまえる01,メンバー（1 か月）,！？
1:08,くにさき,メンバー（1 か月）,なんかBGM流れてきた
1:09,石臼彰,メンバー（1 か月）,きゃっきゃっ
1:11,プレステ或いは豆腐,メンバー（1 か月）,寝かせに来てるBGM
1:11,バイザンガ,メンバー（1 か月）,お邪魔します
1:11,みゅう先輩,メンバー（1 か月）,！？
