timestamp,author_name,membership,text
-1:46,シスターさん,メンバー（2 か月）,:_ていねいお::_待機圏::_ていねいお::_突入口::_しました::_パイスーフミ:
-1:46,BOOS[ボウズ],メンバー（2 か月）,いけるでフミ様！自信持って突っ走れ！
-1:45,た_Ta,新規メンバー,:_待機圏::_突入口::_ビームサーベル:
-1:45,あかあか,非メンバー,がんばれ～
-1:44,たこ焼きそば,非メンバー,がんばれえええええええええええええええええええええええええええ
-1:42,lusia ルシア games,メンバー（2 か月）,油断せずにいこう。
-1:42,吾輩は猫?,メンバー（2 か月）,フミ様ファイトー！
-1:41,オシャレになりたいかがきょー,メンバー（2 か月）,がんばれ！！！
-1:39,木の上の妖怪,メンバー（2 か月）,フミ様がんばれー！！
-1:38,なないぬ,メンバー（2 か月）,かっとばせー！:_パイスーフミ:
-1:37,ちぷ,メンバー（1 か月）,フミ様がんばれ〜！！
-1:37,ショボんショボン,メンバー（2 か月）,ゲームセンス高い人らが揃ってるな改めて見ると。簡単ではないが可能性はある！
-1:35,リクヤ,メンバー（2 か月）,勝つぞ
-1:33,ラムジー,メンバー（2 か月）,気負わず楽しくやってくれ〜〜！
-1:33,Jin太郎,非メンバー,いざ!!NijiGP!!!
-1:31,嶺上の番茶,メンバー（2 か月）,さぁ行こう！
-1:27,無限 /メビウス,メンバー（2 か月）,落ち着いていきましょうぜ！！！
-1:25,りほりFL,メンバー（2 か月）,ふぁいとー
-1:22,ナッコー.,非メンバー,十分可能性あるぞ、頑張ってフミ様
-1:21,ヤミツキ,非メンバー,フミ様ふぁいとです！！
-1:21,FAF厚生局一般職員,非メンバー,フルトイ全員通過いこう！
-1:17,朱鷺老師,非メンバー,フミ様、平常心平常心！
-1:14,エス,非メンバー,山の分まで頑張って！
-1:11,あまちゃん,非メンバー,フミさん行けるぞ！！
-1:02,Jack Smith,非メンバー,長尾と二人で行って欲しいです！！！
-1:02,矢倉,メンバー（2 か月）,練習の成果見せてやろう！
-1:01,小野のくす,非メンバー,今のフミさんなら行けるぞ
-1:00,SAW 1207,メンバー（2 か月）,フミ様期待してます！
-0:57,ライム,非メンバー,落ち着いていけば突破できる、頑張れ！
-0:53,若尾げんじまる,メンバー（2 か月）,フミさんファイトー！
-0:50,バイザンガ,メンバー（2 か月）,自分の走りをやっていこう！
-0:47,カイ,非メンバー,頑張れーーーー
-0:43,朱鷺老師,非メンバー,フ景罪で突破にマジで期待！
-0:41,シオ,メンバー（2 か月）,フミ様ならいける
-0:38,こーちゃ,メンバー（1 か月）,冷静にプレイできれば今のフミ様なら取り返せるから、ミスっても最後まで頑張れ
-0:37,極みごぼ天,非メンバー,我
-0:37,ケー,メンバー（2 か月）,頑張れ！
-0:36,shirogane08,メンバー（2 か月）,5位に入れればいけるんだ、やってみる価値ありますぜ
-0:36,リベルレギス,メンバー（2 か月）,いつも通り走れば大丈夫！！
-0:34,黒橋哲也,非メンバー,応援してるで
-0:33,ナッコー.,非メンバー,長尾と一緒に行って欲しい
-0:21,ゆに,非メンバー,頑張ってください！
-0:20,野人賢者,メンバー（2 か月）,いよいよか
