timestamp,author_name,membership,text
-22:15,寝子:ねるこ,新規メンバー,:_ていねいお::_待機圏::_突入口::_パイスーフミ:
-21:33,うるとらまっちょ,非メンバー,フミ様ならいけるからウォーミングアップ頑張って
-21:26,陰キャきっず,メンバー（2 か月）,:_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_します::_パイスーフミ::_待機圏::_突入口:
-21:12,SSさいふぁー,メンバー（2 か月）,:_待機圏::_突入口::_します::_ビームサーベル::_パイスーフミ:
-17:54,ペコゆた,メンバー（2 か月）,:_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_パイスーフミ::_パイスーフミ:
-17:27,ポンデグレープ,メンバー（2 か月）,:_待機圏::_突入口:待ってたぜこの瞬間をよぉ！！
-14:31,鮎川まどか,非メンバー,がんばれえええええええええ
-13:04,暁月-Akatsuki-,メンバー（2 か月）,見に来たよ、いけ、フミ様
-12:42,たいはなこ,非メンバー,頑張って
-10:39,サヤ,非メンバー,楽しんでくだせぇ
-9:28,takumi kanehira,非メンバー,強者共に爪痕残しましょう！
-8:44,ラムジー,メンバー（2 か月）,気負わず楽しく走ってくれ〜〜！
-8:14,ディレ,メンバー（2 か月）,あと１５分か・・・
-8:04,Y I,非メンバー,何窓すればええんや
-7:26,寝落ちライカ,非メンバー,応援してます｜・ω・`)ﾁﾗ
-7:01,野人賢者,メンバー（2 か月）,いよいよか
-6:19,うるとらまっちょ,非メンバー,フミ様起きてる？？？
-6:04,ー,非メンバー,フミ様がんばれ！
-6:02,癖者:KUSEMONO,非メンバー,うおおお！
-5:29,よま,メンバー（2 か月）,練習の成果を見せてやりましょう！！
-3:58,石臼彰,メンバー（2 か月）,狙うはもちろん優勝だ
-3:34,若尾げんじまる,メンバー（2 か月）,:_ていねいお::_待機圏::_突入口::_パイスーフミ:頑張れフミさん！
-2:48,Atomic symbol,非メンバー,フミ様ならいけます！楽しんでぇ
-2:44,のすけ,非メンバー,頑張れ！
-2:27,癖者:KUSEMONO,非メンバー,大丈夫ですかフミ様あ！
-1:55,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,速報：フミ様、集合時間忘れてた
-1:51,月見善哉,新規メンバー,いざ特訓の成果を見せてくだされ！
-1:36,SSさいふぁー,メンバー（2 か月）,さんきゅー星川ァ！
-1:33,如月朔也,非メンバー,頑張れ
-1:25,にっしゃん,非メンバー,頑張って
-1:19,うるとらまっちょ,非メンバー,フミ様！？
-1:12,元チカ,非メンバー,サムネのカッコいい方はどなたなんです？
-0:59,無限 /メビウス,メンバー（2 か月）,ありがとう星川ァ！
-0:57,しゅうちゃん,非メンバー,フミ様大丈夫ですか？星川ありがとう！
-0:52,しょう。,非メンバー,頑張って！！！！！
-0:39,はにゅうめ,非メンバー,星川の声めっちゃ可愛かったw
-0:18,はにゅうめ,非メンバー,フミ様ふぁいとー！
-0:07,JINYO12,非メンバー,かっこいいフミ様！楽しんでくださいね〜☆
-0:02,バイザンガ,メンバー（2 か月）,いよいよだ
-0:01,Dear Deer,非メンバー,フミ様楽しんで！！
-0:00,アルミ,非メンバー,応援してます！頑張れ！
0:12,ぶどう弾,メンバー（2 か月）,お
0:16,SSさいふぁー,メンバー（2 か月）,楽しくいきましょ！
0:21,ぶどう弾,メンバー（2 か月）,暫し待つ
0:21,悪運のたっちょん,非メンバー,来たぁ( 'Θ' )
0:23,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,がんばれがんばれ
0:24,寝子:ねるこ,新規メンバー,きちゃ
