timestamp,author_name,membership,text
-8:28,タタミ,メンバー（2 か月）,:_ていねいお::_待機圏::_突入口::_します:
-7:34,若尾げんじまる,メンバー（2 か月）,:_ていねいお::_待機圏::_突入口::_パイスーフミ:
-7:27,Artur Chang,メンバー（2 か月）,:_ていねいお::_待機圏::_突入口::_します::_ビームサーベル:
-6:45,sore03 nani,非メンバー,自分から甘いの嫌いになりに行ってる説ある
-6:17,その他諸々,メンバー（2 か月）,:_待機圏::_お邪魔::_します::_ビームサーベル::_ビームサーベル:
-6:03,サクラギカズマ,メンバー（2 か月）,むさぼるのね
-4:56,唯の上級エンジニア兼通信技師,非メンバー,フミ様がお腹壊しませんように..............
-4:55,嶺上の番茶,メンバー（2 か月）,:_待機圏::_突入口::_巫女フミ:
-3:20,kkp Volt,新規メンバー,:_ていねいお::_待機圏::_します:
-3:17,エボルノイン,メンバー（2 か月）,:_ていねいお::_待機圏::_突入口::_巫女フミ:
-3:04,no Izu,新規メンバー,糖尿不可避:_おいたわしや:
-2:54,coelazy,メンバー（2 か月）,待機圏突入！
-2:43,くかたさ,非メンバー,待機圏突入！
-2:29,ポンデグレープ,メンバー（2 か月）,かしこみ…かしこみ…
-2:27,獣っ娘大好き,メンバー（1 か月）,:_待機圏::_突入口:
-2:25,太郎りびゃ,非メンバー,大気圏突入！
-2:22,ペンギンぽてと,メンバー（2 か月）,:_待機圏::_突入口:
-2:20,風雅《ふーが》,メンバー（2 か月）,かしこみ...かしこみ...
-2:19,KURI,モデレーター,かしこみ…かしこみ…
-2:18,ぶどう弾,メンバー（2 か月）,かしこみ…かしこみ…
-2:07,・コトブキ,メンバー（2 か月）,かしこみ…かしこみ…
-1:56,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,かしこみ…かしこみ…
-1:44,バイザンガ,メンバー（2 か月）,かしこみ…かしこみ…
-1:43,サクラギカズマ,メンバー（2 か月）,かみかみ、かみかみ
-1:40,たここ,新規メンバー,:_待機圏::_突入口:
-1:39,若尾げんじまる,メンバー（2 か月）,かしこみ…かしこみ…
-1:35,扇マネキ,メンバー（2 か月）,かしこみ…かしこみ…
-1:28,柴犬パグ太,非メンバー,かしこみ...かしこみ...
-1:26,エボルノイン,メンバー（2 か月）,かしこみ…かしこみ…
-1:25,フレスコマッチョッチョ,メンバー（2 か月）,かしこみ…かしこみ…
-1:20,パンセポンセ,メンバー（2 か月）,かしこみ…かしこみ…
-1:16,ネクスト01,メンバー（2 か月）,かしこみ‥‥かしこみ‥‥
-1:11,りほりFL,メンバー（2 か月）,かしこみ…かしこみ…
-1:07,たかみー,メンバー（1 か月）,かしこみ…かしこみ…
-0:52,ペンギンぽてと,メンバー（2 か月）,かしこみ…かしこみ…
-0:52,サクラギカズマ,メンバー（2 か月）,もぐもぐ、もごもぐ
-0:47,ai 9262g,メンバー（2 か月）,間に合った
