timestamp,author_name,membership,text
-3:57,ポンデグレープ,メンバー（2 か月）,かしこみ…かしこみ…
-3:46,リベルレギス,メンバー（2 か月）,かしこみ…かしこみ…
-3:44,ai 9262g,メンバー（2 か月）,かしこみ…かしこみ…
-3:42,ミナモ,非メンバー,皆ぼっちかよ…
-3:41,風見烏,メンバー（2 か月）,かしこみ...かしこみ...
-3:38,バイザンガ,メンバー（2 か月）,かしこみ…かしこみ…
-3:37,なないぬ,メンバー（2 か月）,かしこみ…かしこみ…
-3:37,ストームトルーパー,メンバー（2 か月）,かしこみ....かしこみ....
-3:36,オペレーターつうほ,メンバー（2 か月）,かしこみ…かしこみ…
-3:36,リクヤ,メンバー（2 か月）,かしこみ…かしこみ…
-3:34,どこか誰かのおいなりさん,メンバー（2 か月）,かしこみ…かしこみ…
-3:33,ミナモ,非メンバー,オレもだ…
-3:32,ヘルヘルティ,メンバー（2 か月）,かしこみ・・・かしこみ・・・
-3:29,ペンギンぽてと,メンバー（2 か月）,かしこみ…かしこみ…
-3:28,ぶどう弾,メンバー（2 か月）,かしこみ…かしこみ…
-3:28,SSさいふぁー,メンバー（2 か月）,かしこみ...かしこみ...
-3:28,正体不明のUnknownX,メンバー（2 か月）,かしこみ...かしこみ...
-3:22,ランボー,非メンバー,かしこみ…かしこみ…
-3:20,寝子:ねるこ,非メンバー,かしこみ…かしこみ…
-3:16,無限 /メビウス,メンバー（2 か月）,かしこみ…かしこみ…
-3:13,イギリスのくまさん,メンバー（2 か月）,かしこみ…かしこみ…
-3:09,矢倉,メンバー（2 か月）,かしこみ…かしこみ…
-3:08,coelazy,メンバー（2 か月）,かしこみ…かしこみ…
-3:08,kun Sato-,非メンバー,かしこみ……かしこみ……
-3:05,嶺上の番茶,メンバー（2 か月）,かしこみ…かしこみ…
-3:05,S・Sドラッツェ,メンバー（2 か月）,かしこみ…かしこみ…
-2:57,サウザントほり,メンバー（2 か月）,かしこみ...かしこみ...
-2:53,ミナモ,非メンバー,かしこみ…かしこみ…
-2:52,寝落ちライカ,非メンバー,かちこみ かちこみヘ(≧▽≦ヘ)♪
-2:32,Kazu Cosmo,新規メンバー,かしこみ…かしこみ…
-2:30,H0cura,非メンバー,かしこみ…かしこみ…
-2:27,Lジョシュア,メンバー（2 か月）,かしこみ…かしこみ…
-2:27,七葉/しぐ,メンバー（2 か月）,かしこみ…かしこみ……
-2:17,鮎川まどか,非メンバー,フミ様…俺らは味方だから…
-2:10,マホ,メンバー（2 か月）,ここに来た時点でぼっち回避できてるな？？
-2:00,T F,非メンバー,かしこみ…かしこみ…
-1:58,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,かしこみ…かしこみ…
-1:58,柴犬パグ太,非メンバー,かしこみ...かしこみ...
-1:47,Yuki4.7,非メンバー,かしこみ……かしこみ……
-1:39,北条氏文,メンバー（2 か月）,かしこみ
-1:32,ディレ,メンバー（2 か月）,かしこみ…かしこみ…
-1:24,羅針盤・発動機・地図,メンバー（2 か月）,かしこみ……かしこみ……
-1:19,よしおどん,メンバー（2 か月）,かしこみ…かしこみ…
-1:06,kazuya K,新規メンバー,かちこみ…かちこみ…
-1:06,オペレーターつうほ,メンバー（2 か月）,かしこみ…かしこみ…
-1:04,153 HA,非メンバー,おひたし…おひたし…
-0:42,ストームトルーパー,メンバー（2 か月）,クリぼっち...クリぼっち...
-0:05,nothing nothing,メンバー（2 か月）,かなしみ…かなしみ…
0:05,オペレーターつうほ,メンバー（2 か月）,きれこみ…そりこみ…
0:15,イギリスのくまさん,メンバー（2 か月）,暫し待つ
0:16,ヘルヘルティ,メンバー（2 か月）,しばしまつ
0:18,lusia ルシア games,メンバー（2 か月）,煽られたし、かちこみ・・・かちこみ・・・
0:18,嶺上の番茶,メンバー（2 か月）,暫し待つ
0:21,ランボー,非メンバー,きちゃ
0:21,こもりん,メンバー（2 か月）,暫し待つ
0:24,ストームトルーパー,メンバー（2 か月）,暫し待つ
0:24,つくも99,メンバー（2 か月）,手が！
0:27,りほりFL,メンバー（2 か月）,暫し待つ
0:30,サウザントほり,メンバー（2 か月）,暫し待つ
0:33,柴犬パグ太,非メンバー,お邪魔するぞぉ
0:33,リクヤ,メンバー（2 か月）,暫し待つ
0:34,リベルレギス,メンバー（2 か月）,暫し待つ
0:38,coelazy,メンバー（2 か月）,やほ～
0:40,太郎りびゃ,非メンバー,暫し待つ
0:41,ディレ,メンバー（2 か月）,こんフミ～
0:43,kun Sato-,非メンバー,メリクリボッチーーー！！
0:43,ぱちき,非メンバー,きちゃ
0:49,シスターさん,メンバー（2 か月）,こんふみー
0:49,T F,非メンバー,こんフミ～
0:49,リクヤ,メンバー（2 か月）,愉快なBGM
0:50,羅針盤・発動機・地図,メンバー（2 か月）,めりフミ様〜
0:50,coelazy,メンバー（2 か月）,音楽よ
0:50,ランボー,非メンバー,めりくりこんふみ～
0:50,百合ガガリン,非メンバー,るるるんるんるるんるるんるるるるるん
0:51,ぶどう弾,メンバー（2 か月）,こんフミー！
0:53,あるみみ,非メンバー,こんフミー
0:54,ai 9262g,メンバー（2 か月）,こんフミ〜
0:54,嶺上の番茶,メンバー（2 か月）,愉快なｂｇｍですこと
0:55,泣く子も黙る上腕二頭筋,非メンバー,陰キャ息してる〜？
0:55,みやこえ,非メンバー,こんフミー
0:56,逆ガル型,非メンバー,こんフミ～
0:58,矢倉,メンバー（2 か月）,こんフミ〜
0:58,Kazu Cosmo,新規メンバー,こんふみー
0:58,kun Sato-,非メンバー,メリクリボッチ！！
1:00,MARUKAME SUKEO,非メンバー,ぼっち神
1:00,vocakey,メンバー（2 か月）,こんフミ～
1:00,のしの,メンバー（2 か月）,メリークリスマスー
1:01,パラニン主任,メンバー（2 か月）,メリフミ～
1:03,N.R. Happin,非メンバー,こんフミ～
1:03,ぱちき,非メンバー,その曲やめろ
1:03,イギリスのくまさん,メンバー（2 か月）,めりフミ〜
1:03,lusia ルシア games,メンバー（2 か月）,めりふみー
1:04,無限 /メビウス,メンバー（2 か月）,メリクリ〜
1:06,THE君【ざっくん】,メンバー（2 か月）,こんフミ～メリクリ～
1:06,マホ,メンバー（2 か月）,メリフミ〜
1:06,北条氏文,メンバー（2 か月）,こんめり～
1:07,のしの,メンバー（2 か月）,こんフミ～
1:07,気まぐれなSS,メンバー（2 か月）,メリクリこんフミ〜
1:09,七葉/しぐ,メンバー（2 か月）,こんフミ〜
1:09,つくも99,メンバー（2 か月）,何草林転
1:10,らくたん,メンバー（2 か月）,こんフミ〜
1:12,緑のしゃもじ,メンバー（2 か月）,メリクリー
1:12,H0cura,非メンバー,こんフミ〜メリークリスマス🎄
1:12,水玉,メンバー（2 か月）,メリークリスマス！
1:18,パラニン主任,メンバー（2 か月）,楽しいいいいいいい！！！！！
1:19,Ns9. Ns9,非メンバー,こんフミ
1:19,シスターさん,メンバー（2 か月）,めりくりー
1:21,naga,非メンバー,こんフミ〜
1:22,りほりFL,メンバー（2 か月）,メリクリー
1:22,バイザンガ,メンバー（2 か月）,さっきまで寝てたよ…
1:23,無限 /メビウス,メンバー（2 か月）,もちろんやでぇ！
1:23,道化師,メンバー（2 か月）,こんフミー
1:23,ランボー,非メンバー,めりめり～
1:26,Kazu Cosmo,新規メンバー,彼女と見てます
1:26,なないぬ,メンバー（2 か月）,？？？？？？
1:27,はるさかるの,非メンバー,メリークリスマス
1:33,taratarasauce,非メンバー,子供とご飯食べた！
1:39,とある魔眼の両儀四季,メンバー（2 か月）,こんフミー
1:39,羅針盤・発動機・地図,メンバー（2 か月）,は？
1:40,エルテネ,非メンバー,ええ
1:46,ストームトルーパー,メンバー（2 か月）,:_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお:
1:48,なないぬ,メンバー（2 か月）,草
1:48,ディレ,メンバー（2 か月）,ヤってんねぇ！！
1:50,柴犬パグ太,非メンバー,頼む！少子化を止めてくれ！！
1:50,パラニン主任,メンバー（2 か月）,ｶｯﾎﾟｰ
1:51,北条氏文,メンバー（2 か月）,ほお
1:51,グソクムシキング,メンバー（2 か月）,はぁ
1:54,鮎川まどか,非メンバー,普通の夜だよなあ！？
1:57,サウザントほり,メンバー（2 か月）,やってんねぇ！！
1:59,ランボー,非メンバー,楽しいことをベットでやってんね～
1:59,リベルレギス,メンバー（2 か月）,くんずほぐれつ
1:59,Arty,非メンバー,かっぽー
1:59,やまえる01,メンバー（1 か月）,そう、例えばマリカとかね
1:59,naga,非メンバー,草
2:00,なだれ,非メンバー,何の話ですかね
2:02,ハローマック,メンバー（2 か月）,はーキレそう
2:02,マホ,メンバー（2 か月）,なるほどマリカのことか
2:02,hayashibarazero,非メンバー,やめろ😭😭😭😭
2:02,とある魔眼の両儀四季,メンバー（2 か月）,カップルでマリカか？
2:04,シノツクアメ,メンバー（2 か月）,え？なんて？
2:04,緑のしゃもじ,メンバー（2 か月）,ゲームかな
2:06,グソクムシキング,メンバー（2 か月）,はい
2:06,りほりFL,メンバー（2 か月）,仲良くする時間だよね
2:07,ai 9262g,メンバー（2 か月）,ほう
2:07,クラウン,非メンバー,平日だし……
2:08,七葉/しぐ,メンバー（2 か月）,草
2:09,ゆむのき,非メンバー,りっしんべんですね､わかります
2:10,道化師,メンバー（2 か月）,:_おいたわしや:
2:12,風見烏,メンバー（2 か月）,お？戦争かな？
2:12,kun Sato-,非メンバー,え？
2:14,くれないのぼたん,メンバー（2 か月）,草
2:14,南耳見,メンバー（2 か月）,カップルでやってる可能性
2:15,SSさいふぁー,メンバー（2 か月）,事後でプレイしてるかもしれないだろ！
2:18,Lジョシュア,メンバー（2 か月）,草
2:21,ポンデグレープ,メンバー（2 か月）,お？喧嘩か？
2:25,かぼちゃ,非メンバー,😭
2:26,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,昨日みたいにカップルでやってるかもしれないだろ！！
2:26,ランボー,非メンバー,フミさんはひと。。。
2:28,ai 9262g,メンバー（2 か月）,草
2:29,kun Sato-,非メンバー,はい草
2:29,よしおどん,メンバー（2 か月）,とりあえず全員カップルやろ倒していこう
2:32,南耳見,メンバー（2 か月）,ほう仕方なく
2:39,北条氏文,メンバー（2 か月）,仕方ないね
2:39,rutuho Qザク,非メンバー,ｌｏｌ
2:39,パラニン主任,メンバー（2 か月）,はい
2:39,メイト,非メンバー,涙拭いて下さい
2:39,ヘルヘルティ,メンバー（2 か月）,ほんとう・・・・？
2:39,羅針盤・発動機・地図,メンバー（2 か月）,マリカも楽しいことだろ！！！！
2:43,リベルレギス,メンバー（2 か月）,せやな…
2:43,lusia ルシア games,メンバー（2 か月）,この時間である必要はないですよね？
2:43,ほしいも,メンバー（2 か月）,そうだね
2:43,SSさいふぁー,メンバー（2 か月）,ならしょうがないよなー
2:47,とある魔眼の両儀四季,メンバー（2 か月）,仕方ないな
2:47,つくも99,メンバー（2 か月）,陰キャの神
2:48,グソクムシキング,メンバー（2 か月）,例の6時間は避けてくれたんですね・・
3:01,無限 /メビウス,メンバー（2 か月）,えらい
3:09,kazuya K,新規メンバー,我等の主神はリア充だから、間違い無い
3:11,北条氏文,メンバー（2 か月）,俺もフミ様に付き合うかー
3:18,にゃんたろう,非メンバー,頑張ってー
3:25,じゅーる,新規メンバー,こんフミ〜
3:27,軟らかい装甲,非メンバー,概要乱が宗教違いで草
3:32,T F,非メンバー,マリカ杯応援してます！
3:36,オペレーターつうほ,メンバー（2 か月）,お疲れ様です
3:36,ヘルヘルティ,メンバー（2 か月）,やったー！
3:37,柴犬パグ太,非メンバー,そうだよ
3:39,Shin,非メンバー,こんフミ～
3:39,ディレ,メンバー（2 か月）,見守らねば・・・
3:41,七葉/しぐ,メンバー（2 か月）,たすかるありがとうフミ様
3:41,陰キャきっず,メンバー（2 か月）,使命！？
3:41,ランボー,非メンバー,大事な使命だ
3:41,パラニン主任,メンバー（2 か月）,草
3:43,鮎川まどか,非メンバー,日本の神様がキリストの生誕祭を祝うわけないよなあ
3:45,ストームトルーパー,メンバー（2 か月）,:_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお::_ていねいお:
3:45,マホ,メンバー（2 か月）,怒りの日ですわこれは
3:47,てむてむ,非メンバー,さっきまで彼女といました
3:47,lusia ルシア games,メンバー（2 か月）,怒りの日？
3:49,SSさいふぁー,メンバー（2 か月）,くるか！？
3:49,バイザンガ,メンバー（2 か月）,土曜日まで一蓮托生よ
3:56,リベルレギス,メンバー（2 か月）,やったぜ！
3:58,やまえる01,メンバー（1 か月）,怒怒してきたな
3:58,ヘルヘルティ,メンバー（2 か月）,助かる
4:01,ランボー,非メンバー,あ、
4:02,イギリスのくまさん,メンバー（2 か月）,は？
4:08,lusia ルシア games,メンバー（2 か月）,草
4:08,こー。,非メンバー,長尾のあの歌は配信しないの？？
4:08,バイザンガ,メンバー（2 か月）,草
4:08,ゆで卵,非メンバー,俺はソロだ
4:08,どこか誰かのおいなりさん,メンバー（2 か月）,は？
4:08,矢倉,メンバー（2 か月）,は？
4:10,逆ガル型,非メンバー,草
4:10,よしおどん,メンバー（2 か月）,草
4:10,coelazy,メンバー（2 か月）,草
4:13,サウザントほり,メンバー（2 か月）,リア充だ！かこめ！
4:13,なないぬ,メンバー（2 か月）,？？？？え？
4:13,寝落ちライカ,非メンバー,w
4:13,上田201,メンバー（2 か月）,転がせ
4:13,やまえる01,メンバー（1 か月）,はい戦争
4:14,嶺上の番茶,メンバー（2 か月）,優しいじゃねぇか.....
4:17,やみい/朝日奈樒,メンバー（2 か月）,こんフミ〜
4:18,なだれ,非メンバー,処刑しろ！！！
4:21,柴犬パグ太,非メンバー,今頃町は雪で真っ白だろうなぁ...!
4:21,ちゅーそん,非メンバー,それが最後の言葉だぞ
4:21,風雅《ふーが》,メンバー（2 か月）,は？
4:22,ディレ,メンバー（2 か月）,聖なる夜満喫しろ！！
4:25,陰キャきっず,メンバー（2 か月）,追いかけろ
4:28,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,(´･д･`)
4:28,明野和馬,非メンバー,ずっとソロですが
4:31,北条氏文,メンバー（2 か月）,ソーラーレイ打ち込むぞ
4:31,blue lily,非メンバー,固定しろ！
4:32,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,おー
4:32,リベルレギス,メンバー（2 か月）,おお！
4:32,ランボー,非メンバー,おーーー！！
4:36,羅針盤・発動機・地図,メンバー（2 か月）,うおおおお
4:37,七葉/しぐ,メンバー（2 か月）,凄い！！！
4:38,北条氏文,メンバー（2 か月）,おお
4:40,らくたん,メンバー（2 か月）,彼女は本命の方にいったかw
4:42,なないぬ,メンバー（2 か月）,おお
4:42,サウザントほり,メンバー（2 か月）,おお
4:42,Shin,非メンバー,見ます
4:42,りゅう_,非メンバー,事後に面倒くさくなって帰したんじゃね？
4:44,りほりFL,メンバー（2 か月）,まじ？すごいじゃん!
4:45,kun Sato-,非メンバー,観るしかない
4:48,kazuya K,新規メンバー,おお！
4:51,kun Sato-,非メンバー,うん
4:54,リベルレギス,メンバー（2 か月）,あっ…
4:54,ぽんぽんワークス,非メンバー,次の彼女に移動したとか
4:57,るーるー,非メンバー,フミ様めっちゃ上手くなったよね！
5:01,Elu,非メンバー,草
5:01,マホ,メンバー（2 か月）,草
5:01,kun Sato-,非メンバー,はい草
5:01,るーるー,非メンバー,は？
5:02,イギリスのくまさん,メンバー（2 か月）,あっ
5:02,ヘルヘルティ,メンバー（2 か月）,あっ・・・
5:02,パラニン主任,メンバー（2 か月）,草
5:03,SSさいふぁー,メンバー（2 か月）,草
5:05,S KK,非メンバー,？？？
5:05,ポンデグレープ,メンバー（2 か月）,草
5:05,無限 /メビウス,メンバー（2 か月）,草
5:05,柴犬パグ太,非メンバー,WOW!!
5:06,陰キャきっず,メンバー（2 か月）,草
5:06,グソクムシキング,メンバー（2 か月）,泣いていいっすよ・・
5:06,つくも99,メンバー（2 か月）,草
5:09,リクヤ,メンバー（2 か月）,草
5:09,ぶどう弾,メンバー（2 か月）,画面見てｗ
5:11,kun Sato-,非メンバー,いいぞーーw
5:11,風見烏,メンバー（2 か月）,草
5:13,Mmm Kkk,非メンバー,許せねぇなあ！
5:16,よしおどん,メンバー（2 か月）,先に言えよｗｗ
5:16,hady _,非メンバー,草
5:16,リベルレギス,メンバー（2 か月）,:_おいたわしや::_泣きフミ:
5:17,マホ,メンバー（2 か月）,先生もリア充やったか
5:17,華那魅{かなみ}ヴェンデッタ,メンバー（2 か月）,あ～だからこの枠のタイトル…
5:18,百合ガガリン,非メンバー,えらい
5:21,あまちゃん,非メンバー,まぁまぁ悲しくて草
5:23,七葉/しぐ,メンバー（2 か月）,えらい
5:23,正体不明のUnknownX,メンバー（2 か月）,ぬめりとれてえらい
5:24,明野和馬,非メンバー,気を使ってもらってつらい
5:24,グソクムシキング,メンバー（2 か月）,大掃除早目にやっておいたほうがいいしね・・
5:25,リクヤ,メンバー（2 か月）,悲しいなぁ
5:30,red野郎,非メンバー,素晴らしいクリスマスイブですね
5:31,玩具亭 錻ー ガングテイ ブリキ ー,メンバー（2 か月）,こんばんはです。
5:33,ほしいも,メンバー（2 か月）,かなしいね
5:33,赤いフェネック,非メンバー,におわせですか？
5:33,kun Sato-,非メンバー,滑り取クリスマス
5:33,リベルレギス,メンバー（2 か月）,がんばって…
5:34,H0cura,非メンバー,せつない
5:36,矢倉,メンバー（2 か月）,先生そっち側だったか…
5:36,バイザンガ,メンバー（2 か月）,来年…
5:38,なないぬ,メンバー（2 か月）,それフラグ…
5:39,千呂,非メンバー,盛大なコントで草
5:39,yuki,非メンバー,頑張ってください…
