video_id,title,date,duration,duration_hms,num_comments,num_accounts,cps,num_members0,num_members1,num_members2,num_members3,num_members4,num_members5,num_members6
XGJanDFtW9w,【年越し】織姫星と迎える２０２１【にじさんじ/織姫星/フミ/山神カルタ/星川サラ】,2020-12-31,6792,1h 53m 12s,6135,728,0.9032685512367491,538,11,8,171,0,0,0
5dXaVEIF_V0,【雑談】新年はうちの神社に来ないか？【にじさんじフミ】,2020-12-30,7172,1h 59m 32s,3417,414,0.47643614054657,223,12,13,166,0,0,0
hZJHzFnaueM,【マリカ８DX】１時間以内に３位以上取れたら三面図を公開するできなかったらしない2回目【にじさんじフミ】,2020-12-30,4534,1h 15m 34s,2687,433,0.5926334362593736,308,7,5,113,0,0,0
SfHkHydF3CA,【バトオペ２コラボ】バトオペV決戦✨✨ヤスさんチームフミ視点【にじさんじフミ/オンドレヤス/姫熊りぼん/ぽちまる/夏梅ウルタ/芦枝レンリ】＃バトオペV決戦,2020-12-29,5615,1h 33m 35s,3053,333,0.5437221727515583,221,8,7,97,0,0,0
2gL_0auWalE,【マリカ８DX】１時間以内に３位以上取れたら三面図を公開するできなかったらしない【にじさんじフミ】,2020-12-27,4272,1h 11m 12s,2643,538,0.6186797752808989,377,13,11,137,0,0,0
Dt2h5vzqD-c,【#マリカにじさんじ杯】ゲームは初心者で不慣れですが楽しくがモットー！【マリオカート８DX/にじさんじフミ】,2020-12-26,3188,0h 53m 8s,3269,790,1.0254077791718945,593,18,12,167,0,0,0
JNnh5lTlLUA,【マリオカート８デラックス】最終日！お相手お願いします！【にじさんじフミ】,2020-12-26,13891,3h 51m 31s,3427,501,0.246706500611907,400,12,5,84,0,0,0
hg3ibhBiiZo,【メリクリ】チャンネル登録〇万個分のおいしい餅の食べ方を紹介【にじさんじフミ】,2020-12-25,3864,1h 4m 24s,2550,576,0.6599378881987578,461,9,9,97,0,0,0
vcRqzFiP-qI,【マリオカート８デラックス】おwまえwwらwww【にじさんじフミ】,2020-12-25,14383,3h 59m 43s,4834,578,0.33609121879997217,456,11,5,106,0,0,0
f7s5v0gM6Yc,【マリオカート８デラックス】対人戦！で度胸試し【にじさんじフミ】,2020-12-24,14371,3h 59m 31s,4627,624,0.3219678519240136,498,16,8,102,0,0,0
PDcTH8Yq0Yk,【マリオカート８デラックス】コースを集中練習！【にじさんじフミ(ソロ)】,2020-12-23,19523,5h 25m 23s,6046,885,0.3096860113712032,756,10,7,112,0,0,0
a8uhLrBZCD8,【検証】１分２０秒に１個ぷっちょを食べたら永遠に食べられる説【にじさんじフミ】,2020-12-21,2820,0h 47m 0s,1573,351,0.5578014184397163,244,7,5,95,0,0,0
986E2BiG0S8,【マリオカート8DX】我枠【#マリカにじさんじ杯】,2020-12-19,4122,1h 8m 42s,4258,1037,1.0329936923823386,820,14,16,187,0,0,0
Qp13RhgwXa8,【マリカ８DX】※これはメン限ではありません【にじさんじフミ】,2020-12-19,27603,7h 40m 3s,6830,594,0.24743687280368076,444,17,10,123,0,0,0
R4UBH4vbt5M,【マリカ8DX】(誰かが)１位取るまで終われまフルトイ【にじさんじ/フルトイ/フミ(視点)/ルイス・キャミー/白雪巴】,2020-12-18,4343,1h 12m 23s,1277,228,0.2940363803822243,127,3,6,92,0,0,0
bG4LQR_UDzs,こちょこちょ我慢歌枠【にじさんじ/＃ふみのとふみ/フミ/文野環】,2020-12-18,1829,0h 30m 29s,1292,271,0.7063969382176053,221,4,6,40,0,0,0
utLaEBd4lOQ,【マリカ８DX】いいぞ〜いいぞ～【にじさんじフミ】,2020-12-16,25798,7h 9m 58s,8827,752,0.3421583068454919,592,9,14,137,0,0,0
RdZaDm9acqw,【マリカ８DX】漢字間違えたけどいっか【にじさんじフミ】,2020-12-14,14789,4h 6m 29s,9606,644,0.6495368179051998,461,11,20,152,0,0,0
YA1IGRfxPhw,【ヘリウムガス】耐える方法を考えました【にじさんじフミ】,2020-12-11,1329,0h 22m 9s,1498,263,1.127163280662152,173,9,15,66,0,0,0
O6tuTZ_f1vo,【マリオカート8DX】フルトイは最下位なんて取りませんよ？？【にじさんじ/フルトイ/フミ(視点)/ルイス・キャミー/白雪巴】,2020-12-09,2237,0h 37m 17s,2807,358,1.2548055431381315,215,5,138,0,0,0,0
DqVFJewVYC4,【耐久】１本満足【にじさんじフミ】,2020-12-09,11121,3h 5m 21s,21470,3754,1.9305817822138296,3550,20,184,0,0,0,0
Oeg3SI2ZbiQ,【検証】腹ペコは、『１本満足バー』何本で満足する？【にじさんじフミ】,2020-12-09,1018,0h 16m 58s,2101,358,2.06385068762279,260,11,87,0,0,0,0
lD96muWBnls,【龍が如く７】赤ちゃんプレイを経験した神の龍が如く＃４【にじさんじフミ】,2020-12-08,12708,3h 31m 48s,6737,392,0.5301384954359458,277,11,104,0,0,0,0
8aSg2NLr1x0,【お料理【にじさんじフミ】,2020-12-05,4742,1h 19m 2s,3274,385,0.6904259805989034,293,8,84,0,0,0,0
UunkLkrLc1k,【たまねぎ】ってどこまでも皮じゃね【にじさんじ　＃フミ】,2020-12-03,4337,1h 12m 17s,4975,556,1.1471062946737376,470,7,79,0,0,0,0
