timestamp,author_name,membership,text
-0:59,インド村のオーク,メンバー（5 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:58,にゃんこですけど何か?,メンバー（6 か月）,ついえら
-0:57,Yuki,メンバー（2 か月）,:_みてるよ:
-0:57,とりん / Torin,メンバー（6 か月）,ついえら
-0:56,ベルコタ,メンバー（6 か月）,ついえら！
-0:55,錯乱ボー,メンバー（6 か月）,ついえら～
-0:55,オペレーターつうほ,メンバー（6 か月）,ついえら！
-0:54,しんめるらいたぁ,メンバー（6 か月）,ついえら！
-0:54,すずな・いちごマシュマロ,メンバー（5 か月）,ついえら
-0:54,カンノP,メンバー（6 か月）,ついえら:_めりーごーらんど:
-0:52,にゅーべるんげん,メンバー（1 か月）,ええんやで
-0:52,よぞたそ,新規メンバー,ついえら！
-0:52,タカタカ,メンバー（5 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:51,ぽち,非メンバー,ついえら！
-0:51,ギグにぃ,メンバー（6 か月）,ついえら！
-0:49,ゆえ,メンバー（5 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:47,わや,非メンバー,ついえら！
-0:46,板橋タイヤ,メンバー（3 か月）,ついえら
-0:45,なぎすけ,メンバー（6 か月）,楽しみ
-0:45,宇佐見慧音,新規メンバー,ついえら
-0:45,とーち,メンバー（6 か月）,ついえら！
-0:45,KENT 93,メンバー（1 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:43,チャイナ,メンバー（6 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:42,しりり,新規メンバー,ついえら
-0:40,あーるらん,メンバー（2 か月）,ついえら！
-0:39,楓シオン,メンバー（6 か月）,どきどき
-0:38,ウルヴァン,メンバー（1 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:37,Samもりたかさん,メンバー（4 か月）,ついえら
-0:37,カンノP,メンバー（6 か月）,wktk
-0:36,ロム,非メンバー,ついえら！
-0:32,家燃えた,メンバー（3 か月）,:_みてるよ:
-0:30,ポンカン,メンバー（6 か月）,今日は下から
-0:29,Paka,メンバー（5 か月）,ついえら！
-0:28,凛,メンバー（4 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:27,あーるらん,メンバー（2 か月）,:_みてるよ:
-0:25,Fu ry ひゅーりー,メンバー（5 か月）,見通しが甘い！(ﾊﾞｼｯ
-0:24,yルイルイ,メンバー（6 か月）,ついえら！
-0:21,みそはら,新規メンバー,MARIOKART8DELUXEマーーーーン！！！
-0:21,TNT 2_4_6-tri nitro toluene,メンバー（5 か月）,:_みてるよ::_みてるよ::_みてるよ:
-0:19,ネメジス,メンバー（5 か月）,:_みてるよ:
-0:19,とりん / Torin,メンバー（6 か月）,右から
