timestamp,author_name,membership,text
-3:07,こぎつね,メンバー（6 か月）,あれ...今年もあと5日...？
-3:06,トイレの妖精,非メンバー,まだリボン付けてたら笑う
-3:02,ハムハム,メンバー（6 か月）,待機
-2:51,melon Ice,非メンバー,待機
-2:48,ピクトグラム,メンバー（1 か月）,ソワソワ
-2:46,さらなる以上,非メンバー,待機
-2:34,あげぱん,非メンバー,待機
-2:33,湊小太郎,非メンバー,今日も寝落ちするんだろうな…
-2:24,ムギツキ2327,メンバー（6 か月）,待機
-2:22,やこやこ,非メンバー,初見です
-2:22,ささぼん。,メンバー（6 か月）,有馬記念に向けて運気上昇！！
-2:21,アクアリウム,非メンバー,待機
-2:17,スコッツ,メンバー（2 か月）,:_睡民プレミア会員一文字す::_睡民プレミア会員一文字た::_睡民プレミア会員一文字ン::_睡民プレミア会員一文字バ::_睡民プレミア会員一文字い:
-2:12,虎鉄,非メンバー,待機
-2:11,エレナブラヴァツキー,メンバー（6 か月）,久しぶりのダイヤほりなんよ
-2:08,ふうか,メンバー（1 か月）,わくわく
-2:01,カヤイドスコイ,非メンバー,待機
-1:59,thehannbunn,非メンバー,過去最高記録期待❗️
-1:56,白トンボ,非メンバー,待機
-1:50,アクアリウム,非メンバー,御利益をもらいに
-1:45,相良,非メンバー,待機
-1:42,como _,非メンバー,きた
-1:29,湊小太郎,非メンバー,私も馬券買うか？
-1:29,モリゾー,非メンバー,待機
-1:28,MK炒飯,メンバー（6 か月）,待機
-1:24,積乱雲,メンバー（6 か月）,待機
-1:23,スズミズ,非メンバー,待機
-1:14,梟のゴマ油炒め,メンバー（6 か月）,待機
-1:11,わわわ,非メンバー,おバンです。お邪魔します。
-1:10,けーま。,非メンバー,待機
-1:08,エビルみるく,メンバー（2 か月）,:_睡民プレミア会員一文字す::_睡民プレミア会員一文字た::_睡民プレミア会員一文字ン::_睡民プレミア会員一文字バ::_睡民プレミア会員一文字い:
-1:00,épée,非メンバー,待機
-0:59,佐々本ゆあ,非メンバー,待機
-0:58,神薙,非メンバー,初めてベルモンドさんの深夜の配信生で見れる…わくわくですね
-0:57,カツカツ,非メンバー,待機
-0:57,Naoki Nero,非メンバー,待機
-0:56,水平対向,非メンバー,待機
-0:53,アクアリウム,非メンバー,今の内に馬券買うのアリだな
-0:52,バベル・ボブル,非メンバー,待機
-0:43,日朝ヨヘ子,非メンバー,待機
-0:42,こぎつね,メンバー（6 か月）,ツイえら
-0:38,エレナブラヴァツキー,メンバー（6 か月）,ベルさんはどうかったんやろ？
-0:26,しゅしゅ,非メンバー,ベルさんのご利益に縋りにきました…
-0:26,くろ丸,非メンバー,待機
-0:25,Arnaldo Miyashiro,非メンバー,待機
-0:20,ﾀﾀﾞﾉﾀｸﾐﾃﾞｽ。,非メンバー,待機
-0:18,さらなる以上,非メンバー,おバン待機
-0:17,黒龍,非メンバー,待機
-0:16,トイレの妖精,非メンバー,こんなことなら石取っとけばよかったなあ
-0:09,アクアリウム,非メンバー,ツイえら
0:00,佐々本ゆあ,非メンバー,色々あったからお話聞きたいけどおばあちゃんねむいからちょっと見たら寝ます
0:06,越前悠紀,非メンバー,待機
0:06,ささぼん。,メンバー（6 か月）,大まかに…ディープインパクト産駒は外せない…
0:08,わっかちゃ,非メンバー,待機
0:11,ゼツボウ君,非メンバー,ガチャもご利益あるのか
0:11,七篠権兵衛,非メンバー,久しぶりのマイクラだ
0:14,カヤイドスコイ,非メンバー,きちゃ！
0:16,MK炒飯,メンバー（6 か月）,きちゃ
0:19,ありんこ,メンバー（6 か月）,:_睡民プレミア会員一文字お::_睡民プレミア会員一文字バ::_睡民プレミア会員一文字ン::_睡民プレミア会員一文字で::_睡民プレミア会員一文字す::_睡民プレミア会員ダイヤモンド:
0:21,Arnaldo Miyashiro,非メンバー,きちゃ
0:24,ふうか,メンバー（1 か月）,わーい！
0:24,福永宗真,非メンバー,きちゃ
0:24,メカ餅,メンバー（6 か月）,きちゃ！
0:25,SKY,非メンバー,きちゃ
0:27,スズミズ,非メンバー,きちゃ！
0:36,メカ餅,メンバー（6 か月）,:_睡民プレミア会員一文字お::_睡民プレミア会員一文字バ::_睡民プレミア会員一文字ン::_睡民プレミア会員一文字で::_睡民プレミア会員一文字す::_睡民プレミア会員ダイヤモンド:
0:36,Beeさん,メンバー（6 か月）,:_睡民プレミア会員一文字お::_睡民プレミア会員一文字バ::_睡民プレミア会員一文字ン::_睡民プレミア会員一文字で::_睡民プレミア会員一文字す::_睡民プレミア会員つるはし:
0:36,トイレの妖精,非メンバー,きちゃー
0:40,心月,非メンバー,おばんです！
0:40,ふもふもっふ,非メンバー,きちゃわね
0:42,アクアリウム,非メンバー,きちゃ
0:42,KEN IKE,メンバー（6 か月）,きちゃー
