timestamp,author_name,membership,text
-1:58:59,てるちゃん,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:51:21,darthhappy,非メンバー,ello
-1:43:43,Meg 38,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-1:29:41,ゲンム,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:12:05,20 Shao,非メンバー,ぷてぷて
-1:10:24,_ azuma,新規メンバー,:_プティ::_プティ::_ぷてち:
-1:03:17,雪風,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-1:02:05,しらたま,新規メンバー,:_プティ::_プティ::_ぷてち:
-1:01:56,なかうぃーんぬ,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:01:02,ペコネン,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-59:48,そうめり,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-58:51,こじか社員,メンバー（5 か月）,:_プティ::_プティ::_ぷてち::_りのじ:
-54:47,有,メンバー（6 か月）,:_プティ::_プティ::_プティ:
-52:19,まひる,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-43:55,ゆかゆー,メンバー（6 か月）,サムネかわいい:_ぷてち:
-42:46,ばりゅ,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-41:53,ラズゥ,非メンバー,はあサムネかわいい
-41:51,Meg 38,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-40:46,トウマ,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-40:25,まひる,メンバー（9 か月）,サムネかわいい:_ないす::_ぷてち:
-38:12,ペコネン,メンバー（10 か月）,ボイス販売の概要欄とかのおおざっぱぷり
-37:43,あきにい,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-37:19,鍵太郎,非メンバー,ぷてぷて
-35:04,たけのこ,非メンバー,Petit good morning! I LOVE YOU!
-30:24,あるー,メンバー（10 か月）,:_プティ::_プティ:
-28:25,darthhappy,非メンバー,Well I was afraid I was going to be late. Now I see it got pushed back. Oh well. Time to wait. Hope everybody is having a good day.
-27:52,有,メンバー（10 か月）,にじフェス、キービジュアルのみ参加確認
-24:49,とと,非メンバー,ぷて！？
-20:38,DO NOT ESCAPE FROM ENDIMION,非メンバー,トって何やトって
-11:54,まきめれ,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-11:50,darthhappy,非メンバー,oh it got moved up 30 minutes thats nice
-7:57,20 Shao,非メンバー,かわいい
-7:44,天使,非メンバー,かわいい
-6:46,Fumio,非メンバー,ぷてぷてかわいい
-4:40,ふぐぅ,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-2:07,アリチン,非メンバー,ぷてってきた
0:13,アリチン,非メンバー,きたぞ
0:15,あるー,メンバー（6 か月）,:_ぷてち:
0:15,まる,非メンバー,ぷて
0:20,Defaultie boi,非メンバー,Hello
0:27,ただのゲーム好き,非メンバー,こんぷてー
0:32,Fumio,非メンバー,ぷてぷて
0:32,山口登,非メンバー,ぷてぷて
0:34,トウマ,メンバー（10 か月）,きちゃ
0:34,Meg 38,メンバー（9 か月）,こんぷて
0:35,ショウ,非メンバー,こんぷてー
0:35,咲耶,非メンバー,こんぷて
0:38,John Smith,非メンバー,こんぷてっ
0:39,きち,非メンバー,ぷてぷて🦫
0:41,そら。,メンバー（2 か月）,こん:_プティ:
0:43,#00 BLST,非メンバー,こんぷて
0:44,きち,非メンバー,こんぷてー
0:51,スキャンパー村上,非メンバー,こんぷて
0:56,あるー,メンバー（10 か月）,ついえら～
1:02,Sun-ho Kim,非メンバー,ぷてぷて
1:07,セラフィーウェア,メンバー（6 か月）,こんぷて:_ぷてち:
1:12,だいき,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
1:12,こより,非メンバー,こんぷて
1:14,shiri smith,非メンバー,:elbowcough:
1:23,みかん,非メンバー,こんばんぷ〜
1:35,darthhappy,非メンバー,HEY!!!!! we are starting the show
1:40,JUN TAN,非メンバー,こんぷて
1:41,Sun-ho Kim,非メンバー,こんぷて！
1:45,紫芋乃進,メンバー（8 か月）,:_ぷてち::_プティ::_プティ::_ぷてち:
1:45,Wenlin,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
1:47,きゅーりん,新規メンバー,:_プティ::_プティ::_ぷてち:
