timestamp,author_name,membership,text
-1:36:46,ことなし,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:36:15,愛知太郎,メンバー（6 か月）,ふぁいと:_プティ:ふぁいと:_プティ:
-1:35:52,トウマ,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:33:00,なかうぃーんぬ,メンバー（6 か月）,がんば:_プティ:！
-1:30:34,ぎーさん,メンバー（6 か月）,ふぁいと！:_ぷてち:
-1:26:44,ゲンム,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:25:45,そら。,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:25:30,まろ,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:25:23,まろ,メンバー（2 か月）,ふぁいとー！
-1:23:39,クリスピー,メンバー（2 か月）,:_プティ::_プティ::_プティ::_プティ:頑張れ！
-1:22:13,いっしー,メンバー（6 か月）,慌てなければ行けるよ～
-1:21:48,ベヒんもス,メンバー（6 か月）,:_プティ::_プティ:
-1:15:14,ののイエ,新規メンバー,:_プティ::_プティ::_ぷてち:
-1:15:13,にぼし,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:01:24,mogmog,メンバー（2 か月）,ウオオオオオ
-1:00:39,nico nico,非メンバー,がんば〜！
-54:03,クリスピー,メンバー（2 か月）,かわいい
-49:30,中宮,メンバー（6 か月）,がんばれ！
-39:27,ゲンム,メンバー（2 か月）,いつも通りやれば絶対いける！
-38:02,たむりん,メンバー（6 か月）,:_プティ::_プティ:
-36:49,Sei。,非メンバー,🤞🤞🤞🤞🤞🤞
-36:27,dd d,非メンバー,がんばれ
-35:12,なーとん,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:がんばれ！
-33:46,ろこん,メンバー（6 か月）,ふぁいと～
-30:49,バッカスチョコレート,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-26:18,そうめり,メンバー（2 か月）,がんばれ～！
-17:36,紫芋乃進,メンバー（6 か月）,:_ぷてち::_プティ::_プティ:
-16:47,あきにい,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:がんばれ～
-11:27,月見だんご,メンバー（6 か月）,:_プティ::_プティ:がんばれー！
-5:10,びぃー,メンバー（6 か月）,:_ぷてち:
-3:11,정구겸,非メンバー,^^♥♥♥♥♥
