timestamp,author_name,membership,text
-14:37,ベヒんもス,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-13:42,赤パンダ,メンバー（1 か月）,:_プティ::_プティ:
-11:30,りゅか/Lucas,新規メンバー,:_プティ::_プティ::_ぷてち:
-11:28,べーわた,メンバー（10 か月）,:_プティ::_ぷてち::_プティ:
-10:27,雪華堕,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-8:00,GUINE,メンバー（10 か月）,うるはのかおむすっとしててかわいい
-7:26,月見だんご,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-7:15,幻夢音,非メンバー,楽しみ
-6:18,なふ,新規メンバー,:_プティ::_プティ::_ぷてち:
-6:12,クロ,新規メンバー,:_プティ::_プティ::_ぷてち:
-6:11,gabudoro,新規メンバー,:_プティ::_プティ::_ぷてち:
-5:38,イナ/iNA_CHAN,非メンバー,待機
-5:27,KE-TA,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-5:18,あーば,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-4:55,夜霧【よぎり】,メンバー（9 か月）,:_プティ::_プティ:
-4:42,くろあかえい,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-4:30,ばりゅ,新規メンバー,:_プティ::_プティ::_ぷてち:
-4:10,直樹カナン,非メンバー,待機
-3:57,佐藤カズマ,非メンバー,:yougotthis:
-3:37,ヤマさん,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-3:37,ふじさき,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-3:29,直樹カナン,非メンバー,ラトナ・プティを待っています
-3:27,ゆえし,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-3:23,Meg 38,メンバー（9 か月）,:_プティ::_プティ::_ぷてち:
-3:19,あゆ,非メンバー,ぷてぷて
-3:16,紫芋乃進,メンバー（7 か月）,:_ぷてち::_プティ::_プティ:
-3:02,みちゅるぎ,新規メンバー,:_プティ::_プティ:
-2:44,ノワール,新規メンバー,:_プティ::_プティ:
-2:40,べーわた,メンバー（10 か月）,:_プティ::_ぷてち::_プティ:
-2:39,あきにい,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-2:36,シュクリン,メンバー（2 か月）,:_プティ::_プティ:
-2:33,リョーん,メンバー（5 か月）,:_プティ::_プティ::_ぷてち:
-2:28,こじか社員,メンバー（5 か月）,:_ぷてち::_プティ::_プティ:
-2:28,しらたま,新規メンバー,:_プティ::_プティ::_ぷてち:
-2:15,Shirokusa Channel,メンバー（2 か月）,:_プティ::_ぷてち:
-2:00,L4,メンバー（7 か月）,:_プティ::_プティ::_ぷてち:
-1:56,mone taku,非メンバー,ぷてちOW配信に後ろ髪引かれてそうw
-1:38,そら。,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:08,柊楓 ふぃー,非メンバー,こんぷて～
-1:04,佐藤カズマ,非メンバー,人いつもより多いの？
-0:57,マルマルマルマルマル,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-0:55,zeroぞる,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-0:50,エコー,新規メンバー,:_プティ::_プティ::_ぷてち:
-0:41,スターク,非メンバー,明日か！勘違いしてた
-0:33,雷都,メンバー（10 か月）,:_プティ::_ぷてち::_プティ:
-0:27,朝ごはん伊藤君の,非メンバー,この待機時間のうちに課題終わらせるわ
-0:16,エコー,新規メンバー,ペテットさん?!
-0:10,ぼんかれー,メンバー（8 か月）,:_プティ::_プティ::_ぷてち:
-0:09,不動ハヤト,非メンバー,待機
-0:07,じうのか,新規メンバー,:_プティ::_ぷてち::_プティ:
0:02,John Smith,非メンバー,くるうう
0:04,ぼんかれー,メンバー（8 か月）,ついえら
0:05,Uロイ,非メンバー,ついえら
0:05,ぎーさん,メンバー（10 か月）,ついえら
0:06,ぱせり,非メンバー,niru17人しかフォローしてないのに郡道先生いるのおもろい
0:07,ゆかゆー,メンバー（10 か月）,ついえら！
0:07,クロ,新規メンバー,ついえら
0:08,くらすと,メンバー（6 か月）,ついえら
0:09,なかうぃーんぬ,メンバー（6 か月）,ついえら～
0:10,N buzz,非メンバー,きちゃ
0:14,ただのゲーム好き,非メンバー,こんぷてー
0:14,べーわた,メンバー（10 か月）,ツイートえらい
0:15,トウマ,メンバー（10 か月）,ついえら
0:15,月見だんご,メンバー（10 か月）,ついえら！
0:16,あきにい,メンバー（10 か月）,きちゃ
0:16,あるー,メンバー（10 か月）,こん:_プティ::_ぷてち:
0:16,ぼんかれー,メンバー（8 か月）,きちゃ
0:17,高山バスターブレード,非メンバー,きちゃ
0:17,Pchan 0815,非メンバー,きちゃ
0:18,とりしゅ,非メンバー,こんぷて～
0:19,アマヤ,メンバー（10 か月）,はじまた
0:21,_ azuma,新規メンバー,きちゃ
0:22,くちゅん!,非メンバー,ついえら！
0:22,オッパマン,非メンバー,すすっふ
0:23,sesami,非メンバー,急に来た
0:23,ちたにうむ,メンバー（6 か月）,こんぷて～
0:24,月見だんご,メンバー（10 か月）,きちゃ！
0:24,John Smith,非メンバー,こんぷてー
0:24,べーわた,メンバー（10 か月）,いきなりきたー
0:25,みょんたん,非メンバー,きちゃ
0:25,アーク,メンバー（6 か月）,こんぷて！
0:26,ろこん,メンバー（8 か月）,こんぷて～
0:27,高山バスターブレード,非メンバー,こんぷてーく
0:27,ゆかゆー,メンバー（10 か月）,こんぷてー
0:27,ほっとぱい。,非メンバー,きちゃ
0:28,くのっぷ,メンバー（10 か月）,こんぷて～
0:28,りぶ,新規メンバー,こんぷてー
0:28,Nao,非メンバー,こんぷて
0:28,くちゅん!,非メンバー,こんぷて〜
0:28,マルマルマルマルマル,メンバー（10 か月）,こん:_プティ::_ぷてち:
0:28,アマヤ,メンバー（10 か月）,こんぷて
0:29,そうめり,メンバー（2 か月）,こん:_プティ::_ぷてち:
0:29,zeroぞる,メンバー（6 か月）,こんぷて〜
0:29,ばりゅ,新規メンバー,こん:_プティ:
0:29,ふぐぅ,メンバー（9 か月）,こん:_プティ::_ぷてち:
0:30,まきのり,非メンバー,ニルさんのマークいつ見ても使徒
0:30,びぃー,メンバー（7 か月）,おはぷて
0:31,くらすと,メンバー（6 か月）,こんぷてー
0:31,とみお,非メンバー,おはようございます
0:32,ねこダム,メンバー（6 か月）,こん:_プティ::_ぷてち:
0:32,Uロイ,非メンバー,こんぷて〜
0:33,バンドエイド,非メンバー,こんぷてー
0:33,エビ天大好き,非メンバー,こんぷて～♪
0:33,KE-TA,メンバー（1 か月）,こんぷて
0:34,月見だんご,メンバー（10 か月）,こん:_プティ::_ぷてち:
0:35,ベヒんもス,メンバー（10 か月）,こん:_プティ:～
0:36,なかうぃーんぬ,メンバー（6 か月）,こんぷて～
0:36,ウナギイヌ,非メンバー,こんぷて〜
0:36,夜霧【よぎり】,メンバー（9 か月）,こんぷてーがんばえー
0:36,紫芋乃進,メンバー（7 か月）,バンガ！？
0:36,uasakatimay,非メンバー,konnpute-
0:38,エコー,新規メンバー,:_プティ::_プティ::_ぷてち:
0:38,ことなし,メンバー（10 か月）,こん:_プティ::_ぷてち:
0:38,佐久,メンバー（5 か月）,こん:_プティ:
0:38,yuto,非メンバー,おはぷてー
0:39,みゆり,メンバー（5 か月）,こん:_プティ::_ぷてち:
0:41,中宮,メンバー（8 か月）,こん:_プティ::_プティ:
0:41,クロ,新規メンバー,こん:_プティ:
0:42,はりはりー,非メンバー,にるさん子豚なの！？
0:43,べーわた,メンバー（10 か月）,こんぷて～:_ぷてち:
0:44,紫芋乃進,メンバー（7 か月）,ほぉら？
0:46,直樹カナン,非メンバー,こんぷてー
0:47,asuramazda,新規メンバー,こんぷてぃ~
0:49,あるー,メンバー（10 か月）,草
0:49,バンドエイド,非メンバー,おおniruさんだー！
0:50,ヤマさん,メンバー（9 か月）,こん:_プティ::_プティ:
0:50,雷都,メンバー（10 か月）,こん:_プティ:ー:_ぷてち:
0:50,stylishnoodle3,非メンバー,ニルさんやぁ…
0:50,あゆ,非メンバー,こんぷてー
0:51,リョーん,メンバー（5 か月）,こんぷて～
0:51,シナモン。,非メンバー,こんぷてー
0:52,びぃー,メンバー（7 か月）,見えない速度のバンガ
0:52,John Smith,非メンバー,？？
0:57,ほっとぱい。,非メンバー,こんぷて〜
1:00,なーとん,メンバー（9 か月）,こん:_プティ::_ぷてち:
1:01,安田竜,メンバー（10 か月）,こん:_プティ::_ぷてち:
1:02,ストックホルム症候群,非メンバー,こんぷて
1:02,ルーン,非メンバー,こんぷてー
1:02,直樹カナン,非メンバー,尖ってんなー
1:03,KOREこれ魚,非メンバー,こんぷてーー、
1:04,【くれあ】Clere,非メンバー,ＣＲカップでレイス制限されてたときにＲＡＳさんはバンガ使ってたな
1:06,美夜,非メンバー,にるにるいんじゃん
1:06,まろ,メンバー（4 か月）,こん:_プティ::_ぷてち:
1:07,月見だんご,メンバー（10 か月）,うるふぁ～
1:08,松崎しげらない,非メンバー,のせさん寝起き？
1:08,いっちゃん,非メンバー,とがってんねー
1:09,haze,非メンバー,こんぷて〜
1:09,わか,非メンバー,こんぷて～
1:10,nigella にげら,非メンバー,こんぷてふぁいと～
1:11,えんま。,新規メンバー,こんぷてー
1:11,_ azuma,新規メンバー,こん:_プティ::_ぷてち:
1:11,痔ェントルマン,非メンバー,こんぷて！
1:12,JDNEXAT8,非メンバー,こんぷてー
1:14,コザカナ女,メンバー（6 か月）,こんぷて〜
1:14,by Lulla,非メンバー,こんぷて
1:16,クリボー,非メンバー,ついえら
1:17,エビカツ,メンバー（10 か月）,こんぷて～
1:17,メタモン,メンバー（2 か月）,こん:_プティ:
1:18,t i i t,非メンバー,プネキこんばんは
1:18,あるー,メンバー（10 か月）,特に
1:18,びび,非メンバー,すげーニルさんだ
1:19,月影わおん,非メンバー,レイスの重要さ。。
1:20,beldum 214,メンバー（6 か月）,こん:_プティ:
1:20,Asobi NiYo,非メンバー,こんぷて～
1:23,9984 krt,非メンバー,こんぷて～
1:24,紫芋乃進,メンバー（7 か月）,キャラピックも決めないとねぇ
1:26,のはら,メンバー（10 か月）,こんぷて
1:26,たぬし,メンバー（8 か月）,こん:_プティ::_プティ:
1:28,春風ユウ,非メンバー,ジブいないのつらそ
1:32,zeroぞる,メンバー（6 か月）,あっ…
1:33,りぶ,新規メンバー,はじめまして
1:33,mone taku,非メンバー,動画じゃないniruさんや…
1:36,あきにい,メンバー（10 か月）,草
1:37,あやせ,メンバー（2 か月）,ラグあったなぁｗ
1:38,たぬし,メンバー（8 か月）,はじめまして
1:42,アマヤ,メンバー（10 か月）,唐突で草
1:43,とりしゅ,非メンバー,CRカップ＝コースティックカップ
1:44,ことなし,メンバー（10 か月）,唐突の自己紹介
1:44,あるー,メンバー（10 か月）,実質初めて
1:44,月見だんご,メンバー（10 か月）,草
1:45,べーわた,メンバー（10 か月）,自己紹介ナイス～
1:45,S T,非メンバー,急にw
1:47,まろ,メンバー（4 か月）,草
1:47,あいず,非メンバー,こんぷてー
1:48,マロン,非メンバー,急で草
1:48,mone taku,非メンバー,あっ…
1:50,味見大福,非メンバー,すげぇNIRUさんだ
1:51,エビ天大好き,非メンバー,この間、一緒にやったって言ってんかった？
1:54,そうめり,メンバー（2 か月）,あっ
1:54,_ azuma,新規メンバー,草
1:54,クロ,新規メンバー,草
1:54,Meg 38,メンバー（9 か月）,草
1:56,ベヒんもス,メンバー（10 か月）,草
1:58,りぶ,新規メンバー,あれ？1:07のスクショ・・・
2:02,成田ブライアン,非メンバー,こんぷて〜
2:10,yuukl.유우키,メンバー（3 か月）,こんぷて:_ぷてち:
2:15,まろ,メンバー（4 か月）,草
2:16,ねこのここねこ,非メンバー,ノセラルタルっしょ
2:19,あるー,メンバー（10 か月）,ｗｗ
2:21,ゆうあ_,非メンバー,やっぱNIRUさんがオーダーやるんかな？
2:22,雑魚男爵,非メンバー,画面暗くなったときのniruさん草
2:23,De Ka,非メンバー,きたわね
2:27,nigella にげら,非メンバー,しゃっふる
2:27,mone taku,非メンバー,3段に並んでるのなんかいいな
2:27,NORIS,非メンバー,背景が黒くなるとNIRUさん目しか見えないな
2:28,べーわた,メンバー（10 か月）,笑笑(*´罒`*)
2:29,瑠璃,非メンバー,画面真っ暗になると白い点だけになるの草
2:30,Meg 38,メンバー（9 か月）,草
2:30,ことなし,メンバー（10 か月）,はちゃめっちゃ
2:35,月見だんご,メンバー（10 か月）,草
2:37,びぃー,メンバー（7 か月）,一生ふざける
2:37,雷都,メンバー（10 か月）,草
2:38,味見大福,非メンバー,オクタン、ミラ、ランパで決まりw
2:39,_ azuma,新規メンバー,草
2:41,クロ,新規メンバー,草
2:43,りぶ,新規メンバー,パスファインダー
2:47,トウマ,メンバー（10 か月）,草
2:50,ねむたろう,非メンバー,NIRUさんのアイコン違和感ないの凄い
2:50,夜霧【よぎり】,メンバー（9 か月）,ワーストを攻めるじゃん
2:52,紫芋乃進,メンバー（7 か月）,鉄壁拒否ｗ
2:55,いっしー,メンバー（7 か月）,じゃブラハかな
2:57,軍師,非メンバー,ニルさんの立ち絵が画面暗くなると白い点だけになって草
2:58,コアラス,メンバー（9 か月）,こん:_プティ:
2:59,マロン,非メンバー,のせさんのグラップルみたいな
3:01,あるー,メンバー（10 か月）,もう好きなレジェンド使うの一番だったり？
3:04,ことなし,メンバー（10 か月）,草
3:08,なかうぃーんぬ,メンバー（6 か月）,草
3:12,Pchan 0815,非メンバー,草
3:15,NORU,非メンバー,立ち絵のサイズ大中小でかわいいな
3:15,りぶ,新規メンバー,のせさんパスファインダーしてほしいｗ
3:17,のはら,メンバー（10 か月）,神ウルトほんと草
3:17,ゆえし,メンバー（1 か月）,草
3:19,べーわた,メンバー（10 か月）,楽しそうでいいね～
3:26,雑魚男爵,非メンバー,ところでチーム名どうするんですか？
3:28,くらすと,メンバー（6 か月）,あのふさいだ場所そこかｗ
3:29,シナモン。,非メンバー,草
3:30,レタス,非メンバー,にるくん1番小さいのかわいい
3:38,味見大福,非メンバー,NIRUさん視点ってあるんだろうか
3:42,キルミルク,非メンバー,空気うまうま
3:45,あるー,メンバー（10 か月）,:_おのじ:
3:52,asuramazda,新規メンバー,ぷてちのキーボードの音？
3:53,ぜらにうむ,非メンバー,Twitchで配信してます
4:04,月見だんご,メンバー（10 か月）,ないす！
4:05,雑魚男爵,非メンバー,niruさん視点はTwitchにありますよ
4:07,直樹カナン,非メンバー,ようあてんなぁ
4:15,まろ,メンバー（4 か月）,つよいなー
4:24,くらすと,メンバー（6 か月）,ないすー
4:24,なかうぃーんぬ,メンバー（6 か月）,ないすぅ～
4:26,べーわた,メンバー（10 か月）,ナイス～
4:27,あるー,メンバー（10 か月）,ないすぅ
