timestamp,author_name,membership,text
-11:26,Rain,非メンバー,今日はちゃんぽん取ったら9000円貰えるからおいしい
-11:16,Y.Y,非メンバー,ニルさんいて草
-11:02,ぽっぽ0727,非メンバー,Niruでれるの？
-10:31,Rain,非メンバー,もう3人揃ってる
-10:14,まろ,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-10:14,月見だんご,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-9:59,miro,非メンバー,ニル氏！？
-9:59,べーわた,メンバー（6 か月）,いつも以上にみんなの名前が
-9:29,ゆかゆー,メンバー（6 か月）,遅延ないんだ〜
-9:18,Y.Y,非メンバー,昨日試合前のラストだと思ってたから全員揃ってよかった
-9:04,T1_TEGOSHI YUYA,非メンバー,ニル氏おるけど
-8:59,プチトマト,メンバー（6 か月）,使いまわしなだけじゃない？
-8:54,ことなし,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-8:39,Rain,非メンバー,いや、もうカスタム画面にいる
-8:35,やのがのふ,新規メンバー,:_プティ::_プティ::_ぷてち:
-8:35,ミズキ,非メンバー,ニルさん配信してるからいるで
-8:32,嗅い猫の日常ch,非メンバー,ニルさんいけるみたいなん昨日のコソ練で言ってたよ
-8:27,月見だんご,メンバー（6 か月）,むしろ彼女大丈夫なんだろうか…
-8:24,愛知太郎,メンバー（6 か月）,渋ハルカスタムもうCRカスタムやんけ！
-8:20,プチトマト,メンバー（6 か月）,まじか
-7:58,ヤマさん,メンバー（6 か月）,:_プティ::_ぷてち::_プティ::_ぷてち:
-7:57,流川めいぷる,メンバー（6 か月）,確かにもしかしたら・・とは言ってたね
-7:28,miro,非メンバー,ニル氏ストイックやんけ、、
-7:16,ZA EL-,非メンバー,もしかしたらって明日じゃなかったけ?
-6:20,20 Shao,非メンバー,今誰呼？
-6:16,トロびんちょう,非メンバー,フラれたんけ？ニルさんもこっち側に仲間入りか。
-6:06,Y-2ダマヤ,メンバー（6 か月）,今日はお許しが出たらしい
-6:04,戦睡魔,非メンバー,昨日不調やって、今日彼女からお許しが出たらしい
-5:53,min min,非メンバー,懐の深い彼女や
-5:48,miro,非メンバー,優しい、
-5:46,Rain,非メンバー,いい彼女や
-5:44,ToY,非メンバー,ニルさん明日居ないんやで、、、
-5:42,ZA EL-,非メンバー,やさしぃなぁ♡💢
-5:36,ぷにぷににゃんこ,新規メンバー,優しい彼女さんですね
-4:22,佐久,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-3:49,紫芋乃進,メンバー（6 か月）,渋ハル煽りよるｗ
-3:26,月見だんご,メンバー（6 か月）,優しい彼女いいね！ニルかのてぇてぇ
-2:59,donkooo,非メンバー,優しい
-2:23,りぶ,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-1:25,りぶ,メンバー（1 か月）,開始忘れてる説微レ存
-1:25,べーわた,メンバー（6 か月）,:_プティ::_ぷてち::_プティ:
-1:23,mone taku,非メンバー,どうせ隣に彼女がいるんや…羨ましくなんか…
-1:21,すくりむ,非メンバー,良い彼女さんや
-0:51,Ken Yami,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-0:36,ベヒんもス,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
