timestamp,author_name,membership,text
-1:08:39,あきにい,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-1:07:06,ばりゅ,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-1:06:31,そら。,メンバー（2 か月）,:_プティ::_プティ::_ぷてち:
-1:05:07,西森もりもり,新規メンバー,:_プティ::_プティ::_ぷてち:
-52:25,月見だんご,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-51:56,ゲンム,メンバー（2 か月）,そういえばチーム名決まったんだろうか
-49:53,カオス使い魔,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-39:03,レジギガガス,非メンバー,うるふぁ
-34:41,ペコネン,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-33:53,へずま教うんこで論破,非メンバー,キモ
-28:00,アーク,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-26:10,ゆかゆー,メンバー（10 か月）,一ノ瀬さんになんか草
-25:10,ぎーさん,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-25:02,ねこダム,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-24:33,アマヤ,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-24:32,エクパル,新規メンバー,:_プティ::_プティ::_ぷてち:
-17:14,20 Shao,非メンバー,ぷてぷて
-13:23,エビカツ,メンバー（10 か月）,:_プティ::_プティ::_ぷてち:
-13:03,クロ,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-12:37,べーわた,メンバー（10 か月）,:_プティ::_ぷてち::_プティ:
-9:28,にんじん,非メンバー,ぷてぷて
-9:21,ことなし,メンバー（6 か月）,:_プティ::_プティ::_ぷてち:
-9:13,びぃー,メンバー（6 か月）,こんぷて
-9:05,はーり,非メンバー,きちゃー
-8:51,にぼし,メンバー（5 か月）,:_プティ::_プティ::_ぷてち:
-8:42,はーり,非メンバー,なんかみんな６２５って言ってるけどまだ正式名じゃなかったはずよね
-7:35,ぺぺ,非メンバー,ぷてぷて
-7:28,ゲンム,メンバー（2 か月）,なんか数字だと不便だった気がする
-7:11,ソーマ,メンバー（1 か月）,:_プティ::_プティ::_ぷてち:
-6:43,yosimitu,メンバー（5 か月）,:_プティ::_プティ::_ぷてち:
