timestamp,author_name,membership,text
-0:58,酢酸水溶液,メンバー（1 年）,:_道絵文字:
-0:57,心太,メンバー（1 か月）,整備班頼むで
-0:56,まっきー,メンバー（1 か月）,:_ヘル絵文字::_エスタ::_ア絵文字::_ア絵文字::_ア絵文字::_ア絵文字::_ンバイ:
-0:56,雅ガニ,非メンバー,開幕エンストだけは避けたい
-0:53,狙撃のゴス,非メンバー,皇女しか勝たん
-0:52,【くれあ】Clere,非メンバー,1720時再開予定！！ 1720時再開予定！！
-0:51,夢見・るひよこ,メンバー（1 年）,本当の意味で今日は落ちない、通過あるのみ！
-0:50,もも!,新規メンバー,:_武絵文字::_武絵文字:
-0:50,。たろうまる,非メンバー,高速の皇女！！
-0:49,るーらー,非メンバー,ヘルエスタンバイ
-0:47,くろーヘルエスタ王国のカラス,メンバー（6 か月）,:_文絵文字::_文絵文字:
-0:45,タクティカルアーモンド,メンバー（6 か月）,:_セバスピヨ::_セバスピヨ::_セバスピヨ::_セバスピヨ::_セバスピヨ::_セバスピヨ::_セバスピヨ:
-0:40,ふぉぶりん,メンバー（1 年）,今日ばかりは白旗ではなくチェッカーフラッグを🏁
-0:38,翔pレイン推し,非メンバー,リゼ皇女頑張ってください！
-0:38,銀慈,メンバー（1 年）,ドキドキ…
-0:36,月海,メンバー（6 か月）,整備班一番いい調整を頼む
-0:36,ハリー,非メンバー,皇女がんばれ〜
-0:36,青柳大河Aoyagi Taiga,メンバー（1 年）,:_激絵文字::_ア絵文字::_ツ絵文字::_人絵文字::_望絵文字::_エスタ:
-0:35,ニア,メンバー（2 か月）,ジャイロ確認よし！
-0:35,ろいす,メンバー（6 か月）,ファイト〜！！！
-0:33,マツリカ,メンバー（1 年）,ヘルエスタンバイ！
-0:30,おばけい,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:30,らむくん,メンバー（6 か月）,:_三角こん::_ニコニコ:
-0:29,黒犬のウィズ,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:26,ぼんじり,メンバー（1 年）,:_激絵文字::_ア絵文字::_ツ絵文字:光回線
-0:26,こむぎや。,メンバー（1 年）,整備班今日はしっかり頼むぞ
-0:24,いーと,メンバー（2 か月）,:_夜見に感謝::_夜見に感謝::_夜見に感謝:
-0:24,てぃーだ,メンバー（6 か月）,リゼ様ファイト！
-0:21,NowmaN,非メンバー,１７２０再開だけど大丈夫か？
-0:21,マツリカ,メンバー（1 年）,🏁🏁🏁🏁🏁
-0:20,Rodge:ろっじ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:17,荒耶志貴,メンバー（6 か月）,500Mbpsの速さ、見せてあげましょう！
-0:14,Zeny,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:13,【】Toa【】,メンバー（6 か月）,がんばれ〜
-0:12,ベーコンチーズバーガー,メンバー（1 年）,ミニマップ出した？
-0:11,。たろうまる,非メンバー,飴舐めときな
-0:11,みこでら,非メンバー,ヘルエスタンバイ！
-0:10,灰色,メンバー（6 か月）,整備班頼んだぞ…
-0:10,ジャー人,非メンバー,ヘルエスタンバイ！
-0:07,銀慈,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:06,辰井龍,非メンバー,とりあえずドラゴンどうしようか⋯⋯
-0:04,KAZUU 参,メンバー（6 か月）,なんか、色々、おきてるみたいだな他もｗ
-0:03,カナリア,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:02,おしゃ,メンバー（1 か月）,整備ヨシ！ジャイロヨシ！
-0:02,なまむぎなまごめなまたまご,新規メンバー,:_ヘル絵文字::_エスタ::_ンバイ:
-0:02,純粋なTakegushi,メンバー（1 年）,:_ア絵文字::_スタート:
-0:01,夢見・るひよこ,メンバー（1 年）,アピール用のネタ画像仕込めましたか？
-0:00,でぃあべる,非メンバー,ヘルエスタンバイ
0:03,ちょーろー,メンバー（1 年）,:_激絵文字::_ア絵文字::_ツ絵文字::_ヘル絵文字::_エスタ:
0:03,小夜啼鳥,非メンバー,開始時間まにあうかな？
0:04,Lost 495,メンバー（1 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:05,マツリカ,メンバー（1 年）,ヘルエスタート！
0:06,舌噛み雀,メンバー（6 か月）,🏁
0:06,ノーデータ・快郎,メンバー（1 か月）,はじまった！
0:07,生煮えペロペロキャンディー,メンバー（6 か月）,ジャイロ警備員だ！
0:07,月海,メンバー（6 か月）,👊🔥🏁ﾞ
0:07,爆走ボンバー,非メンバー,ヘルエスタンバイ！
0:08,縺ョ繧阪o繧後h,非メンバー,あこ
0:08,カント,メンバー（1 か月）,光回線引いてるなら勝てるな
0:09,ロッククマ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:09,astona,メンバー（1 か月）,ジャイロしないように指差し確認！！
0:10,夢見・るひよこ,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
0:10,cifica/しふぃか,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
0:11,黒王子,メンバー（6 か月）,きちゃ！
0:13,ノーワーク・ノーライフ代表 木月,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:15,ツナとナッポー,非メンバー,こんばんは〜
0:15,流季‐リュウキ‐,メンバー（1 年）,公式はじまった
0:15,シンス0099・アーマードコア難民,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:15,ちほむぎ,メンバー（1 年）,:_三角こん::_にちは::_ニコニコ:
0:16,あいてぃー.,非メンバー,やぁ
0:17,茶ぶ,非メンバー,リゼ様頑張れー
0:17,トミー,メンバー（2 か月）,:_三角こん::_にちは::_ニコニコ:
0:17,ハイラム・ビンガム,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:18,酢酸水溶液,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
0:19,のんびり鴉天狗,メンバー（2 か月）,:_三角こん::_にちは::_ニコニコ:
0:19,フェレお,非メンバー,勝て！
0:19,ブンエン,非メンバー,ヘルエスタート！
0:19,灰色,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:19,U-riユーリ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:20,kaniko,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:20,でこゔぉこ,非メンバー,きちゃあ！
0:20,Anya Mira / アニャミライ,メンバー（2 か月）,ミュート
0:20,ゴッツ,新規メンバー,きちゃ！
0:21,ヘルエスタの苗木,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:21,じーく,メンバー（6 か月）,ミュート！
0:21,ともっち,メンバー（1 年）,こんにちはー！
0:21,オムライスター,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:21,クラウン,メンバー（1 年）,ヘルエスタート！
0:21,桜取紙,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:21,髙野ぐるり,メンバー（6 か月）,きちゃ！！
0:21,かりかりかりーぱん,メンバー（1 年）,:_三角こん::_にちは::_ニコニコ:
0:21,れなっち,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:21,レイ,非メンバー,ヘルエスタンバイ！
0:21,トミー,メンバー（2 か月）,ミュート？
0:22,ほた,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:22,湊ミライ,メンバー（1 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:22,umi,メンバー（2 か月）,きちゃあああああ
0:23,リスナー全一,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:23,しょーやくん,メンバー（1 か月）,はじまた…！
0:23,バーチャルハイボール,新規メンバー,きちゃ！
0:23,ささ,メンバー（1 年）,殿下様ファイト！
0:23,。たろうまる,非メンバー,やってやりあしょー
0:24,キャプテン・シズオカ,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:25,ろいど,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:25,tokura,メンバー（1 年）,ミュートかな
0:25,小川十乃,非メンバー,ヘルエスタート！
0:25,Ddfugv Fyghi,非メンバー,きちゃ
0:25,腐ァブリーズ.,新規メンバー,:_ヘル絵文字::_エスタ::_スタート:
