timestamp,author_name,membership,text
-0:14,西海晴人,非メンバー,2番人気はフィエールマン
-0:14,たらのこ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:14,アカネコ,メンバー（6 か月）,ついえら！
-0:14,あきカレー,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ::_人絵文字::_参絵文字:
-0:14,荒耶志貴,メンバー（6 か月）,ついえら！
-0:14,シズオ・シオン,メンバー（6 か月）,ついえら！
-0:13,ろいど,メンバー（1 年）,ついえら
-0:13,遅刻神かりん,メンバー（6 か月）,ついえら
-0:13,もす,非メンバー,ついえら!
-0:13,颯爽,非メンバー,ツイートできてえらい！
-0:13,ナードパセリ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:12,ヘルエスタのバイク乗り,メンバー（6 か月）,掛金:_激絵文字::_ア絵文字::_ツ絵文字:
-0:11,局長,メンバー（1 年）,自分なりの買い方済ませたから後は皇女に相乗りかなぁ
-0:11,Shin-G,非メンバー,国庫激アツになれるか
-0:10,KAZUU 参,メンバー（6 か月）,天皇賞連覇とな
-0:10,umi,メンバー（2 か月）,ついえら！
-0:09,田中化学,メンバー（6 か月）,ついえら
-0:09,きんととぴより,非メンバー,ついえら
-0:09,ハイラム・ビンガム,メンバー（1 年）,:_人絵文字::_参絵文字::_ヘル絵文字::_エスタ:
-0:09,mya mya,メンバー（1 年）,ついえら
-0:08,ことぶき,新規メンバー,ついえら！
-0:08,ユーナ,非メンバー,クロノ君スクスクやで
-0:08,テケテケ1号機,メンバー（1 年）,ついえら！
-0:08,とりん / Torin,メンバー（1 年）,ついえら！
-0:07,Fuyuno. / フユノ,非メンバー,ついえら
-0:07,雅ガニ,非メンバー,ついえら
-0:07,とーま,メンバー（6 か月）,ついえら！
-0:06,オーマジオウオーマジオウ,非メンバー,闇のゲームヘルエスタンバイ！
-0:06,S Key,メンバー（6 か月）,:_ア絵文字::_ツ絵文字::_ア絵文字::_ツ絵文字::_激絵文字::_ア絵文字::_ツ絵文字::_人絵文字::_参絵文字:
-0:06,青リンゴ。,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:05,くず鉄with女子小学生,メンバー（1 年）,ついえら！
-0:05,めぐ民,メンバー（1 年）,ツイエラ！
-0:05,笛を吹く少年,メンバー（1 年）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:04,ベルマーク,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:04,仙堂ユウスケ,メンバー（6 か月）,ついえら
-0:04,reki 8239,非メンバー,ついえら!
-0:04,kaniko,メンバー（6 か月）,ついえら
-0:03,こうが,非メンバー,お嬢17万掛けたって･･････
-0:03,リスナー全一,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_人絵文字::_参絵文字:
-0:03,Virtual van Dijk,新規メンバー,ついえら！
-0:03,響みみち,メンバー（1 年）,:_降絵文字::_参絵文字::_しろはた:
-0:03,ツナとナッポー,非メンバー,ついえら！
-0:02,アカネコ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:01,サルミアッキ,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
-0:00,Paka,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:02,Kelvin K,メンバー（2 か月）,:_ヘル絵文字::_エスタ::_ンバイ:
0:03,なまむぎなまごめなまたまご,新規メンバー,:_ヘル絵文字::_エスタ::_ンバイ:
0:04,ロゼ,非メンバー,ヘルエスタンバイ
0:04,青狸,非メンバー,ついえら！
0:04,ノーワーク・ノーライフ代表 木月,メンバー（1 年）,ついえら！
0:06,びぃえるてぃ,メンバー（1 年）,:_人絵文字::_参絵文字:
0:07,マツリカ,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:08,ふれふれうんたら,メンバー（6 か月）,サンクス
0:09,r t,メンバー（6 か月）,:_三角こん::_にちは::_ニコニコ:
0:09,ヤマブキエンジュ,非メンバー,遊戯王かな？
0:09,雀さん,メンバー（1 年）,ヘルエスタート！
0:12,ビオランテ,非メンバー,始まった
0:13,Flak,新規メンバー,:_三角こん::_ニコニコ:
0:13,モノ,新規メンバー,賭けてないのにドキドキしてきた
0:13,ビッグマリモ,メンバー（6 か月）,:_ア絵文字::_ツ絵文字:モリ
0:13,ノーデータ・快郎,メンバー（1 か月）,お、オープニング無し
0:17,銀慈,メンバー（1 年）,:_ヘル絵文字::_エスタ::_スタート:
0:17,丘陵,非メンバー,こん^^
0:18,mcハム,メンバー（1 年）,:_三角こん::_にちは::_ニコニコ:
0:19,ガンコウジン,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:21,流季‐リュウキ‐,メンバー（1 年）,:_三角こん::_ニコニコ:
0:21,。むい,メンバー（1 年）,:_三角こん::_にちは::_ニコニコ:
0:21,仙堂ユウスケ,メンバー（6 か月）,:_三角こん::_にちは::_ニコニコ:
0:21,ミカミ,メンバー（6 か月）,:_ヘル絵文字::_エスタ::_スタート:
0:21,めぐ民,メンバー（1 年）,おりますですよ
