timestamp,author_name,membership,text
-54:22,かたなし。,非メンバー,チャーハン待機
-53:46,柿助,メンバー（1 か月）,秋刀魚きちゃあ！( =＾ω＾)楽しみ
-52:13,イマジナリーsister,非メンバー,もうちょっとで13万人！待機！
-52:11,hamo49689,非メンバー,確定申告終わったのかしらん？
-52:04,こっこどぅるる,メンバー（1 か月）,:_チャーハン:
-50:53,こっこどぅるる,メンバー（1 か月）,チャーハン食べてるのかわいい
-49:28,お蕎麦ススル,新規メンバー,チャーハン美味しそう
-43:04,充希,メンバー（1 か月）,MJK48（麻雀回48）かー
-42:43,1 poison,非メンバー,いっぱい食べる君がスキー♪マージャンチャーハン♪
-41:02,長者わらしべ,非メンバー,チャーハーン♪
-38:58,Xあまくらげ,非メンバー,当たったら勝手に漢気しちゃお
-36:30,鳥一朗,メンバー（1 か月）,mgmgルイス
-34:44,モカ,メンバー（1 か月）,:_チャーハン:
-33:30,4869,非メンバー,詰込み過ぎたリスのようだ…。
-29:21,CNA【しな】,メンバー（1 か月）,:_チャーハン:
-28:32,小野近衛,メンバー（1 か月）,:_だはー::_てんぼう:
-28:00,こっこどぅるる,メンバー（1 か月）,:_チャーハン:
-27:49,うっかり助兵衛,非メンバー,今日は豪快に秋刀魚炒飯か
-27:35,華那魅{かなみ}ヴェンデッタ,メンバー（1 か月）,:_チャーハン:
-25:55,大喬「・8・」,メンバー（1 か月）,:_チャーハン:
-21:13,モビルスーツ大海[おおうみ],メンバー（1 か月）,:_チャーハン:
-16:09,いぬ,メンバー（1 か月）,:_チャーハン:
-13:17,ピエール,メンバー（1 か月）,:_チャーハン:
-13:11,シルベチカSylvatica,メンバー（1 か月）,:_チャーハン:
-12:26,ジケシ,メンバー（1 か月）,:_チャーハン:
-11:41,奈落モード猫,非メンバー,🍛
-10:27,柿助,メンバー（1 か月）,:_チャーハン:
-7:51,kakesu,メンバー（1 か月）,:_チャーハン:
-6:52,タッツー,メンバー（1 か月）,:_チャーハン:
-3:43,A5飛騨牛,非メンバー,漢気なの？今回
-3:39,綾瀬直徒,メンバー（1 か月）,(なにか違う物が混じっている…？)
-3:35,流浪の旅人,新規メンバー,:_チャーハン:
-2:46,ぴっぴら,新規メンバー,:_チャーハン:
-2:02,鵺丸堂,非メンバー,普通にサンマなんだろうけど進行中のイベント的には漢気したい
-1:34,纏まるアウラ,メンバー（1 か月）,役満狙いかな
-1:30,ラピスラズリ,新規メンバー,:_チャーハン:
-1:23,A5飛騨牛,非メンバー,あー確かに
-0:55,さねあき,メンバー（1 か月）,:_だはー:…:_だはー:…
-0:38,鵺丸堂,非メンバー,ポイント3割はかなり痛いのよねぇいくら高く和了りやすくても
-0:35,あじふらい,メンバー（1 か月）,:_だはー::_だはー:
-0:35,MANA GAKU,メンバー（1 か月）,:_だはー::_だはー:....
-0:14,オタカラ爆破,メンバー（1 か月）,:_だはー::_だはー:
-0:10,こっこどぅるる,メンバー（1 か月）,ついえら
-0:09,のるど,メンバー（1 か月）,:_だはー::_だはー:
-0:08,さく,メンバー（1 か月）,ついえら
-0:05,イズ-izu-,新規メンバー,:_だはー:…:_だはー:…
-0:00,綾瀬直徒,メンバー（1 か月）,ついえら！
0:06,イマジナリーsister,非メンバー,ついえら！
0:09,こーすけ,メンバー（1 か月）,:_だはー::_だはー:
0:13,がのさ,新規メンバー,:_だはー::_だはー:
0:14,ゴッツ,非メンバー,ついえら！
0:23,こっこどぅるる,メンバー（1 か月）,きちゃ
0:25,acceljoker sufiaru,非メンバー,ついえら
0:26,シエスタ,非メンバー,ついえら
0:29,kakesu,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
0:32,イマジナリーsister,非メンバー,きちゃ！
0:44,vtuber大好きアキーーー,非メンバー,ついえら！
0:48,真薙:まち,非メンバー,冬の曲いいよね
0:50,イズ-izu-,新規メンバー,:_こんー::_だはー::_てんぼう:
0:53,MCラジカル,メンバー（1 か月）,今来た
0:53,MANA GAKU,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
0:54,むいむい,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
0:57,あじふらい,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
0:57,サトシ,非メンバー,こんだは〜
0:58,こっこどぅるる,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
0:58,華那魅{かなみ}ヴェンデッタ,メンバー（1 か月）,:_こんー::_だはー:
1:01,りょ〜ちん,非メンバー,こんだはー
1:01,おし,非メンバー,こんだはー
1:01,MCラジカル,メンバー（1 か月）,こんだはー
1:01,kei itou,非メンバー,こんだはー
1:03,beni syoga,非メンバー,こんだはー
1:05,P2020,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
1:05,ポン酢,非メンバー,こんだはー！！
1:05,ゴッツ,非メンバー,こんだはー！
1:05,雨雲デンジ,非メンバー,こんだは～
1:06,ろじゅ,非メンバー,こんだはー
1:10,奈落モード猫,非メンバー,サンマとな
1:10,A5飛騨牛,非メンバー,こんだは
1:12,ジケシ,メンバー（1 か月）,こんだはー
1:12,こめかみピストルズ,非メンバー,こんだはー！
1:16,こっこどぅるる,メンバー（1 か月）,冬景色だ！
1:16,vtuber大好きアキーーー,非メンバー,こんだはー！
1:20,黒薬,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
1:23,oscar3rd,非メンバー,チャーハン大盛ください
1:27,さゆとき,メンバー（1 か月）,久々麻雀？
1:27,Mel,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
1:29,Lami,非メンバー,よろしゃす！
1:32,小野近衛,メンバー（1 か月）,:_こんー::_だはー::_てんぼう:
1:32,トリウナギ,非メンバー,こんだはー
1:33,ジン,非メンバー,こんばんは〜
1:35,ブルー1010035,非メンバー,これ初心者でもオッケーなやつ？
1:38,こっこどぅるる,メンバー（1 か月）,お腹大変だったね
1:40,ゴブはざくら,非メンバー,こんだはー
1:44,フラン,非メンバー,こんだはー！！
1:49,鏡餅たん,非メンバー,こんだはー
1:52,おざぴん,メンバー（1 か月）,ナンてこった
2:23,ラーメン四郎,非メンバー,いいね
2:26,灯火,非メンバー,いいよ
2:26,気まぐれカナリア,非メンバー,ええんやない？
2:32,綾瀬直徒,メンバー（1 か月）,やりましょう！
2:32,vtuber大好きアキーーー,非メンバー,問題ないはず。
2:32,オトーフ,非メンバー,いいよー
2:35,南四暗緊急事態,非メンバー,そもそも友人戦カウントされるの？
2:35,道化師,メンバー（1 か月）,友人戦でもいけるのか
2:35,纏まるアウラ,メンバー（1 か月）,やってみよ
2:35,P2020,メンバー（1 か月）,友人戦だし
2:37,紅茶民,メンバー（1 か月）,楽しそうｗ
2:38,十範助,非メンバー,サンマはポイント割られるんじゃ？
2:45,くるっくーくるっくー,非メンバー,新春麻雀杯の詳細なルールってまだ未発表？
2:46,レオニクス0713,非メンバー,16万ポイントｗｗｗ
2:53,こっこどぅるる,メンバー（1 か月）,試してみようｗ
2:58,ノア・ナクア,メンバー（1 か月）,卑怯
2:58,さくらエビ,非メンバー,上がりてんだから原点は関係ないよ
2:58,Yu-1,メンバー（1 か月）,最大20万ｗ
3:01,真薙:まち,非メンバー,和了点だよ
3:01,ノダメ,非メンバー,上がった点数よ？
3:03,さゆとき,メンバー（1 か月）,やるべw
3:04,灯火,非メンバー,やろうｗ
3:09,奈落モード猫,非メンバー,！？
3:12,oscar3rd,非メンバー,アガった点数だから原点関係なし
3:12,ゴッツ,非メンバー,草
3:13,こっこどぅるる,メンバー（1 か月）,２０万は草
3:15,綾瀬直徒,メンバー（1 か月）,終わる！？
3:15,フラン,非メンバー,！？
3:16,ツクシ-294-,非メンバー,頭おかしいｗ
3:16,かなつき,メンバー（1 か月）,草
3:17,柿助,メンバー（1 か月）,開幕草
3:17,あじふらい,メンバー（1 か月）,草
3:18,イマジナリーsister,非メンバー,友人戦のつよみ
3:20,MANA GAKU,メンバー（1 か月）,アガリ点では？
3:21,Xあまくらげ,非メンバー,たっか！
