timestamp,author_name,membership,text
-3:37,たなかバンナー,メンバー（5 か月）,待機□
-3:35,Kelvin Kam,メンバー（4 か月）,待機□
-1:09,曲復,メンバー（6 か月）,待機□
-1:06,人導犠炎,非メンバー,待機
-1:02,まつカぜ,メンバー（7 か月）,□
-0:54,結愛,非メンバー,待機
-0:48,しとい,非メンバー,待機
-0:47,まつカぜ,メンバー（7 か月）,笑顔がすてき
-0:34,Stereochrome,非メンバー,待機
-0:22,みぞの,メンバー（7 か月）,待機
-0:16,フィーカ,非メンバー,待機
-0:04,リーン,メンバー（2 か月）,□
0:12,たなかバンナー,メンバー（5 か月）,きちゃ
0:14,マルセミコウモリ,メンバー（8 か月）,ふじまった
0:16,rantan621,メンバー（7 か月）,こんばん□
0:19,INO,メンバー（3 か月）,きちゃ
0:21,Kelvin Kam,新規メンバー,きちゃ
0:26,00 ajora,メンバー（8 か月）,こんばんふぁ
0:32,たなかバンナー,メンバー（5 か月）,ついえら
0:37,クーガー,メンバー（7 か月）,こんばん□
0:41,rantan621,新規メンバー,草
0:41,みぞの,メンバー（7 か月）,こんばん□
0:44,Grave Digger,メンバー（8 か月）,こんばん□
0:44,INO,メンバー（3 か月）,ついえら
0:45,Kelvin Kam,メンバー（4 か月）,こんばん□
0:46,フィーカ,非メンバー,こんばんファ
0:46,たんぼ,メンバー（8 か月）,こんばん□
0:48,まつカぜ,メンバー（7 か月）,こんばん□〜
0:51,たなかバンナー,メンバー（5 か月）,やりながらw
0:56,ジャンプマン,メンバー（8 か月）,こんばん□〜
0:56,SAMO TETE,非メンバー,ついえら
1:01,noriko sq,メンバー（4 か月）,こんばん□！！
1:11,tomomalu,非メンバー,こんばんファ！
1:23,炬【たいまつ】,メンバー（7 か月）,こんばん□
1:27,天神,メンバー（6 か月）,こんばん□
1:34,たなかバンナー,メンバー（5 か月）,草
1:34,rantan621,メンバー（7 か月）,このマオはコンピューターかな…
1:41,結愛,非メンバー,こんばんファ
1:57,ナベアナンベア,非メンバー,こんばんファ〜
1:59,00 ajora,新規メンバー,運転うまいやん
2:03,稲郷利一,メンバー（5 か月）,こんばん□！
2:07,たなかバンナー,新規メンバー,こんばん□
2:24,リア。,非メンバー,こんばんファ〜
2:52,宮熊イサナ,メンバー（4 か月）,こんばん□
3:15,純ヘカピース,非メンバー,強くない？
3:19,つばじろー,メンバー（3 か月）,ジャンプアクションうまい！
3:26,rantan621,メンバー（7 か月）,まちゅ…
3:33,ジャンプマン,メンバー（8 か月）,レヴィちゃんが強い…だと…
3:37,のの,メンバー（2 か月）,草
3:37,たなかバンナー,メンバー（5 か月）,ゴタゴタで草
3:45,宮熊イサナ,メンバー（4 か月）,一位おめー
3:48,Naoya Arai,非メンバー,あ・・・
4:02,シメ,メンバー（7 か月）,幸先がいい……解釈違いですね
4:17,トキワ,メンバー（8 か月）,バランス崩壊
4:26,ビスコエンジニアリング,非メンバー,こんばんは
4:35,のの,メンバー（2 か月）,かわいい
4:38,MIXED1JELLY,メンバー（5 か月）,こんばんファ□
4:46,紅鮭弁当,メンバー（2 か月）,こんばん□
4:48,Kelvin Kam,新規メンバー,草
4:49,リュウ.,非メンバー,こんばんはー
4:54,00 ajora,メンバー（8 か月）,草
4:54,noriko sq,新規メンバー,カオス
4:59,ジャンプマン,メンバー（8 か月）,こんれーなーってなんだ…？
5:11,たなかバンナー,メンバー（5 か月）,徐々に消えてくレース
5:42,稲郷利一,新規メンバー,確認されると怖いのわかる
6:11,木茂トマト,メンバー（7 か月）,こんばん□
6:19,麻呂ノール,非メンバー,こんばんは！初見です
6:20,稲郷利一,メンバー（5 か月）,あかちゃんおるね
6:22,rantan621,メンバー（7 か月）,おぉ…ぅお…
6:26,INO,メンバー（3 か月）,草
6:28,九条陸太郎,新規メンバー,こんばん□
6:45,あるけみぃ,非メンバー,こんばんファ
6:57,大天使さもりえる,非メンバー,こんばんファ～
7:03,Defaultie boi,非メンバー,Hello.
7:05,わわわ,新規メンバー,こんばん□
7:11,たいやき,メンバー（1 か月）,こんばんファー
7:11,たなかバンナー,新規メンバー,？？
7:16,タワヴァ!!,非メンバー,レヴィちゃんがんばれー！優勝しろー！
7:18,sax電話,非メンバー,こんばんファ
7:33,rantan621,メンバー（7 か月）,これは観戦からかな
7:36,たなかバンナー,新規メンバー,ありゃ
7:43,すめしおいしい,非メンバー,草
7:44,・ 暦・,非メンバー,こんばんファー
7:50,みぞの,メンバー（7 か月）,ﾏﾆｱﾜﾅｶｯﾀ...
7:50,トキワ,メンバー（8 か月）,実況がんばれ
7:52,ザーラZ,非メンバー,悲しいなぁ
8:36,INO,新規メンバー,今日はMii限定じゃないのね
8:43,オーレ・ウェルギウス,非メンバー,こんばんファー
8:58,さくさくキノコ,非メンバー,こんばんファ〜
9:46,もりむら,非メンバー,こんばんは
9:53,rantan621,新規メンバー,ヨッシーサーキット急カーブ多いけどいい感じやなぁ
10:03,たなかバンナー,新規メンバー,無音マリカw
