timestamp,author_name,membership,text
-2:28,。はなか,新規メンバー,スマホ版は日本語表記ないのでスマホで入る方頑張ってください
-2:26,ニャホニャホ,新規メンバー,ナイフぺろぺろ
-2:22,みよ,メンバー（2 か月）,スマホむずいね
-2:18,ちあき,非メンバー,インスールした
-2:11,みゃあみゃあ。,非メンバー,スマホちょっとめんどい
-2:05,きのこ,非メンバー,フリープレイでakina ga yattaを打ってみましたら一部分が伏字になりましたので気をつけて下さい><
-1:59,*瑠莉香,新規メンバー,スマホよりタブレットとか大きい方がやりやすそうな感じがする
-1:53,Max,メンバー（1 年 2 か月）,:_3193Dousi:SUS:_3193Dousi:SUS:_3193Dousi:SUS
-1:52,鴻延夜,非メンバー,ore ha imposter ja nai
-1:46,ちんちこちん,メンバー（3 か月）,スマホフリープレイでタスクの練習できますよ
-1:43,ユウカ,非メンバー,スマホはスティックの大きさ変えたら大分楽よ
-1:40,むすび,非メンバー,スマホだとチャット大変そう
-1:34,冬樹,非メンバー,インスール！
-1:31,櫻なおこ,メンバー（9 か月）,タブレットなるほど
-1:30,やまさき,新規メンバー,インスール
-1:23,shiraorinrin !,非メンバー,殺したら死体が残る。死体はクルーが見つけたらReport(ウォーリーみっけ！)ができる。そしたら緊急会議で誰が殺したか討論。投票制の多数決で追放や！なお会議はカフェテリア(マップの一部)にあるボタンでも始められる(回数制限あり)
-1:23,いちの,新規メンバー,akina sus akina sus!!!!!!!!!
-1:22,概念上の姉,メンバー（5 か月）,スマホ文字打つの手間だよね
-1:18,ぴえん,非メンバー,pc 版じゃ無いとだめ？
-1:16,みゃあみゃあ。,非メンバー,フリープレイオフラインでもできるし
-1:13,全肯定bot,非メンバー,insool!
-1:09,w a t a m o n,非メンバー,アーンインストール♪
-1:05,冬樹,非メンバー,スマホ 文字うつの mendou
-1:03,*瑠莉香,新規メンバー,そのうちリスナーだけでやってそうだなってふと思った
-1:00,m s,非メンバー,スマホでもできんの初めて知ったわ
-0:56,もずくさん,メンバー（4 か月）,スマホは大変やね、、
-0:54,高校性,メンバー（11 か月）,:_3193Wayo:
-0:53,エビマヨ食べ太郎,メンバー（1 か月）,インスール！
-0:47,ピカゴン,メンバー（7 か月）,フリープレイでタスクの練習だけはした
-0:39,ぴりおど,メンバー（3 か月）,スマホ大変だな…
-0:39,みゃあみゃあ。,非メンバー,緊急会議のボタン押すとたしかしたい消せる気がする
-0:35,むすび,非メンバー,フリープレイでタスクの練習できます！！！
-0:33,柿咲ゆた,メンバー（11 か月）,これNoxPlayerとかでインストールしてやったら楽そうだけどどうだ
-0:33,ポムポム,メンバー（9 か月）,インスール！
-0:30,Max,メンバー（1 年 2 か月）,sorosoro wane
-0:21,Claris,非メンバー,can you play if udk japanese 😂
-0:21,なきゃ_,非メンバー,チャットでのパッションめっちゃ見たいw
-0:18,櫻なおこ,メンバー（9 か月）,yarou=kana
-0:18,あずきもち,非メンバー,見守りやす😳
-0:18,。はなか,新規メンバー,スマホ入れた人練習した方がいいかも
-0:16,ぐみ,非メンバー,waku waku
-0:14,shiraorinrin !,非メンバー,ボタンでもReportでも会議挟むと死体は消えるね
-0:14,えんがわおいしいよね,メンバー（7 か月）,ikuwayo
-0:10,*瑠莉香,新規メンバー,リスナーパッション人狼…？
-0:05,あち,メンバー（1 か月）,部屋のパスワードってもうあったりするんですか？
-0:04,もずくさん,メンバー（4 か月）,チャットでパッション始まる、、？
-0:03,ブルブル,メンバー（1 年 1 か月）,Jinbo zero!?
-0:00,むすび,非メンバー,もうそろね
0:02,えんがわおいしいよね,メンバー（7 か月）,パスはまだです〜
0:02,w a t a m o n,非メンバー,Zeronin=daze
0:04,うちや,メンバー（1 年 5 か月）,リスナーに鬼詰めされる明那待機
0:05,ももも,非メンバー,楽しみだー!
0:06,shiraorinrin !,非メンバー,akina!!!!!!!!!!!!!!!!!
0:07,ぴぴた,メンバー（5 か月）,インスールしたけどスマホの操作難しいね
0:09,鴻延夜,非メンバー,緊急会議は一人一回、停電中はできない
0:09,わかにゃ,非メンバー,きちゃ
0:11,全肯定bot,非メンバー,きちゃ！
0:11,しーのん,非メンバー,え、めっちゃやりたいけど用事あるわ...泣
0:12,坂月六雨,メンバー（11 か月）,:_3193Detawane:
0:12,紺野夜半,メンバー（1 年 5 か月）,:_3193Detawane::_3193Detawane::_3193Detawane:
0:12,ぐみ,非メンバー,きちゃ
0:13,ほっし,メンバー（1 年 2 か月）,:_3193Detawane:
0:14,みゃあみゃあ。,非メンバー,今回は見よ
0:14,あずきもち,非メンバー,お！？
0:16,whtvr,メンバー（6 か月）,:_3193Detawane:
0:16,柿咲ゆた,メンバー（11 か月）,:_3193Detawane:
0:16,よちゃ,メンバー（3 か月）,kitawayo
0:16,ヒヨロシ,メンバー（1 年 1 か月）,:_3193Detawane:
0:16,長月,メンバー（1 年 1 か月）,きちゃ
0:17,のせち!,メンバー（1 か月）,:_3193Detawane:
