timestamp,author_name,membership,text
-0:53,鮫しとり,非メンバー,待機
-0:51,旅々,非メンバー,楽しみ
-0:50,アメーバラグ,メンバー（6 か月）,待機！
-0:47,コキア,メンバー（2 か月）,待機！
-0:45,新規重篤患者,メンバー（2 か月）,:_sukoしんぞう:
-0:45,ミスト,メンバー（2 か月）,親のカウントダウン注意
-0:43,Baquaバクア,非メンバー,待機！
-0:42,御美,非メンバー,待機ー！
-0:42,カドカワ・タスク,メンバー（6 か月）,:_sukoすとまっくん:
-0:41,双星暁希ふたぼしあき,メンバー（2 か月）,待機！
-0:41,Pochi 。,非メンバー,待機！
-0:41,かなた珈琲,メンバー（1 か月）,たのしみ！
-0:40,ラムネス,非メンバー,待機！
-0:35,Haru,メンバー（2 か月）,ドキドキ
-0:35,めがね,メンバー（2 か月）,待機！
-0:34,4996.49 KG,非メンバー,待機
-0:33,Quintess(くぃんてす),非メンバー,待機
-0:33,十六夜,非メンバー,待機ー！
-0:33,roro K,非メンバー,待機！
-0:33,頼[より]73,メンバー（1 か月）,待機します
-0:31,ゆう,非メンバー,カウントダウン音量注意！！
-0:30,リコ,メンバー（6 か月）,:_sukoしんぞう:
-0:28,不動アキラ,メンバー（6 か月）,ドキドキ
-0:27,kuro neko,メンバー（1 か月）,待機！
-0:27,朧月夜,メンバー（2 か月）,待機！
-0:26,月面,メンバー（6 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-0:26,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,待機！
-0:24,りんごキャンディ,メンバー（6 か月）,:_sukoしんぞう:も:_sukoばいばい:
-0:21,_純,メンバー（1 か月）,待機
-0:21,99「つくも」サカタ,メンバー（6 か月）,ドキドキ
-0:20,ETOILE,新規メンバー,待機
-0:18,chiichan[ちーちゃん],メンバー（6 か月）,わくわく
-0:17,ホレシ,メンバー（2 か月）,:_sukoぴんく::_sukoほわいと:
-0:16,雨雷〈ユイレイ〉,メンバー（6 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-0:15,とろろ,メンバー（2 か月）,待機
-0:15,aaa Wkn,非メンバー,待機です！
-0:11,coca toro,非メンバー,動悸が…！
-0:09,ブルマッシュ,メンバー（1 か月）,待機！ドキドキ‼︎
-0:09,椎名椛,メンバー（2 か月）,待機
-0:07,ミュクミュク [] CAT4 [],メンバー（2 か月）,待機
-0:06,山下健夫,非メンバー,紅白よりもこっちで！
-0:05,旅々,非メンバー,わくわく
-0:04,寿269,非メンバー,楽しみ
-0:03,麻宮奏空,非メンバー,待機！！！！！
-0:01,柊ゆえ-hiiragi yue-,非メンバー,待機♪
-0:01,百合を見つめる雪だるま,メンバー（2 か月）,ドキドキ
-0:01,十六夜,非メンバー,わくわく
-0:00,みゅう,非メンバー,わくわく
-0:00,伊月 【いつき】,メンバー（1 か月）,楽しみー
-0:00,まだらねこ,メンバー（6 か月）,待機
2:02,カドカワ・タスク,メンバー（6 か月）,:_sukoHAHAHA::_sukoHAHAHA:
2:02,東のぶ,非メンバー,滑り込み待機
2:03,内田シャロ,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:03,フクベ。,メンバー（6 か月）,待機
2:03,えいごうふきゅー,非メンバー,待機
2:04,Auri,非メンバー,ドキドキドキドキドキドキ
2:05,Yomi sora,非メンバー,待機
2:06,トマとま,非メンバー,待機！
2:07,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,ドキドキ
2:08,KANU M,メンバー（6 か月）,わくわく
2:09,ハクア,メンバー（2 か月）,待機
2:11,みこりん,メンバー（2 か月）,待機！！
2:12,通りかかったただのアルパカ*,非メンバー,待機
2:13,ぺシェ,メンバー（6 か月）,ドキドキ
2:13,Kota Kota,非メンバー,たいき！
2:14,朧月夜,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:14,玖二,メンバー（2 か月）,わくわく
2:15,ドスガレオンNo24,メンバー（6 か月）,ドキドキ！
2:17,chiichan[ちーちゃん],メンバー（6 か月）,きちゃ
2:18,三田「重度の患者」,メンバー（2 か月）,きちゃああ
2:19,上埜久/謙,非メンバー,ドキドキ
2:19,Haru,メンバー（2 か月）,楽しみ:_sukoぴんく::_sukoぴんく::_sukoぴんく:
2:19,渋茶甘味,メンバー（6 か月）,待機！
2:19,Auri,非メンバー,やったー!!!!!!!
2:19,山桜桃【ユスラ】,メンバー（2 か月）,カウントダウン爆音注意！
2:19,藍「らん」,メンバー（6 か月）,待機
2:20,仮面UB,非メンバー,きちゃ！
2:21,Bin Pien【ビンぴえん】,メンバー（2 か月）,きちゃ！！！！
2:21,Baquaバクア,非メンバー,ドキドキ
2:22,coca toro,非メンバー,おおお
2:22,つなべあ,メンバー（2 か月）,親カウきちゃ
2:22,梶木遊作,非メンバー,きちゃ
2:23,【壁】,メンバー（2 か月）,待機
2:23,ナギ,メンバー（2 か月）,わくわく
2:23,みぐれい,メンバー（6 か月）,あっぶねまにあった
2:23,琥珀,非メンバー,待機
2:24,99「つくも」サカタ,メンバー（6 か月）,きちゃ
