timestamp,author_name,membership,text
-5:26,Pochi 。,非メンバー,すこやすこ
-5:24,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-5:20,白ぽんな,メンバー（5 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-5:17,ezoRig,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-5:16,双星暁希ふたぼしあき,メンバー（4 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-5:03,たこまる!!!!,非メンバー,💉
-5:02,トルシア,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-5:02,炭酸13号,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-5:01,モグリの男,メンバー（4 か月）,飯食い終わった待機
-4:54,かずのん,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:51,朱柳,メンバー（5 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:48,そこら辺のぱいろっと,非メンバー,すこやすこ
-4:39,たこまる!!!!,非メンバー,再診です
-4:34,双星暁希ふたぼしあき,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:29,まつまみ,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:10,カルシー,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:09,Pochi 。,非メンバー,再診です
-4:08,虚無,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:04,いかチャソ,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-4:02,ホレシ,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:52,mi. ki.,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:51,よーくん,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:48,十九,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:46,ツナとナッポー,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:28,KE-TA,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:24,みこちゃん,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:18,ROM,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:17,コキア,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:13,アセリス,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:11,ひみつ,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:11,モグリの男,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-3:10,Y P,非メンバー,再診です。すこやすこ
-2:45,gu wa,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-2:40,藤井崇史,非メンバー,再診です
-2:38,新規重篤患者,メンバー（2 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-2:30,新規重篤患者,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-2:23,D-1〈ディーチ〉,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-2:21,東雲,非メンバー,再診です
-2:12,アダムの片割れ,非メンバー,再診です
-2:09,R S,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:55,頼[より]73,メンバー（1 か月）,待機します
-1:48,VTuber好きシュウ,非メンバー,再診です
-1:37,反証納言,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです::_sukoやった:
-1:22,小暮ユウ,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:17,曜,メンバー（5 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:17,りゅう。,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:03,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:34,のあ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:18,Samもりたかさん,メンバー（3 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:11,カカカのカツキ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:09,D-1〈ディーチ〉,メンバー（2 か月）,きちゃ！
0:09,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,きちゃ！
0:14,ひみつ,メンバー（1 か月）,きちゃ
0:15,カルシー,メンバー（2 か月）,きちゃ！
0:15,双星暁希ふたぼしあき,メンバー（4 か月）,きちゃ！
0:17,ezoRig,メンバー（4 か月）,きちゃ
0:17,なうなう,メンバー（4 か月）,きちゃ！
0:17,レメス,メンバー（6 か月）,きちゃ
0:20,炭酸13号,メンバー（6 か月）,きちゃ
0:21,kahyee05,非メンバー,きちゃ！
0:21,アダムの片割れ,非メンバー,来ちゃ
0:22,小暮ユウ,メンバー（1 か月）,きちゃ！
0:22,ナミキ,メンバー（4 か月）,きちゃ！
0:23,たこまる!!!!,非メンバー,きちゃ！！
0:23,モグリの男,メンバー（4 か月）,きちゃ！
0:23,麻衣,メンバー（4 か月）,きちゃ！！
0:24,水扇,メンバー（6 か月）,きちゃ
0:25,そこら辺のぱいろっと,非メンバー,きちゃ
0:25,VTuber好きシュウ,非メンバー,きちゃ！
0:26,もん,非メンバー,きちゃー
0:26,アルデンテ,メンバー（2 か月）,きちゃ
0:27,モノクロアイ,メンバー（6 か月）,きちゃ〜♪
0:27,十九,メンバー（6 か月）,きちゃ！
0:28,藍「らん」,メンバー（6 か月）,きちゃ
0:28,のあ,メンバー（6 か月）,きちゃ！
0:28,ROM,メンバー（6 か月）,きちゃ
0:30,ライ,非メンバー,きちゃ！
0:30,Samもりたかさん,メンバー（3 か月）,きちゃ
0:30,kazuki kazasiro,メンバー（6 か月）,きちゃ
0:30,朱柳,メンバー（5 か月）,きちゃ
0:31,Neko chan,非メンバー,きちゃ
0:31,Kusuri,メンバー（1 か月）,きちゃ!
0:31,糸さん,メンバー（6 か月）,きちゃ
0:32,kiki,メンバー（4 か月）,きちゃ
0:32,狼谷【かみたに】,新規メンバー,きちゃ！
0:32,通りすがりの餅,非メンバー,きちゃあああ！
0:32,揚げたとりにく,メンバー（1 か月）,きちゃ！
0:33,とっすぃ,メンバー（6 か月）,きちゃ
0:33,めぐメグ,非メンバー,きちゃ～
0:35,トルシア,メンバー（6 か月）,きちゃ！
0:36,チャンネルワレクマ,非メンバー,きちゃ！
0:37,藤井崇史,非メンバー,きちゃ！
0:37,朱朱,メンバー（1 か月）,きちゃ
0:40,りゅう。,メンバー（1 か月）,きちゃ！
0:41,とっすぃ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:41,ふう,メンバー（2 か月）,きちゃ！
0:41,mi. ki.,メンバー（1 か月）,きちゃ！
0:41,teruha,非メンバー,👺参加する方々頑張って下さい
0:42,あおくじら,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:42,頼[より]73,メンバー（1 か月）,かわいい！！
0:42,ツナとナッポー,メンバー（1 か月）,きちゃ！
0:42,コキア,メンバー（1 か月）,きちゃ！
0:43,Haru,メンバー（2 か月）,きちゃ
0:43,新規重篤患者,メンバー（2 か月）,きちゃ！
0:44,ON泉/OFF呂,非メンバー,再診です
0:47,かずのん,新規メンバー,きちゃ！
0:47,Rayton,メンバー（3 か月）,きちゃ
0:49,ナミキ,メンバー（4 か月）,かわいい！
0:49,ホレシ,メンバー（2 か月）,きちゃ
0:51,p ip,非メンバー,きちゃよ
0:52,そこら辺のぱいろっと,非メンバー,かわいいな
0:53,〔ペニーウー 〕PENNY WU,メンバー（2 か月）,きちゃ
0:53,いぬ大福,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:54,影海Jezz,メンバー（4 か月）,きちゃ
0:56,葱太郎,メンバー（6 か月）,きちゃ！
0:56,蜘蛛澤,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:56,くらげ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:57,ちねりん,メンバー（6 か月）,きちゃ
0:57,霜月ツナ,非メンバー,きちゃ！！
0:58,kazuki kazasiro,メンバー（6 か月）,傾いててえらい
0:59,レイト,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:01,モノクロアイ,メンバー（6 か月）,かわいい...
1:04,紅音,メンバー（6 か月）,きちゃ
1:04,Rayton,メンバー（3 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:05,蒼生,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:06,ezoRig,メンバー（4 か月）,かわいい
1:06,一般スベスベマンジュウガニ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:06,キットにゃんにゃん,メンバー（5 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:07,やっち。,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:08,だーわ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:08,藤井崇史,非メンバー,かわい
1:08,たこまる!!!!,非メンバー,今日の絵も最高です…
1:10,絢瀬鞠莉,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:11,ソムリエ見習い,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:11,蒼生,メンバー（1 か月）,絵良き
1:12,ゆう,非メンバー,再診です！
1:15,関川守,メンバー（6 か月）,待機カード良き…
1:16,まいてぃん,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:16,頼[より]73,メンバー（1 か月）,キノピオなんで膨れっ面なんだ？
1:19,かなた珈琲,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:20,VTuber好きシュウ,非メンバー,かわええ
1:22,コキア,メンバー（1 か月）,かわいい
1:23,珈琲茶,非メンバー,きちゃ！
1:24,アダムの片割れ,非メンバー,キノピコw
1:26,はやし,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:27,モノクロアイ,メンバー（6 か月）,ついえら
1:27,かずのん,新規メンバー,待機カードよき
1:28,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,ついえら！
1:28,しゃんでる,非メンバー,再診です
1:28,頼[より]73,メンバー（1 か月）,ついえら
1:29,ナミキ,メンバー（4 か月）,ついえら！
1:29,ちゃちゃ /Tea-Yu,メンバー（4 か月）,ついえら！
1:29,いかチャソ,新規メンバー,ついえら！
1:29,トルシア,メンバー（6 か月）,ついえら
1:30,yu to,メンバー（1 か月）,きちゃ！
1:30,ezoRig,メンバー（4 か月）,ついえら！
1:31,そこら辺のぱいろっと,非メンバー,ついえら
1:32,コキア,メンバー（1 か月）,ついえら！
1:32,ちねりん,メンバー（6 か月）,ついえら
1:33,藍「らん」,メンバー（6 か月）,ついえら！
1:34,かずのん,新規メンバー,ついえら！
1:34,とっすぃ,メンバー（6 か月）,ついえら
1:35,双星暁希ふたぼしあき,メンバー（4 か月）,ついえら！
1:35,小暮ユウ,メンバー（1 か月）,ついえら
1:36,藤井崇史,非メンバー,ついえら！
1:36,霜月ツナ,非メンバー,ついえら！
1:36,モグリの男,メンバー（4 か月）,ついえら
1:39,朱朱,メンバー（1 か月）,ついえら
1:40,カルシー,メンバー（2 か月）,ついえら！
1:40,Pochi 。,非メンバー,きちゃ
1:40,影海Jezz,メンバー（4 か月）,ついえら
1:40,VTuber好きシュウ,非メンバー,ついえら！
1:41,Samもりたかさん,メンバー（3 か月）,ついえら
1:41,村井,非メンバー,ついえら
1:41,麻衣,メンバー（4 か月）,傾いててかわいい
1:42,炭酸13号,メンバー（6 か月）,ついえら
1:47,ながもん,メンバー（6 か月）,ついえら
1:49,揚げたとりにく,メンバー（1 か月）,ついえら！
1:50,はやし,メンバー（4 か月）,ついえら！
1:52,もん,非メンバー,ついえら
1:52,仮面UB,非メンバー,再診
1:53,かなた珈琲,メンバー（1 か月）,ついえら！
1:57,藍「らん」,メンバー（6 か月）,待機絵好き
1:57,echika,新規メンバー,:_sukoすとまっくん:
1:57,フィア,メンバー（6 か月）,ついえら
1:58,仮面UB,非メンバー,ついえら！
1:59,まつまみ,メンバー（4 か月）,ついえら！
1:59,笛野郎,メンバー（1 か月）,ついえら！
1:59,たこまる!!!!,非メンバー,ついえら！！
2:01,D-1〈ディーチ〉,メンバー（2 か月）,ついえら！
2:01,イチゴケーキ,非メンバー,ついえら！
2:07,K !,メンバー（5 か月）,ついえら！
2:08,凝淵,非メンバー,​ついえら！
2:08,みにま,メンバー（1 か月）,ついえら
2:13,さくら,非メンバー,ついえら！
