timestamp,author_name,membership,text
-1:24,ながもん,メンバー（6 か月）,初診さんいらっしゃい
-1:19,影海Jezz,メンバー（2 か月）,初診さんいらっしゃい
-1:19,ヘッジ,メンバー（2 か月）,初診さんいらっしゃい
-1:19,アルデンテ,メンバー（2 か月）,初診さんいらっしゃい
-1:18,アセリス,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:17,ゆう,非メンバー,初診さんいらっしゃいませ！
-1:13,xfdxfd xfd,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:12,たまたんたまた,メンバー（1 か月）,:_sukoしょしん::_sukoさいしんです:さんいらっしゃいませ～
-1:11,三田「重度の患者」,メンバー（2 か月）,初診さんいらっしゃい！
-1:04,しじみ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:03,モブ7くらい,非メンバー,再診ですかイヤホンなくしました
-0:58,なかちょり,非メンバー,再診です
-0:58,からし,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:58,壁ニなる,非メンバー,再診です
-0:56,ぬりかべ,メンバー（6 か月）,初診さんいらっしゃいませー:_sukoすここどり::_sukoすここどり:
-0:48,如月モミジ,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:47,feiren,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:39,小林あずにゃ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:36,ちゃむを,非メンバー,イヤホン無くした再診ニキがんばって
-0:36,ポポミスター,非メンバー,初診です。
-0:30,通りすがりのどぼ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:29,まいこー,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:23,ゆり,非メンバー,こんばんは！初診です。
-0:20,ミスト,メンバー（2 か月）,初診さんいらっしゃい！
-0:19,とっすぃ,メンバー（6 か月）,初診さんいらっしゃい！:_sukoすここどり:
-0:17,ezoRig,メンバー（2 か月）,初診さんいらっしゃい〜
-0:17,空野奏多,メンバー（1 か月）,初診さんいらっしゃいませー
-0:16,藍「らん」,メンバー（6 か月）,初診さんいらっしゃいませ
-0:16,朧月夜,メンバー（2 か月）,:_sukoしょしん::_sukoさいしんです:さんいらっしゃい
-0:13,ヘッジ,メンバー（2 か月）,イヤホン紛失ニキに余ったｲﾔﾝﾎﾎを送り付けたい
-0:12,ぬりかべ,メンバー（6 か月）,初診さんいらっしゃいませ！:_sukoすとまっくん::_sukoすここどり::_sukoラミエル:
-0:12,太一ーTAICHIー,非メンバー,いらっしゃい〜
-0:11,ゆーやん,メンバー（6 か月）,:_sukoしょしん::_sukoさいしんです:さんいらっしゃい！
-0:10,まいこー,メンバー（2 か月）,初診さんいらっしゃい
-0:09,Y P,メンバー（2 か月）,初診さんいらっしゃいませ:_sukoやった:
-0:09,三田「重度の患者」,メンバー（2 か月）,初診さんいらっしゃい！
-0:09,ヘッジ,メンバー（2 か月）,初診さんいらっしゃい
