timestamp,author_name,membership,text
-0:26,Hiroヒロ,非メンバー,Crossick！！
-0:26,じぇい,非メンバー,どきどき
-0:26,あすまる,非メンバー,ワクワク
-0:25,Bowie LAU,非メンバー,待機
-0:25,玖二,メンバー（2 か月）,わくわく
-0:22,フクベ。,メンバー（6 か月）,待機
-0:20,焼き餅大好き,新規メンバー,:_sukoほわいと::_sukoほわいと::_sukoほわいと::_sukoほわいと::_sukoほわいと::_sukoぴんく:
-0:19,ri ka,新規メンバー,わくわく
-0:19,質しっつん,メンバー（6 か月）,わくわく
-0:19,佐藤陸,非メンバー,ドキドキ
-0:19,れふ,非メンバー,わくわく
-0:17,ニセパンダ,非メンバー,待機
-0:17,名犬ちゅーる,メンバー（6 か月）,わくわく
-0:16,オトスケ,メンバー（6 か月）,待機
-0:16,KOUき,非メンバー,待機！
-0:16,ベアちゃん,メンバー（6 か月）,ドキドキ
-0:15,壁ニなる,非メンバー,待機
-0:15,たまたんたまた,メンバー（1 か月）,どきどき
-0:15,空野奏多,メンバー（1 か月）,爆音注意！
-0:14,えだまめ,非メンバー,待機‼️
-0:14,Liu Aina,メンバー（1 か月）,:_sukoぴんく::_sukoほわいと:
-0:14,あやか,非メンバー,待機
-0:14,桃瀬める,非メンバー,わくわく！！
-0:12,寶寶ボボ,非メンバー,わくわく
-0:11,Rayton,メンバー（2 か月）,わくわく
-0:11,Spud Wumper,非メンバー,わくわく
-0:10,ギーマ,非メンバー,待機
-0:09,モノクロアイ,メンバー（6 か月）,ドキドキ...
-0:09,御美,非メンバー,待機ー！
-0:09,御神タケヒロ / Cerotte,非メンバー,どきどき
-0:08,b AR,非メンバー,待機
-0:08,咲耶。,メンバー（1 か月）,待機!
-0:08,イカザムライ,非メンバー,わくわくー
-0:06,「響」,メンバー（6 か月）,待機
-0:06,ベアちゃん,メンバー（6 か月）,わくわく
-0:06,縺阪繧,非メンバー,わくわく
