timestamp,author_name,membership,text
-1:05,緑黄色,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:03,99「つくも」サカタ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:03,ezoRig,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:02,ハクア,メンバー（3 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:02,ホレシ,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-1:00,ナミノ,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:59,3396 hisashi,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:59,Jinbei,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:59,Pochi 。,非メンバー,再診です
-0:57,梶木遊作,非メンバー,再診です
-0:56,クレープボーロ,非メンバー,再診です
-0:56,がバれお,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:55,ミスト,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:54,しゅな3,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:52,サー氏,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:51,玖二,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:50,はやし,メンバー（5 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:50,Haru,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:49,ふみお,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:47,セルリア,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:47,カカカのカツキ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:46,Keしゅうエン,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:45,コキア,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:41,ROM,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:41,【壁】,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:40,iwamoth,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:39,rie,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:37,楊皓程,非メンバー,再診です
-0:36,狼谷【かみたに】,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:35,大福おじさん,メンバー（4 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:34,Grizzly,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:29,通りすがりのどぼ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:29,KUROHIGE,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:26,まめっこ,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:26,みにま,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:24,キノ,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:23,月面,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:21,魔王Regina,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:20,弍十,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:20,Yukun,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:19,杜若シズ,メンバー（6 か月）,もう可愛い
-0:18,双星暁希ふたぼしあき,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:17,三田「重度の患者」,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:14,Girafarig3,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:12,じんない,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:06,Kusuri,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:06,色鳥,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
-0:04,すころいど,メンバー（6 か月）,:_sukoすこすこ:や:_sukoすこすこ:
-0:02,小林あずにゃ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:04,ツナとナッポー,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:06,れーらくん,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:08,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,きちゃ！
0:09,双星暁希ふたぼしあき,メンバー（4 か月）,きちゃ！
0:09,9649推し三日月,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:12,Katto -,新規メンバー,:_sukoさいしん::_sukoさいしんです:です
0:12,9649推し三日月,メンバー（6 か月）,きちゃ！
0:13,イノ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:15,ゆーやん,メンバー（6 か月）,きちゃ
0:15,しんたろ,メンバー（2 か月）,きちゃ！
0:15,Yuki4.7,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:16,ソムリエ見習い,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoやった::_sukoですです:
0:16,ロイヤル紳士,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:16,緑黄色,メンバー（7 か月）,きちゃ！
0:18,ながもん,メンバー（7 か月）,きちゃ！
0:19,玖二,メンバー（2 か月）,きちゃ！
0:19,空野奏多,新規メンバー,きちゃ
0:19,モノクロアイ,メンバー（6 か月）,きちゃ〜♪
0:19,Kusuri,メンバー（1 か月）,きちゃ！
0:19,レメス,メンバー（6 か月）,きちゃ
0:21,ソムリエ見習い,メンバー（6 か月）,きちゃ！！
0:21,マキシムトマト,メンバー（1 か月）,きちゃ！
0:21,ミスト,メンバー（2 か月）,きちゃ！
0:21,やっち。,メンバー（6 か月）,きちゃ
0:22,づき男,メンバー（7 か月）,きちゃ
0:24,弍十,新規メンバー,きちゃ！
0:24,ナミノ,メンバー（2 か月）,きちゃ
0:24,かがみもち*,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:24,杜若シズ,メンバー（6 か月）,手があるからという理由で後ろに配置されて小顔効果を狙っていく健屋の図
0:24,シュン*,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:24,てん,メンバー（3 か月）,きちゃ！
0:26,とっすぃ,メンバー（6 か月）,きちゃ
0:26,トルシア,メンバー（6 か月）,きちゃ！
0:26,旅々,非メンバー,きちゃ！
0:30,99「つくも」サカタ,メンバー（6 か月）,きちゃ！
0:30,Shqi Cai,非メンバー,きちゃ
0:30,とっすぃ,メンバー（7 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
0:31,Yukino Yaiba,メンバー（6 か月）,きちゃ
0:31,ゆめ,メンバー（2 か月）,きちゃ！
0:35,しゃんでる,非メンバー,再診です
0:35,Girafarig3,メンバー（7 か月）,きちゃ！
0:36,イノ,メンバー（7 か月）,きちゃ！
0:36,サー氏,メンバー（6 か月）,きちゃ
0:38,曾茱,非メンバー,きちゃ！
0:38,梶木遊作,非メンバー,きちゃ！
0:41,セルリア,メンバー（6 か月）,きちゃ
0:42,Y P,メンバー（2 か月）,きちゃ！
0:45,miyukichi,非メンバー,きちゃ！
0:45,はやし,メンバー（2 か月）,きちゃ！
0:45,白ぽんな,メンバー（6 か月）,きちゃ
0:48,Yukun,新規メンバー,こんばんわー( ´▽` )ﾉ
0:48,小林あずにゃ,メンバー（6 か月）,きちゃ
0:51,ホレシ,メンバー（2 か月）,きちゃ
0:57,彼方遥,メンバー（7 か月）,きちゃ
1:02,りゅーね,新規メンバー,:_sukoさいしん::_sukoさいしんです::_sukoですです::_sukoですです::_sukoえへへ:
1:03,おはし_ohashi,非メンバー,来た
1:06,Wei,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:09,はぴ,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:12,LRC,非メンバー,きちゃ
1:14,りゅうまる,非メンバー,きちゃ！
1:15,山桜桃【ユスラ】,メンバー（2 か月）,委員長さんの枠もう見えたw
1:15,J L,メンバー（6 か月）,きちゃ!
1:17,曜,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:17,頼[より]73,メンバー（1 か月）,あらま
1:24,Y P,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:29,トロロ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:29,さおた,メンバー（2 か月）,きちゃ！
1:30,なー,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:36,N.R. Happin,非メンバー,きちゃ！
1:38,かなた珈琲,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:40,珈琲牛乳,非メンバー,再診でーーーす
1:41,【壁】,メンバー（1 か月）,きちゃ！
1:46,おはし_ohashi,非メンバー,委員長の枠から来ました
1:49,Carol Yeung,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:50,鈴木のりンキ,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
1:56,金冠のど飴,非メンバー,こんばんはー
2:00,珈琲茶,非メンバー,きちゃ！
2:01,薄荷飴,メンバー（1 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:02,三田「重度の患者」,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:05,あおくじら,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:07,みにま,メンバー（2 か月）,きちゃ
2:11,ナミキ,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:15,みえうmieu,メンバー（6 か月）,再診です
2:17,あずき,メンバー（2 か月）,かわい
2:22,雨雷〈ユイレイ〉,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:22,まりえ,メンバー（5 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:27,ナムリア,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:31,アダムの片割れ,非メンバー,きちゃ
2:33,天野泉〔amano-izumi〕,メンバー（2 か月）,きちゃ
2:35,すころいど,メンバー（6 か月）,きちゃ！
2:37,おぐさん楓組,メンバー（6 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:38,綾ムラサメ,メンバー（6 か月）,再診です
2:42,カルシー,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:44,双星暁希ふたぼしあき,メンバー（2 か月）,ついえら！
2:44,薄荷飴,メンバー（1 か月）,きちゃ
2:46,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,ついえら！
2:46,弍十,新規メンバー,ついえら！
2:48,ちゃちゃ /Tea-Yu,メンバー（5 か月）,ついえら！！
2:48,Y P,メンバー（2 か月）,ついえら！
2:48,曜,メンバー（6 か月）,ついえら
2:49,ezoRig,メンバー（4 か月）,ついえら！
2:49,9649推し三日月,メンバー（7 か月）,イラストかわいい！
2:49,ながもん,メンバー（7 か月）,ついえら
2:49,ナミキ,メンバー（5 か月）,ついえら！
2:51,頼[より]73,メンバー（1 か月）,ついえら！
2:51,セルリア,メンバー（6 か月）,ついえら！
2:51,99「つくも」サカタ,メンバー（6 か月）,ついえら！
2:51,藍「らん」,メンバー（6 か月）,ついえら！
2:51,とっすぃ,メンバー（6 か月）,ついえら
2:51,9649推し三日月,メンバー（6 か月）,ついえら！
2:51,wak TL,メンバー（2 か月）,:_sukoさいしん::_sukoさいしんです::_sukoですです:
2:53,おはし_ohashi,非メンバー,3人で協りょk
2:54,ちーずたべたい,メンバー（6 か月）,ついえら！
2:55,レイト,メンバー（5 か月）,ついえら！
2:56,カカカのカツキ,メンバー（6 か月）,ついえら！
2:57,顔なし,非メンバー,ついえら
2:58,ひみつ,メンバー（2 か月）,ついえら
2:58,あいだ,メンバー（6 か月）,ついえら！
2:58,月面,メンバー（6 か月）,ついえら！
2:58,makimaki,メンバー（7 か月）,ついえら！
2:59,たまたんたまた,新規メンバー,ついえら
2:59,ナミノ,メンバー（2 か月）,ついえら
3:01,えい,非メンバー,こんすこ
3:01,杜若シズ,メンバー（6 か月）,こんすこ
3:02,しおみず,メンバー（7 か月）,ついえら！！！
3:03,三田「重度の患者」,メンバー（2 か月）,ついえら！
3:04,eN,非メンバー,最近この三人ほんとにすこや
3:05,イノ,メンバー（7 か月）,ついえら！
3:05,ながもん,メンバー（7 か月）,こんすこ！
3:06,Jinbei,メンバー（6 か月）,こんすこ！
3:06,ezoRig,メンバー（2 か月）,きちゃー！
3:07,chiichan[ちーちゃん],メンバー（6 か月）,:_sukoこんすこ::_sukoすこすこ::_sukoやった:
3:07,トルシア,メンバー（7 か月）,こんすこ！
3:09,ソムリエ見習い,メンバー（6 か月）,ついえら！！
3:09,旭風,非メンバー,こんすこです！
3:09,Pochi 。,非メンバー,こんすこ〜！
3:10,のりしろ,メンバー（2 か月）,こんすこ～！
3:10,ミスト,メンバー（2 か月）,こんすこ～～
3:10,十九,メンバー（6 か月）,:_sukoこんすこ::_sukoすこすこ:
3:10,サー氏,メンバー（7 か月）,こんすこ！
3:10,イノ,メンバー（7 か月）,こんすこ～！
3:11,ねるねるねるね,メンバー（6 か月）,こんすこ〜
3:12,牧之原ヤマ オクラブロッコリー,メンバー（6 か月）,こんすこ～！
3:12,ezoRig,メンバー（4 か月）,こんすこー！
3:13,猫永 青依 【ねこなが あおい】,メンバー（2 か月）,こんすこ
3:13,99「つくも」サカタ,メンバー（6 か月）,こんすこ！
3:15,とろろ,メンバー（1 か月）,すこやかですｗ
3:17,玖二,メンバー（2 か月）,こんすこー！
3:18,闇に堕ちたたかし,メンバー（6 か月）,きちゃ
3:18,ふみお,メンバー（6 か月）,こんすこ
3:18,【壁】,メンバー（1 か月）,こんすこ！
3:19,彩月,メンバー（7 か月）,:_sukoこんすこ::_sukoすこすこ:
3:19,曾茱,非メンバー,こんすこ！
3:21,緑黄色,メンバー（6 か月）,こんすこ！
3:21,藍「らん」,メンバー（6 か月）,健やかさん
3:21,橋いち,メンバー（6 か月）,こんすこ！
3:23,雨雷〈ユイレイ〉,メンバー（7 か月）,こんすこ
3:23,サー氏,メンバー（6 か月）,ww
3:23,白ぽんな,メンバー（6 か月）,すこやかw
3:24,ROM,メンバー（7 か月）,健やか茶さん！
3:24,ひみつ,メンバー（2 か月）,こんすこ
3:26,虚無,メンバー（6 か月）,健屋か茶
3:26,セルリア,メンバー（6 か月）,こんすこ！
3:26,黒刃,非メンバー,こんすこー
3:26,麻婆豆腐,メンバー（6 か月）,こんすこ～！
3:27,ナミノ,メンバー（4 か月）,こんすこー
3:27,りんガガー,メンバー（7 か月）,すこやかさん！
3:27,珈琲茶,非メンバー,こんすこ～
3:29,あんず,非メンバー,すこやかさん！？
3:29,弍十,新規メンバー,こんすこ！
3:30,リア。,非メンバー,すこ
3:32,てん,メンバー（3 か月）,こんすこ
3:32,YALAN,メンバー（2 か月）,すこやかさん！
3:32,とろろ,メンバー（1 か月）,贅沢な名だねぇｗ
3:32,三田「重度の患者」,メンバー（5 か月）,草
3:33,生ビーム,非メンバー,すこやか・なに…
3:33,Keしゅうエン,メンバー（1 か月）,草
3:34,とっすぃ,メンバー（7 か月）,すこやかさんw
3:35,質しっつん,メンバー（7 か月）,草
3:36,タロウ田中,非メンバー,すこやかさん？！
3:38,薄荷飴,メンバー（1 か月）,こんすこ！
3:39,カキ,メンバー（7 か月）,こんすこー
3:39,ヤミツキ,メンバー（7 か月）,こんすこ！
3:39,ソムリエ見習い,メンバー（6 か月）,すこやかさんｗｗ
3:40,ちゃちゃ /Tea-Yu,メンバー（5 か月）,すこやか！
3:40,緑黄色,メンバー（6 か月）,さっそく草
3:40,ゆーやん,メンバー（6 か月）,:_sukoこんすこ::_sukoすこすこ:
3:41,Kusuri,メンバー（1 か月）,こんすこ！
3:41,さんくま,メンバー（7 か月）,なを奪われた
3:42,ドロズ&デイビス,非メンバー,名前を捕られるゾ！
3:42,Shqi Cai,非メンバー,こんすこ
3:44,nunu,メンバー（6 か月）,こんすこー
3:45,杜若シズ,メンバー（6 か月）,草
3:45,Samもりたかさん,メンバー（2 か月）,:_sukoこんすこ::_sukoすこすこ:
3:45,マキシムトマト,メンバー（1 か月）,すこやか茶さん
3:46,シフ,非メンバー,草
3:50,きーたー,メンバー（7 か月）,こんすこ！
3:51,山桜桃【ユスラ】,メンバー（2 か月）,リアルな秒数で草
3:51,Yukun,新規メンバー,w
3:51,Max Wong,メンバー（6 か月）,こんすこ
3:52,玖二,メンバー（4 か月）,草
3:53,神川,メンバー（6 か月）,40秒で支度しな
3:56,ジークフルード,非メンバー,こんちに～
3:59,頼[より]73,メンバー（1 か月）,すこやかさん？
3:59,kazuki kazasiro,メンバー（6 か月）,こんすこー
3:59,3396 hisashi,メンバー（2 か月）,すこやかさんw
