timestamp,author_name,membership,text
-0:08,クレナイ‐kurenai-,非メンバー,剣持刀也を待っています
-0:08,かにぱん,非メンバー,ちゃんとお水飲んでる？
-0:08,おはぎ,非メンバー,イェア！
-0:08,ぽむぽむぺいん,非メンバー,もた...もた...
-0:06,ある,非メンバー,ツヨシ！
-0:05,そうき,非メンバー,イェア！
-0:05,牙狼ニ乃牙太刀,非メンバー,ツヨシ！
-0:05,べじたぶる,非メンバー,ツヨシ！
-0:05,野球ロボット,非メンバー,ツヨシ!
-0:05,ひじき,非メンバー,ツヨシ！
-0:05,ナチュラル,非メンバー,配置国
-0:05,羅燃好[らもす],非メンバー,ツヨシ！
-0:04,ʚおすづɞ,非メンバー,遅刻すな
-0:04,きなこもち,非メンバー,ツヨシ！
-0:04,不知火,非メンバー,イェア
-0:04,ジャルジャルに興味あるやつ,非メンバー,T
-0:04,さよ,非メンバー,ツヨシ！
-0:04,あんこもち,非メンバー,ツヨシ！
-0:03,紫蘇,非メンバー,ツヨシ！
-0:03,あああ.,非メンバー,イエア！
-0:02,ゆらこ,非メンバー,イェア！
-0:02,弥勒菩薩,非メンバー,Tェア！
-0:01,ぢゃくそん・,非メンバー,ツヨシ！
-0:01,二度寝,非メンバー,始まってねえじゃねえか！
-0:01,ぴぴた,非メンバー,ツヨシ！
-0:01,しののめ,非メンバー,ツヨシ！
-0:00,セミファイナル,非メンバー,OBS予めかたしときなね
-0:00,Wibo,非メンバー,ツヨシ!
-0:00,れいな,非メンバー,イェア！
-0:00,ピッピモンゲ,非メンバー,今日は剣持リスナーだけじゃないから遅刻するなよ顎
-0:00,MIZUKI,非メンバー,イェア！
0:02,お母さん,非メンバー,ツヨシ！
0:02,マケゐヌ,非メンバー,イェア！
0:03,ヤグルマ,非メンバー,ツヨシ！
0:03,真,非メンバー,Tヨシ!!
0:03,魅潤 みゆん,非メンバー,ツヨシ！
0:04,SiKi,非メンバー,イェア！
0:04,熊猫,非メンバー,ツヨシ！
0:06,わかば,非メンバー,ツヨシ！
0:07,ナチュラル,非メンバー,イェア！
0:07,犬です,非メンバー,みんなイェアしか言ってなくて草
0:08,みりん銃,非メンバー,ツヨシ！
0:08,PIKAKUREN,非メンバー,イェア！
0:08,ならん茶_,非メンバー,イェア！
0:08,ヨッシー,非メンバー,ツヨシ！
0:08,a u,非メンバー,6ッピートリガー
0:08,まくら,非メンバー,ツヨシ！
0:09,୨୧みりあてゃ୨୧,非メンバー,トイレ行ってる？
0:09,乾燥プリン,非メンバー,ツヨシ！
0:12,もかʕ•ᴥ•ʔ,非メンバー,イェア！
0:14,好兵衛,非メンバー,ツヨシ！
0:14,too,非メンバー,ツヨシ！
0:14,connect BALDR,非メンバー,剣持刀夜！！！！！
0:14,ぽん,非メンバー,イェア！
0:14,りりここ,非メンバー,ツヨシ！
0:15,陰の下僕,非メンバー,イェア！
0:15,200円玉貯金,非メンバー,緊張してる？
0:15,Alice KxH,非メンバー,ツヨシ！
0:15,おでんうどん,非メンバー,ツヨシ！
0:15,さば,非メンバー,イェア！
0:15,ばす_,非メンバー,流石に今日は早いな
0:16,こやけ,非メンバー,概要欄黒バスで草
0:16,言寺子お姉さんのエプロン,非メンバー,ツヨシ！
0:16,Kenya,非メンバー,イェア！
0:17,おうさか,非メンバー,きちんと参加選手配置しろよ
0:17,アクセラレー太,非メンバー,なんだまだか
0:17,ろってんゆいんち,非メンバー,待ってるぞ
0:17,米派,非メンバー,イェア！
0:17,シパ,非メンバー,案の定始まってない
0:17,まそら,非メンバー,イェア！
0:19,あいうえお,非メンバー,はやくね？
0:19,鳩村,非メンバー,早くない？偽物？
0:19,レクもん,非メンバー,イェア！
0:20,おれだよおれ,非メンバー,イェア！
0:20,あまね,非メンバー,イェア！
0:20,七篠オルタネヰト,非メンバー,イェア！
0:20,HIMAZIN,非メンバー,イェア！
0:21,ないろん,非メンバー,イェア！
0:21,ふたる!,非メンバー,ツヨシ！
0:22,凝固,非メンバー,うるせぇ！
0:22,qup,非メンバー,ツヨシ！
0:22,みやぴ,非メンバー,ツヨシ！
0:22,ていろじ,非メンバー,イェア！
0:22,瀬,非メンバー,イェア！
